YYYY-MM,nCommits,nAuthors,timestamp
2010-11,48,3,1288569600
2010-12,96,3,1291161600
2011-01,241,8,1293840000
2011-02,229,9,1296518400
2011-03,162,6,1298937600
2011-04,97,7,1301616000
2011-05,112,13,1304208000
2011-06,104,10,1306886400
2011-07,58,9,1309478400
2011-08,51,5,1312156800
2011-09,29,4,1314835200
2011-10,94,6,1317427200
2011-11,104,10,1320105600
2011-12,124,11,1322697600
2012-01,113,11,1325376000
2012-02,83,9,1328054400
2012-03,68,5,1330560000
2012-04,118,8,1333238400
2012-05,80,9,1335830400
2012-06,72,9,1338508800
2012-07,130,8,1341100800
2012-08,101,13,1343779200
2012-09,81,7,1346457600
2012-10,59,13,1349049600
2012-11,34,8,1351728000
2012-12,42,10,1354320000
2013-01,110,19,1356998400
2013-02,88,8,1359676800
2013-03,59,7,1362096000
2013-04,128,12,1364774400
2013-05,184,8,1367366400
2013-06,122,11,1370044800
2013-07,107,9,1372636800
2013-08,120,10,1375315200
2013-09,84,9,1377993600
2013-10,97,9,1380585600
2013-11,69,8,1383264000
2013-12,42,5,1385856000
2014-01,32,10,1388534400
2014-02,11,4,1391212800
2014-03,16,4,1393632000
2014-04,8,5,1396310400
2014-05,61,4,1398902400
2014-06,71,5,1401580800
2014-07,37,5,1404172800
2014-08,53,4,1406851200
2014-09,80,9,1409529600
2014-10,93,6,1412121600
2014-11,35,4,1414800000
2014-12,43,8,1417392000
2015-01,62,7,1420070400
2015-02,48,6,1422748800
2015-03,126,7,1425168000
2015-04,67,8,1427846400
2015-05,45,9,1430438400
2015-06,39,5,1433116800
2015-07,93,8,1435708800
2015-08,65,7,1438387200
2015-09,76,5,1441065600
2015-10,45,10,1443657600
2015-11,58,4,1446336000
2015-12,70,6,1448928000
2016-01,81,10,1451606400
2016-02,84,6,1454284800
2016-03,54,3,1456790400
2016-04,31,7,1459468800
2016-05,26,7,1462060800
2016-06,14,4,1464739200
2016-07,5,2,1467331200
2016-08,3,1,1470009600
2016-09,9,5,1472688000
2016-10,4,3,1475280000
2016-11,8,4,1477958400
2016-12,10,6,1480550400
2017-01,9,3,1483228800
2017-02,14,6,1485907200
2017-04,8,4,1491004800
2017-05,2,1,1493596800
2017-06,5,4,1496275200
2017-07,6,5,1498867200
2017-08,1,1,1501545600
2017-09,11,3,1504224000
2017-10,8,4,1506816000
2017-11,17,8,1509494400
2017-12,12,4,1512086400
2018-01,10,7,1514764800
2018-02,91,8,1517443200
2018-03,6,3,1519862400
2018-04,7,5,1522540800
2018-07,5,4,1530403200
2018-08,36,12,1533081600
2018-09,7,3,1535760000
2018-10,43,12,1538352000
2018-11,22,6,1541030400
2018-12,23,5,1543622400
2019-01,1,1,1546300800
2019-02,6,4,1548979200
2019-03,15,4,1551398400
2019-04,7,4,1554076800
2019-05,8,4,1556668800
2019-06,3,2,1559347200
2019-07,4,1,1561939200
2019-09,12,2,1567296000
2019-10,13,5,1569888000
2019-11,36,4,1572566400
2019-12,16,2,1575158400
2020-01,12,2,1577836800
2020-03,7,3,1583020800
2020-05,3,2,1588291200
2020-06,19,5,1590969600
2020-07,12,5,1593561600
2020-08,3,2,1596240000
