YYYY-MM,nCommits,nAuthors,timestamp
2009-03,116,6,1235865600
2009-04,336,6,1238544000
2009-05,192,7,1241136000
2009-06,84,6,1243814400
2009-07,110,8,1246406400
2009-08,332,8,1249084800
2009-09,347,6,1251763200
2009-10,278,10,1254355200
2009-11,558,7,1257033600
2009-12,220,9,1259625600
2010-01,34,3,1262304000
2010-02,86,8,1264982400
2010-03,134,5,1267401600
2010-04,91,5,1270080000
2010-05,116,6,1272672000
2010-06,138,5,1275350400
2010-07,24,2,1277942400
2010-08,80,4,1280620800
2010-09,224,8,1283299200
2010-10,374,9,1285891200
2010-11,298,8,1288569600
2010-12,102,4,1291161600
2011-01,10,2,1293840000
2011-03,4,1,1298937600
2011-04,246,10,1301616000
2011-05,460,7,1304208000
2011-06,416,7,1306886400
2011-07,330,8,1309478400
2011-08,828,9,1312156800
2011-09,474,9,1314835200
2011-10,220,9,1317427200
2011-11,320,5,1320105600
2011-12,206,6,1322697600
2012-01,120,5,1325376000
2012-02,324,13,1328054400
2012-03,198,7,1330560000
2012-04,152,5,1333238400
2012-05,164,6,1335830400
2012-06,258,5,1338508800
2012-07,108,5,1341100800
2012-08,44,5,1343779200
2012-09,78,6,1346457600
2012-10,88,4,1349049600
2012-11,176,5,1351728000
2012-12,78,5,1354320000
2013-01,110,5,1356998400
2013-02,122,6,1359676800
2013-03,136,7,1362096000
2013-04,76,7,1364774400
2013-05,6,2,1367366400
2013-06,68,6,1370044800
2013-07,80,4,1372636800
2013-08,18,2,1375315200
2013-09,8,2,1377993600
2013-10,12,3,1380585600
2013-11,26,3,1383264000
2013-12,2,1,1385856000
2014-01,66,4,1388534400
2014-02,44,3,1391212800
2014-03,30,2,1393632000
2014-04,46,2,1396310400
2014-05,38,2,1398902400
2014-07,28,1,1404172800
2014-08,12,1,1406851200
2014-09,38,5,1409529600
2014-10,64,7,1412121600
2014-11,18,3,1414800000
2014-12,56,5,1417392000
2015-01,120,4,1420070400
2015-03,2,1,1425168000
2015-07,22,1,1435708800
2015-08,2,1,1438387200
2016-03,24,1,1456790400
