YYYY-MM,nCommits,nAuthors,timestamp
2010-09,3,2,1283299200
2010-10,10,4,1285891200
2010-11,25,3,1288569600
2010-12,19,2,1291161600
2011-01,20,4,1293840000
2011-02,230,18,1296518400
2011-03,226,17,1298937600
2011-04,274,23,1301616000
2011-05,215,15,1304208000
2011-06,269,19,1306886400
2011-07,365,26,1309478400
2011-08,425,22,1312156800
2011-09,352,25,1314835200
2011-10,379,23,1317427200
2011-11,263,23,1320105600
2011-12,318,24,1322697600
2012-01,415,26,1325376000
2012-02,377,22,1328054400
2012-03,313,25,1330560000
2012-04,314,26,1333238400
2012-05,335,23,1335830400
2012-06,223,15,1338508800
2012-07,113,10,1341100800
2012-08,123,11,1343779200
2012-09,207,14,1346457600
2012-10,198,16,1349049600
2012-11,126,12,1351728000
2012-12,57,11,1354320000
2013-01,66,10,1356998400
2013-02,112,11,1359676800
2013-03,126,16,1362096000
2013-04,73,10,1364774400
2013-05,193,19,1367366400
2013-06,219,21,1370044800
2013-07,211,28,1372636800
2013-08,170,21,1375315200
2013-09,225,27,1377993600
2013-10,251,24,1380585600
2013-11,125,21,1383264000
2013-12,108,19,1385856000
2014-01,139,22,1388534400
2014-02,117,22,1391212800
2014-03,187,24,1393632000
2014-04,105,15,1396310400
2014-05,257,18,1398902400
2014-06,146,17,1401580800
2014-07,136,21,1404172800
2014-08,124,22,1406851200
2014-09,75,16,1409529600
2014-12,42,3,1417392000
2015-01,14,2,1420070400
