YYYY-MM,nCommits,nAuthors,timestamp
2008-10,1,1,1222819200
2008-11,5,2,1225497600
2008-12,3,3,1228089600
2009-01,11,3,1230768000
2009-02,4,1,1233446400
2009-03,70,13,1235865600
2009-04,60,11,1238544000
2009-05,44,11,1241136000
2009-06,34,11,1243814400
2009-07,52,15,1246406400
2009-08,125,14,1249084800
2009-09,670,24,1251763200
2009-10,525,24,1254355200
2009-11,114,15,1257033600
2009-12,74,17,1259625600
2010-01,19,9,1262304000
2010-02,67,12,1264982400
2010-03,137,19,1267401600
2010-04,118,13,1270080000
2010-05,85,10,1272672000
2010-06,123,11,1275350400
2010-07,84,12,1277942400
2010-08,100,14,1280620800
2010-09,191,13,1283299200
2010-10,237,14,1285891200
2010-11,231,16,1288569600
2010-12,138,9,1291161600
2011-01,373,17,1293840000
2011-02,111,8,1296518400
2011-03,115,6,1298937600
2011-04,45,9,1301616000
2011-05,67,11,1304208000
2011-06,155,15,1306886400
2011-07,498,18,1309478400
2011-08,555,24,1312156800
2011-09,388,23,1314835200
2011-10,345,15,1317427200
2011-11,313,15,1320105600
2011-12,79,9,1322697600
2012-01,79,10,1325376000
2012-02,119,8,1328054400
2012-03,60,7,1330560000
2012-04,141,11,1333238400
2012-05,202,13,1335830400
2012-06,64,13,1338508800
2012-07,54,9,1341100800
2012-08,150,12,1343779200
2012-09,97,14,1346457600
2012-10,121,12,1349049600
2012-11,151,9,1351728000
2012-12,67,5,1354320000
2013-01,37,6,1356998400
2013-02,18,6,1359676800
2013-03,21,6,1362096000
2013-04,28,5,1364774400
2013-05,30,11,1367366400
2013-06,31,8,1370044800
2013-07,5,3,1372636800
2013-08,19,5,1375315200
2013-09,89,11,1377993600
2013-10,65,7,1380585600
2013-11,19,3,1383264000
2013-12,9,3,1385856000
2014-01,29,3,1388534400
2014-02,28,6,1391212800
2014-03,116,6,1393632000
2014-04,25,7,1396310400
2014-05,66,12,1398902400
2014-06,140,9,1401580800
2014-07,201,9,1404172800
2014-08,182,7,1406851200
2014-09,281,11,1409529600
2014-10,187,9,1412121600
2014-11,123,8,1414800000
2014-12,80,5,1417392000
2015-01,12,7,1420070400
2015-02,11,5,1422748800
2015-03,4,1,1425168000
2015-04,2,2,1427846400
