YYYY-MM,nCommits,nAuthors,timestamp
2005-09,4,1,1125532800
2005-10,4,3,1128124800
2005-11,2,1,1130803200
2005-12,5,2,1133395200
2006-01,4,3,1136073600
2006-02,3,2,1138752000
2006-03,4,3,1141171200
2006-04,1,1,1143849600
2006-05,3,2,1146441600
2006-07,2,2,1151712000
2006-08,4,3,1154390400
2006-09,2,2,1157068800
2006-10,2,1,1159660800
2006-12,2,1,1164931200
2007-01,3,3,1167609600
2007-02,10,3,1170288000
2007-03,38,11,1172707200
2007-04,9,4,1175385600
2007-05,96,12,1177977600
2007-06,156,19,1180656000
2007-07,194,20,1183248000
2007-08,114,22,1185926400
2007-09,125,18,1188604800
2007-10,141,23,1191196800
2007-11,229,28,1193875200
2007-12,176,30,1196467200
2008-01,195,28,1199145600
2008-02,157,19,1201824000
2008-03,111,19,1204329600
2008-04,335,31,1207008000
2008-05,217,30,1209600000
2008-06,129,18,1212278400
2008-07,149,24,1214870400
2008-08,190,23,1217548800
2008-09,182,18,1220227200
2008-10,189,24,1222819200
2008-11,247,28,1225497600
2008-12,211,21,1228089600
2009-01,209,25,1230768000
2009-02,146,28,1233446400
2009-03,141,18,1235865600
2009-04,156,23,1238544000
2009-05,152,21,1241136000
2009-06,148,14,1243814400
2009-07,127,20,1246406400
2009-08,147,15,1249084800
2009-09,214,26,1251763200
2009-10,281,21,1254355200
2009-11,239,16,1257033600
2009-12,220,32,1259625600
2010-01,282,19,1262304000
2010-02,169,20,1264982400
2010-03,131,14,1267401600
2010-04,209,14,1270080000
2010-05,220,20,1272672000
2010-06,113,18,1275350400
2010-07,73,18,1277942400
2010-08,156,15,1280620800
2010-09,148,17,1283299200
2010-10,198,17,1285891200
2010-11,94,20,1288569600
2010-12,95,14,1291161600
2011-01,101,9,1293840000
2011-02,82,9,1296518400
2011-03,42,5,1298937600
2011-04,145,17,1301616000
2011-05,182,13,1304208000
2011-06,69,10,1306886400
2011-07,201,11,1309478400
2011-08,59,12,1312156800
2011-09,51,9,1314835200
2011-10,98,12,1317427200
2011-11,236,15,1320105600
2011-12,179,18,1322697600
2012-01,123,17,1325376000
2012-02,130,17,1328054400
2012-03,105,19,1330560000
2012-04,52,15,1333238400
2012-05,59,15,1335830400
2012-06,63,19,1338508800
2012-07,31,9,1341100800
2012-08,90,17,1343779200
2012-09,82,9,1346457600
2012-10,128,15,1349049600
2012-11,91,13,1351728000
2012-12,128,13,1354320000
2013-01,63,11,1356998400
2013-02,476,10,1359676800
2013-03,205,7,1362096000
2013-04,114,6,1364774400
2013-05,90,7,1367366400
2013-06,64,9,1370044800
2013-07,108,11,1372636800
2013-08,270,17,1375315200
2013-09,222,11,1377993600
2013-10,151,15,1380585600
2013-11,62,13,1383264000
2013-12,150,16,1385856000
2014-01,186,15,1388534400
2014-02,239,15,1391212800
2014-03,140,15,1393632000
2014-04,49,9,1396310400
