YYYY-MM,nCommits,nAuthors,timestamp
2002-02,17,4,1012521600
2002-03,24,4,1014940800
2002-04,7,2,1017619200
2002-05,99,5,1020211200
2002-06,92,6,1022889600
2002-07,82,5,1025481600
2002-08,24,4,1028160000
2002-09,30,6,1030838400
2002-10,105,3,1033430400
2002-11,257,5,1036108800
2002-12,77,4,1038700800
2003-01,192,6,1041379200
2003-02,92,5,1044057600
2003-03,99,5,1046476800
2003-04,72,5,1049155200
2003-05,75,2,1051747200
2003-06,70,4,1054425600
2003-07,96,4,1057017600
2003-08,49,3,1059696000
2003-09,210,7,1062374400
2003-10,123,7,1064966400
2003-11,49,4,1067644800
2003-12,65,5,1070236800
2004-01,110,6,1072915200
2004-02,66,7,1075593600
2004-03,123,6,1078099200
2004-04,119,5,1080777600
2004-05,138,6,1083369600
2004-06,270,8,1086048000
2004-07,232,8,1088640000
2004-08,227,7,1091318400
2004-09,229,9,1093996800
2004-10,223,9,1096588800
2004-11,367,12,1099267200
2004-12,168,10,1101859200
2005-01,100,9,1104537600
2005-02,89,6,1107216000
2005-03,133,8,1109635200
2005-04,393,10,1112313600
2005-05,330,8,1114905600
2005-06,548,8,1117584000
2005-07,204,10,1120176000
2005-08,261,10,1122854400
2005-09,247,12,1125532800
2005-10,332,10,1128124800
2005-11,231,12,1130803200
2005-12,196,9,1133395200
2006-01,201,8,1136073600
2006-02,184,9,1138752000
2006-03,124,7,1141171200
2006-04,123,7,1143849600
2006-05,159,10,1146441600
2006-06,152,9,1149120000
2006-07,140,9,1151712000
2006-08,133,10,1154390400
2006-09,68,6,1157068800
2006-10,39,5,1159660800
2006-11,126,6,1162339200
2006-12,98,6,1164931200
2007-01,84,7,1167609600
2007-02,80,7,1170288000
2007-03,199,9,1172707200
2007-04,475,9,1175385600
2007-05,42,7,1177977600
2007-06,93,11,1180656000
2007-07,54,7,1183248000
2007-08,54,7,1185926400
2007-09,28,3,1188604800
2007-10,35,10,1191196800
2007-11,13,6,1193875200
2007-12,38,6,1196467200
2008-01,44,4,1199145600
2008-02,72,3,1201824000
2008-03,29,3,1204329600
2008-04,5,2,1207008000
2008-05,18,5,1209600000
2008-06,4,2,1212278400
2008-07,29,6,1214870400
2008-08,41,5,1217548800
2008-09,201,7,1220227200
2008-10,24,4,1222819200
2008-11,23,3,1225497600
2008-12,11,2,1228089600
2009-01,42,4,1230768000
2009-02,3,2,1233446400
2009-03,22,4,1235865600
2009-04,5,3,1238544000
2009-05,47,4,1241136000
2009-06,14,3,1243814400
2009-07,10,2,1246406400
2009-08,8,2,1249084800
2009-09,40,2,1251763200
2009-10,41,3,1254355200
2009-11,22,3,1257033600
2009-12,31,5,1259625600
2010-01,2,1,1262304000
2010-02,2,1,1264982400
2010-03,16,4,1267401600
2010-04,14,4,1270080000
2010-05,21,3,1272672000
2010-06,126,5,1275350400
2010-07,40,4,1277942400
2010-08,24,3,1280620800
2010-09,20,5,1283299200
2010-10,14,2,1285891200
2010-11,16,2,1288569600
2010-12,56,3,1291161600
2011-01,187,2,1293840000
2011-02,21,2,1296518400
2011-03,6,2,1298937600
2011-04,29,2,1301616000
2011-05,28,2,1304208000
2011-06,9,2,1306886400
2011-08,1,1,1312156800
2011-09,2,1,1314835200
2011-10,3,1,1317427200
2011-11,3,1,1320105600
2012-01,5,1,1325376000
2012-03,2,2,1330560000
2012-04,2,1,1333238400
2012-11,2,1,1351728000
2012-12,5,1,1354320000
2013-01,18,2,1356998400
2013-02,1,1,1359676800
2013-04,1,1,1364774400
2013-07,3,1,1372636800
2013-09,1,1,1377993600
2013-10,25,1,1380585600
2013-11,8,1,1383264000
2013-12,4,1,1385856000
2014-03,1,1,1393632000
2014-06,1,1,1401580800
2014-08,3,1,1406851200
2014-09,12,2,1409529600
2014-11,4,3,1414800000
2014-12,1,1,1417392000
2015-01,2,1,1420070400
2015-02,4,2,1422748800
2015-03,1,1,1425168000
2015-04,5,1,1427846400
2015-05,9,1,1430438400
2015-06,1,1,1433116800
2015-10,3,2,1443657600
2015-11,4,1,1446336000
2016-02,3,1,1454284800
2016-05,3,1,1462060800
2016-07,27,2,1467331200
2016-09,4,1,1472688000
2017-01,2,1,1483228800
2017-03,4,3,1488326400
2017-04,3,1,1491004800
2017-06,4,1,1496275200
2017-10,2,1,1506816000
2018-01,1,1,1514764800
2018-02,6,1,1517443200
2018-07,4,1,1530403200
