YYYY-MM,nCommits,nAuthors,timestamp
2004-09,106,7,1093996800
2004-10,111,5,1096588800
2004-11,76,5,1099267200
2004-12,72,4,1101859200
2005-01,120,5,1104537600
2005-02,194,6,1107216000
2005-03,444,6,1109635200
2005-04,600,8,1112313600
2005-05,279,7,1114905600
2005-06,212,6,1117584000
2005-07,345,6,1120176000
2005-08,238,7,1122854400
2005-09,246,6,1125532800
2005-10,258,7,1128124800
2005-11,272,8,1130803200
2005-12,336,11,1133395200
2006-01,272,9,1136073600
2006-02,275,5,1138752000
2006-03,1005,8,1141171200
2006-04,405,8,1143849600
2006-05,267,6,1146441600
2006-06,255,8,1149120000
2006-07,463,8,1151712000
2006-08,588,5,1154390400
2006-09,362,7,1157068800
2006-10,414,6,1159660800
2006-11,700,9,1162339200
2006-12,687,7,1164931200
2007-01,390,8,1167609600
2007-02,428,7,1170288000
2007-03,462,8,1172707200
2007-04,314,8,1175385600
2007-05,368,7,1177977600
2007-06,392,9,1180656000
2007-07,342,7,1183248000
2007-08,336,9,1185926400
2007-09,429,9,1188604800
2007-10,385,8,1191196800
2007-11,337,7,1193875200
2007-12,255,9,1196467200
2008-01,467,11,1199145600
2008-02,365,10,1201824000
2008-03,514,10,1204329600
2008-04,449,10,1207008000
2008-05,313,9,1209600000
2008-06,129,6,1212278400
2008-07,136,6,1214870400
2008-08,89,7,1217548800
2008-09,321,10,1220227200
2008-10,348,10,1222819200
2008-11,248,5,1225497600
2008-12,85,6,1228089600
2009-01,275,9,1230768000
2009-02,288,8,1233446400
2009-03,314,10,1235865600
2009-04,370,8,1238544000
2009-05,566,10,1241136000
2009-06,440,10,1243814400
2009-07,484,11,1246406400
2009-08,338,10,1249084800
2009-09,260,13,1251763200
2009-10,144,10,1254355200
2009-11,140,8,1257033600
2009-12,122,9,1259625600
2010-01,256,8,1262304000
2010-02,128,7,1264982400
2010-03,198,11,1267401600
2010-04,131,7,1270080000
2010-05,128,5,1272672000
2010-06,160,6,1275350400
2010-07,56,8,1277942400
2010-08,288,6,1280620800
2010-09,245,7,1283299200
2010-10,213,9,1285891200
2010-11,144,8,1288569600
2010-12,186,6,1291161600
2011-01,134,7,1293840000
2011-02,134,9,1296518400
2011-03,88,5,1298937600
2011-04,92,3,1301616000
2011-05,120,9,1304208000
2011-06,102,8,1306886400
2011-07,78,8,1309478400
2011-08,174,7,1312156800
2011-09,266,9,1314835200
2011-10,290,11,1317427200
2011-11,188,14,1320105600
2011-12,144,9,1322697600
2012-01,172,9,1325376000
2012-02,56,8,1328054400
2012-03,104,6,1330560000
2012-04,63,5,1333238400
2012-05,73,11,1335830400
2012-06,128,12,1338508800
2012-07,86,8,1341100800
2012-08,78,11,1343779200
2012-09,86,8,1346457600
2012-10,56,8,1349049600
2012-11,32,6,1351728000
2012-12,40,7,1354320000
2013-01,136,9,1356998400
2013-02,60,6,1359676800
2013-03,85,13,1362096000
2013-04,110,11,1364774400
2013-05,151,8,1367366400
2013-06,42,7,1370044800
2013-07,88,8,1372636800
2013-08,57,11,1375315200
2013-09,58,11,1377993600
2013-10,60,8,1380585600
2013-11,46,5,1383264000
2013-12,18,4,1385856000
2014-01,20,6,1388534400
2014-02,40,8,1391212800
2014-03,52,10,1393632000
2014-04,50,8,1396310400
2014-05,39,9,1398902400
2014-06,23,6,1401580800
2014-07,14,6,1404172800
2014-08,20,4,1406851200
2014-09,42,5,1409529600
2014-10,29,6,1412121600
2014-11,17,3,1414800000
2014-12,47,6,1417392000
2015-01,17,3,1420070400
2015-02,20,3,1422748800
2015-03,41,7,1425168000
2015-04,17,5,1427846400
2015-05,76,4,1430438400
2015-06,11,5,1433116800
2015-07,13,5,1435708800
2015-08,60,6,1438387200
2015-09,22,7,1441065600
2015-10,46,7,1443657600
2015-11,3,2,1446336000
2015-12,26,5,1448928000
2016-01,2,1,1451606400
2016-02,86,4,1454284800
2016-03,9,2,1456790400
2016-04,40,4,1459468800
2016-05,33,5,1462060800
2016-06,14,2,1464739200
2016-07,67,3,1467331200
2016-08,51,8,1470009600
2016-09,172,6,1472688000
2016-10,48,2,1475280000
2016-11,55,4,1477958400
2016-12,245,8,1480550400
2017-01,141,3,1483228800
2017-02,26,2,1485907200
2017-03,63,5,1488326400
2017-04,32,1,1491004800
2017-05,46,2,1493596800
2017-06,69,4,1496275200
2017-07,42,1,1498867200
2017-08,2,1,1501545600
2017-09,98,2,1504224000
2017-10,188,3,1506816000
2017-11,57,2,1509494400
2017-12,108,2,1512086400
2018-01,90,4,1514764800
2018-02,104,2,1517443200
2018-03,68,2,1519862400
2018-04,62,2,1522540800
2018-05,138,1,1525132800
2018-06,130,4,1527811200
2018-07,156,7,1530403200
2018-08,65,7,1533081600
2018-09,106,5,1535760000
2018-10,83,4,1538352000
2018-11,105,5,1541030400
2018-12,26,5,1543622400
2019-01,51,4,1546300800
2019-02,48,7,1548979200
2019-03,18,6,1551398400
2019-04,116,5,1554076800
2019-05,174,4,1556668800
2019-06,27,4,1559347200
2019-07,36,5,1561939200
2019-08,48,6,1564617600
2019-09,45,4,1567296000
2019-10,27,4,1569888000
2019-11,27,1,1572566400
2019-12,27,1,1575158400
2020-01,10,1,1577836800
2020-02,24,3,1580515200
2020-03,26,5,1583020800
2020-04,32,2,1585699200
2020-05,54,5,1588291200
2020-06,73,2,1590969600
2020-07,97,4,1593561600
2020-08,39,1,1596240000
