YYYY-MM,nCommits,nAuthors,timestamp
2011-09,58,3,1314835200
2011-10,62,4,1317427200
2011-11,58,6,1320105600
2011-12,102,4,1322697600
2012-01,217,11,1325376000
2012-02,94,8,1328054400
2012-03,101,9,1330560000
2012-04,119,12,1333238400
2012-05,229,9,1335830400
2012-06,101,7,1338508800
2012-07,97,11,1341100800
2012-08,127,10,1343779200
2012-09,57,6,1346457600
2012-10,159,11,1349049600
2012-11,63,10,1351728000
2012-12,71,9,1354320000
2013-01,47,8,1356998400
2013-02,103,11,1359676800
2013-03,61,7,1362096000
2013-04,25,7,1364774400
2013-05,67,11,1367366400
2013-06,36,10,1370044800
2013-07,49,7,1372636800
2013-08,52,9,1375315200
2013-09,40,7,1377993600
2013-10,34,9,1380585600
2013-11,22,4,1383264000
2013-12,100,12,1385856000
2014-01,127,15,1388534400
2014-02,71,12,1391212800
2014-03,75,26,1393632000
2014-04,205,38,1396310400
2014-05,226,42,1398902400
2014-06,284,32,1401580800
2014-07,215,41,1404172800
2014-08,173,36,1406851200
2014-09,134,24,1409529600
2014-10,168,34,1412121600
2014-11,164,31,1414800000
2014-12,195,31,1417392000
2015-01,191,31,1420070400
2015-02,240,42,1422748800
2015-03,341,35,1425168000
2015-04,253,35,1427846400
2015-05,180,25,1430438400
2015-06,210,30,1433116800
2015-07,257,47,1435708800
2015-08,238,42,1438387200
2015-09,318,50,1441065600
2015-10,317,51,1443657600
2015-11,392,45,1446336000
2015-12,275,38,1448928000
2016-01,516,60,1451606400
2016-02,493,53,1454284800
2016-03,576,47,1456790400
2016-04,326,38,1459468800
2016-05,355,43,1462060800
2016-06,388,34,1464739200
2016-07,450,35,1467331200
2016-08,329,41,1470009600
2016-09,368,31,1472688000
2016-10,205,23,1475280000
2016-11,288,39,1477958400
2016-12,215,35,1480550400
2017-01,320,27,1483228800
2017-02,318,43,1485907200
2017-03,304,50,1488326400
2017-04,291,65,1491004800
2017-05,244,47,1493596800
2017-06,210,27,1496275200
2017-07,305,29,1498867200
2017-08,235,37,1501545600
2017-09,150,23,1504224000
2017-10,113,20,1506816000
2017-11,138,19,1509494400
2017-12,132,25,1512086400
2018-01,205,26,1514764800
2018-02,186,17,1517443200
2018-03,121,26,1519862400
2018-04,157,33,1522540800
2018-05,200,24,1525132800
2018-06,138,27,1527811200
2018-07,107,20,1530403200
2018-08,92,23,1533081600
2018-09,99,14,1535760000
2018-10,142,25,1538352000
2018-11,51,15,1541030400
2018-12,65,19,1543622400
2019-01,65,14,1546300800
2019-02,51,16,1548979200
2019-03,66,12,1551398400
2019-04,81,16,1554076800
2019-05,44,15,1556668800
2019-06,79,19,1559347200
2019-07,104,20,1561939200
2019-08,61,13,1564617600
2019-09,32,15,1567296000
2019-10,83,18,1569888000
2019-11,36,10,1572566400
2019-12,15,8,1575158400
2020-01,45,13,1577836800
2020-02,44,9,1580515200
2020-03,93,12,1583020800
2020-04,74,15,1585699200
2020-05,35,12,1588291200
2020-06,65,10,1590969600
2020-07,77,13,1593561600
2020-08,43,12,1596240000
2020-09,44,17,1598918400
