YYYY-MM,nCommits,nAuthors,timestamp
2000-02,4,3,949363200
2000-03,86,3,951868800
2000-04,60,4,954547200
2000-05,74,4,957139200
2000-06,232,8,959817600
2000-07,326,8,962409600
2000-08,604,5,965088000
2000-09,589,12,967766400
2000-10,912,21,970358400
2000-11,558,17,973036800
2000-12,334,13,975628800
2001-01,284,20,978307200
2001-02,662,19,980985600
2001-03,700,12,983404800
2001-04,274,15,986083200
2001-05,342,19,988675200
2001-06,394,12,991353600
2001-07,376,9,993945600
2001-08,558,21,996624000
2001-09,334,10,999302400
2001-10,354,18,1001894400
2001-11,432,18,1004572800
2001-12,270,19,1007164800
2002-01,806,18,1009843200
2002-02,522,20,1012521600
2002-03,438,22,1014940800
2002-04,448,21,1017619200
2002-05,444,16,1020211200
2002-06,644,20,1022889600
2002-07,832,23,1025481600
2002-08,466,19,1028160000
2002-09,218,19,1030838400
2002-10,540,30,1033430400
2002-11,592,29,1036108800
2002-12,520,31,1038700800
2003-01,880,32,1041379200
2003-02,809,38,1044057600
2003-03,688,28,1046476800
2003-04,456,31,1049155200
2003-05,586,34,1051747200
2003-06,482,32,1054425600
2003-07,426,25,1057017600
2003-08,596,35,1059696000
2003-09,634,40,1062374400
2003-10,654,36,1064966400
2003-11,584,38,1067644800
2003-12,490,32,1070236800
2004-01,828,45,1072915200
2004-02,646,32,1075593600
2004-03,814,36,1078099200
2004-04,654,35,1080777600
2004-05,660,38,1083369600
2004-06,386,45,1086048000
2004-07,692,47,1088640000
2004-08,668,44,1091318400
2004-09,814,47,1093996800
2004-10,996,63,1096588800
2004-11,812,52,1099267200
2004-12,888,55,1101859200
2005-01,678,50,1104537600
2005-02,624,66,1107216000
2005-03,1216,59,1109635200
2005-04,1428,71,1112313600
2005-05,686,53,1114905600
2005-06,581,53,1117584000
2005-07,643,59,1120176000
2005-08,963,73,1122854400
2005-09,717,53,1125532800
2005-10,1451,53,1128124800
2005-11,875,62,1130803200
2005-12,718,55,1133395200
2006-01,685,52,1136073600
2006-02,676,45,1138752000
2006-03,900,45,1141171200
2006-04,696,44,1143849600
2006-05,823,52,1146441600
2006-06,851,52,1149120000
2006-07,1204,58,1151712000
2006-08,799,53,1154390400
2006-09,786,42,1157068800
2006-10,909,56,1159660800
2006-11,671,43,1162339200
2006-12,631,46,1164931200
2007-01,919,49,1167609600
2007-02,422,36,1170288000
2007-03,1286,50,1172707200
2007-04,1092,53,1175385600
2007-05,776,37,1177977600
2007-06,696,57,1180656000
2007-07,624,51,1183248000
2007-08,1000,53,1185926400
2007-09,892,46,1188604800
2007-10,1340,52,1191196800
2007-11,1254,39,1193875200
2007-12,1044,42,1196467200
2008-01,818,29,1199145600
2008-02,1054,37,1201824000
2008-03,980,42,1204329600
2008-04,1446,42,1207008000
2008-05,1322,40,1209600000
2008-06,774,46,1212278400
2008-07,814,42,1214870400
2008-08,974,46,1217548800
2008-09,1068,45,1220227200
2008-10,1216,42,1222819200
2008-11,1008,39,1225497600
2008-12,996,45,1228089600
2009-01,1230,27,1230768000
2009-02,1166,30,1233446400
2009-03,1396,42,1235865600
2009-04,1208,29,1238544000
2009-05,748,29,1241136000
2009-06,744,27,1243814400
2009-07,474,30,1246406400
2009-08,992,30,1249084800
2009-09,1402,29,1251763200
2009-10,1208,34,1254355200
2009-11,656,29,1257033600
2009-12,375,18,1259625600
2010-01,532,22,1262304000
2010-02,512,22,1264982400
2010-03,1098,23,1267401600
2010-04,1060,16,1270080000
2010-05,786,18,1272672000
2010-06,1068,18,1275350400
2010-07,1261,19,1277942400
2010-08,1226,26,1280620800
2010-09,1266,18,1283299200
2010-10,840,20,1285891200
2010-11,1176,20,1288569600
2010-12,710,21,1291161600
2011-01,660,23,1293840000
2011-02,980,22,1296518400
2011-03,932,20,1298937600
2011-04,1292,17,1301616000
2011-05,1974,20,1304208000
2011-06,1282,22,1306886400
2011-07,1538,19,1309478400
2011-08,1232,17,1312156800
2011-09,928,18,1314835200
2011-10,1054,21,1317427200
2011-11,818,16,1320105600
2011-12,580,15,1322697600
2012-01,618,18,1325376000
2012-02,1046,23,1328054400
2012-03,1010,22,1330560000
2012-04,1376,20,1333238400
2012-05,1253,21,1335830400
2012-06,842,23,1338508800
2012-07,586,20,1341100800
2012-08,462,20,1343779200
2012-09,840,18,1346457600
2012-10,926,22,1349049600
2012-11,994,23,1351728000
2012-12,1096,20,1354320000
2013-01,1386,22,1356998400
2013-02,1038,19,1359676800
2013-03,896,18,1362096000
2013-04,1144,24,1364774400
2013-05,1462,19,1367366400
2013-06,1184,23,1370044800
2013-07,1784,22,1372636800
2013-08,910,21,1375315200
2013-09,354,15,1377993600
2013-10,712,14,1380585600
2013-11,1094,19,1383264000
2013-12,556,15,1385856000
2014-01,672,13,1388534400
2014-02,944,14,1391212800
2014-03,812,15,1393632000
2014-04,791,23,1396310400
2014-05,386,10,1398902400
2014-06,602,16,1401580800
2014-07,362,12,1404172800
2014-08,760,16,1406851200
2014-09,358,11,1409529600
2014-10,430,9,1412121600
2014-11,498,14,1414800000
2014-12,516,13,1417392000
2015-01,914,14,1420070400
2015-02,1642,12,1422748800
2015-03,1244,19,1425168000
2015-04,874,19,1427846400
2015-05,574,13,1430438400
2015-06,718,13,1433116800
2015-07,390,10,1435708800
2015-08,592,11,1438387200
2015-09,906,14,1441065600
2015-10,706,11,1443657600
2015-11,410,10,1446336000
2015-12,486,13,1448928000
2016-01,368,11,1451606400
2016-02,306,10,1454284800
2016-03,180,9,1456790400
2016-04,338,12,1459468800
2016-05,278,10,1462060800
2016-06,140,6,1464739200
2016-07,74,6,1467331200
2016-08,144,7,1470009600
2016-09,158,9,1472688000
2016-10,413,14,1475280000
2016-11,394,11,1477958400
2016-12,112,4,1480550400
2017-01,144,6,1483228800
2017-02,212,9,1485907200
2017-03,112,4,1488326400
2017-04,49,4,1491004800
2017-05,188,9,1493596800
2017-06,98,5,1496275200
2017-07,326,10,1498867200
2017-08,279,12,1501545600
2017-09,163,8,1504224000
2017-10,110,9,1506816000
2017-11,172,10,1509494400
2017-12,288,11,1512086400
2018-01,308,10,1514764800
2018-02,284,10,1517443200
2018-03,360,14,1519862400
2018-04,330,12,1522540800
2018-05,88,9,1525132800
2018-06,152,6,1527811200
2018-07,272,9,1530403200
2018-08,64,4,1533081600
2018-09,324,10,1535760000
2018-10,273,14,1538352000
2018-11,476,9,1541030400
2018-12,218,10,1543622400
2019-01,291,9,1546300800
2019-02,87,8,1548979200
2019-03,97,7,1551398400
2019-04,37,4,1554076800
2019-05,27,6,1556668800
2019-06,32,5,1559347200
2019-07,66,5,1561939200
2019-08,30,5,1564617600
2019-09,84,8,1567296000
2019-10,49,6,1569888000
2019-11,47,7,1572566400
2019-12,45,8,1575158400
2020-01,19,5,1577836800
2020-02,16,5,1580515200
2020-03,63,6,1583020800
2020-04,52,8,1585699200
2020-05,40,9,1588291200
2020-06,31,8,1590969600
2020-07,24,6,1593561600
2020-08,15,5,1596240000
