YYYY-MM,nCommits,nAuthors,timestamp
1999-11,23,6,941414400
1999-12,26,4,944006400
2000-01,96,8,946684800
2000-02,113,9,949363200
2000-03,43,7,951868800
2000-04,114,8,954547200
2000-05,212,9,957139200
2000-06,183,7,959817600
2000-07,70,8,962409600
2000-08,89,7,965088000
2000-09,125,9,967766400
2000-10,306,5,970358400
2000-11,179,6,973036800
2000-12,103,5,975628800
2001-01,85,6,978307200
2001-02,94,9,980985600
2001-03,72,7,983404800
2001-04,63,7,986083200
2001-05,120,6,988675200
2001-06,119,8,991353600
2001-07,89,7,993945600
2001-08,142,8,996624000
2001-09,81,7,999302400
2001-10,218,8,1001894400
2001-11,108,9,1004572800
2001-12,101,9,1007164800
2002-01,130,11,1009843200
2002-02,59,9,1012521600
2002-03,54,7,1014940800
2002-04,71,8,1017619200
2002-05,57,8,1020211200
2002-06,81,6,1022889600
2002-07,71,5,1025481600
2002-08,104,8,1028160000
2002-09,92,6,1030838400
2002-10,33,6,1033430400
2002-11,44,5,1036108800
2002-12,55,6,1038700800
2003-01,138,7,1041379200
2003-02,63,5,1044057600
2003-03,74,7,1046476800
2003-04,23,5,1049155200
2003-05,29,5,1051747200
2003-06,46,6,1054425600
2003-07,82,7,1057017600
2003-08,15,7,1059696000
2003-09,25,4,1062374400
2003-10,35,4,1064966400
2003-11,164,8,1067644800
2003-12,38,6,1070236800
2004-01,100,6,1072915200
2004-02,79,6,1075593600
2004-03,51,4,1078099200
2004-04,34,4,1080777600
2004-05,23,3,1083369600
2004-06,31,4,1086048000
2004-07,46,4,1088640000
2004-08,31,3,1091318400
2004-09,42,3,1093996800
2004-10,41,3,1096588800
2004-11,31,3,1099267200
2004-12,33,3,1101859200
2005-01,28,3,1104537600
2005-02,24,3,1107216000
2005-03,31,2,1109635200
2005-04,22,3,1112313600
2005-05,122,2,1114905600
2005-06,129,4,1117584000
2005-07,24,2,1120176000
2005-08,3,1,1122854400
2005-09,17,1,1125532800
2005-10,30,1,1128124800
2005-11,31,2,1130803200
2005-12,11,1,1133395200
2006-01,23,1,1136073600
2006-02,58,2,1138752000
2006-03,4,2,1141171200
2006-04,14,2,1143849600
2006-05,10,2,1146441600
2006-06,17,2,1149120000
2006-07,34,1,1151712000
2006-08,15,1,1154390400
2006-09,108,1,1157068800
2006-10,26,1,1159660800
2006-11,57,3,1162339200
2006-12,2,1,1164931200
2007-01,11,1,1167609600
2007-02,5,1,1170288000
2007-03,31,2,1172707200
2007-04,6,1,1175385600
2007-05,18,1,1177977600
2007-06,14,1,1180656000
2007-07,21,1,1183248000
2007-08,30,2,1185926400
2007-09,28,2,1188604800
2007-10,8,1,1191196800
2007-11,20,2,1193875200
2007-12,19,1,1196467200
2008-01,12,1,1199145600
2008-03,2,1,1204329600
2008-04,20,3,1207008000
2008-05,43,1,1209600000
2008-06,7,1,1212278400
2008-07,25,2,1214870400
2008-08,12,1,1217548800
2008-09,62,3,1220227200
2008-10,30,2,1222819200
2008-11,48,2,1225497600
2008-12,110,2,1228089600
2009-01,39,3,1230768000
2009-02,12,2,1233446400
2009-03,15,1,1235865600
2009-04,10,1,1238544000
2009-05,35,3,1241136000
2009-06,26,3,1243814400
2009-07,14,3,1246406400
2009-08,26,4,1249084800
2009-09,13,4,1251763200
2009-10,18,3,1254355200
2009-11,39,4,1257033600
2009-12,44,3,1259625600
2010-01,27,2,1262304000
2010-02,45,3,1264982400
2010-03,23,2,1267401600
2010-04,30,3,1270080000
2010-05,58,3,1272672000
2010-06,45,3,1275350400
2010-07,33,3,1277942400
2010-08,33,4,1280620800
2010-09,26,3,1283299200
2010-10,34,3,1285891200
2010-11,68,4,1288569600
2010-12,8,2,1291161600
2011-01,36,3,1293840000
2011-02,16,4,1296518400
2011-03,29,3,1298937600
2011-04,24,3,1301616000
2011-05,31,4,1304208000
2011-06,7,2,1306886400
2011-07,10,2,1309478400
2011-08,30,4,1312156800
2011-09,20,4,1314835200
2011-10,20,2,1317427200
2011-11,17,2,1320105600
2011-12,13,4,1322697600
2012-01,15,2,1325376000
2012-02,5,2,1328054400
2012-03,6,2,1330560000
2012-04,2,1,1333238400
2012-05,11,3,1335830400
2012-06,3,1,1338508800
2012-07,27,2,1341100800
2012-08,17,3,1343779200
2012-09,15,2,1346457600
2012-10,7,2,1349049600
2012-11,7,1,1351728000
2012-12,11,1,1354320000
2013-01,17,2,1356998400
2013-02,3,1,1359676800
2013-03,3,1,1362096000
2013-04,2,1,1364774400
2013-05,6,2,1367366400
2013-06,1,1,1370044800
2013-07,12,2,1372636800
2013-08,5,2,1375315200
2013-10,2,1,1380585600
2014-01,10,1,1388534400
2014-02,10,2,1391212800
2014-03,2,1,1393632000
2014-04,2,1,1396310400
2014-05,3,1,1398902400
2014-07,4,2,1404172800
2014-08,1,1,1406851200
2014-10,2,1,1412121600
2014-11,2,1,1414800000
2015-01,4,1,1420070400
2015-03,2,1,1425168000
2015-05,3,3,1430438400
2015-06,3,2,1433116800
2015-10,8,1,1443657600
2015-12,4,1,1448928000
2016-06,2,1,1464739200
2016-08,3,1,1470009600
2017-03,2,1,1488326400
2017-10,2,1,1506816000
2018-01,2,1,1514764800
2018-02,6,1,1517443200
2018-03,4,1,1519862400
2018-04,27,2,1522540800
2018-05,5,1,1525132800
2018-06,6,2,1527811200
2018-07,2,2,1530403200
2018-08,5,2,1533081600
2018-09,2,2,1535760000
2018-10,3,2,1538352000
2019-01,5,4,1546300800
2019-02,2,1,1548979200
2019-03,5,2,1551398400
2019-04,6,2,1554076800
2019-07,3,3,1561939200
2019-08,1,1,1564617600
2019-10,2,2,1569888000
