YYYY-MM,nCommits,nAuthors,timestamp
1999-12,3,1,944006400
2000-01,1,1,946684800
2009-01,2,2,1230768000
2009-08,1,1,1249084800
2009-09,80,1,1251763200
2009-10,112,4,1254355200
2009-11,78,5,1257033600
2009-12,5,3,1259625600
2010-01,6,1,1262304000
2010-02,142,6,1264982400
2010-03,30,1,1267401600
2010-04,30,1,1270080000
2010-05,38,1,1272672000
2010-06,34,1,1275350400
2010-07,84,1,1277942400
2010-08,54,8,1280620800
2010-09,34,2,1283299200
2010-10,40,1,1285891200
2010-11,50,3,1288569600
2010-12,20,1,1291161600
2011-01,188,4,1293840000
2011-02,118,2,1296518400
2011-03,124,2,1298937600
2011-04,46,3,1301616000
2011-05,120,2,1304208000
2011-06,138,8,1306886400
2011-07,31,3,1309478400
2011-08,49,4,1312156800
2011-09,27,5,1314835200
2011-10,81,4,1317427200
2011-11,67,5,1320105600
2011-12,56,8,1322697600
2012-01,70,7,1325376000
2012-02,115,9,1328054400
2012-03,110,8,1330560000
2012-04,118,5,1333238400
2012-05,111,10,1335830400
2012-06,147,10,1338508800
2012-07,224,11,1341100800
2012-08,115,12,1343779200
2012-09,140,10,1346457600
2012-10,158,13,1349049600
2012-11,181,15,1351728000
2012-12,105,12,1354320000
2013-01,168,21,1356998400
2013-02,177,22,1359676800
2013-03,182,29,1362096000
2013-04,199,22,1364774400
2013-05,207,15,1367366400
2013-06,230,17,1370044800
2013-07,207,13,1372636800
2013-08,202,15,1375315200
2013-09,94,12,1377993600
2013-10,218,17,1380585600
2013-11,205,17,1383264000
2013-12,195,16,1385856000
2014-01,297,25,1388534400
2014-02,193,18,1391212800
2014-03,268,31,1393632000
2014-04,234,14,1396310400
2014-05,228,23,1398902400
2014-06,213,17,1401580800
2014-07,273,20,1404172800
2014-08,220,19,1406851200
2014-09,211,12,1409529600
2014-10,173,9,1412121600
2014-11,186,9,1414800000
2014-12,197,19,1417392000
2015-01,278,16,1420070400
2015-02,215,21,1422748800
2015-03,275,24,1425168000
2015-04,234,15,1427846400
2015-05,180,8,1430438400
2015-06,216,19,1433116800
2015-07,239,10,1435708800
2015-08,191,15,1438387200
2015-09,199,17,1441065600
2015-10,245,17,1443657600
2015-11,195,15,1446336000
2015-12,577,11,1448928000
2016-01,373,16,1451606400
2016-02,238,20,1454284800
2016-03,271,13,1456790400
2016-04,227,16,1459468800
2016-05,235,9,1462060800
2016-06,200,9,1464739200
2016-07,160,12,1467331200
2016-08,211,6,1470009600
2016-09,191,12,1472688000
2016-10,255,9,1475280000
2016-11,228,14,1477958400
2016-12,277,18,1480550400
2017-01,352,24,1483228800
2017-02,227,16,1485907200
2017-03,227,14,1488326400
2017-04,309,15,1491004800
2017-05,267,41,1493596800
2017-06,258,19,1496275200
2017-07,246,12,1498867200
2017-08,229,15,1501545600
2017-09,258,16,1504224000
2017-10,218,14,1506816000
2017-11,242,21,1509494400
2017-12,234,6,1512086400
2018-01,257,9,1514764800
2018-02,229,11,1517443200
2018-03,370,5,1519862400
2018-04,229,8,1522540800
2018-05,315,12,1525132800
2018-06,242,7,1527811200
2018-07,248,7,1530403200
2018-08,315,10,1533081600
2018-09,277,7,1535760000
2018-10,245,7,1538352000
2018-11,220,6,1541030400
2018-12,195,9,1543622400
2019-01,259,8,1546300800
2019-02,233,12,1548979200
2019-03,249,10,1551398400
2019-04,235,11,1554076800
2019-05,199,10,1556668800
2019-06,251,9,1559347200
2019-07,219,8,1561939200
2019-08,228,7,1564617600
2019-09,208,6,1567296000
2019-10,261,6,1569888000
2019-11,300,6,1572566400
2019-12,210,7,1575158400
2020-01,265,9,1577836800
2020-02,211,7,1580515200
2020-03,216,9,1583020800
2020-04,258,14,1585699200
2020-05,312,11,1588291200
2020-06,188,8,1590969600
2020-07,213,7,1593561600
2020-08,170,8,1596240000
2020-09,64,9,1598918400
2060-02,2,2,2842819200
