YYYY-MM,nCommits,nAuthors,timestamp
2012-11,17,2,1351728000
2012-12,164,3,1354320000
2013-01,62,2,1356998400
2013-02,41,2,1359676800
2013-03,44,5,1362096000
2013-04,97,4,1364774400
2013-05,23,3,1367366400
2013-06,116,5,1370044800
2013-07,67,6,1372636800
2013-08,86,5,1375315200
2013-09,41,6,1377993600
2013-10,35,7,1380585600
2013-11,65,6,1383264000
2013-12,44,7,1385856000
2014-01,111,8,1388534400
2014-02,91,11,1391212800
2014-03,52,11,1393632000
2014-04,27,10,1396310400
2014-05,37,6,1398902400
2014-06,60,14,1401580800
2014-07,73,13,1404172800
2014-08,90,10,1406851200
2014-09,68,10,1409529600
2014-10,48,12,1412121600
2014-11,27,14,1414800000
2014-12,76,18,1417392000
2015-01,76,21,1420070400
2015-02,68,18,1422748800
2015-03,75,21,1425168000
2015-04,103,21,1427846400
2015-05,105,21,1430438400
2015-06,113,26,1433116800
2015-07,178,34,1435708800
2015-08,245,32,1438387200
2015-09,305,29,1441065600
2015-10,237,38,1443657600
2015-11,268,36,1446336000
2015-12,131,31,1448928000
2016-01,246,37,1451606400
2016-02,322,36,1454284800
2016-03,435,38,1456790400
2016-04,440,47,1459468800
2016-05,415,44,1462060800
2016-06,815,54,1464739200
2016-07,993,73,1467331200
2016-08,841,70,1470009600
2016-09,696,64,1472688000
2016-10,749,55,1475280000
2016-11,663,53,1477958400
2016-12,749,46,1480550400
2017-01,757,52,1483228800
2017-02,632,50,1485907200
2017-03,734,61,1488326400
2017-04,649,56,1491004800
2017-05,997,59,1493596800
2017-06,783,51,1496275200
2017-07,542,49,1498867200
2017-08,779,48,1501545600
2017-09,632,47,1504224000
2017-10,555,44,1506816000
2017-11,445,47,1509494400
2017-12,653,44,1512086400
2018-01,522,42,1514764800
2018-02,597,47,1517443200
2018-03,471,58,1519862400
2018-04,599,42,1522540800
2018-05,401,50,1525132800
2018-06,582,67,1527811200
2018-07,387,54,1530403200
2018-08,431,52,1533081600
2018-09,361,42,1535760000
2018-10,699,137,1538352000
2018-11,1076,54,1541030400
2018-12,871,64,1543622400
2019-01,727,72,1546300800
2019-02,721,59,1548979200
2019-03,488,70,1551398400
2019-04,557,84,1554076800
2019-05,531,60,1556668800
2019-06,821,49,1559347200
2019-07,684,57,1561939200
2019-08,442,38,1564617600
2019-09,436,51,1567296000
2019-10,558,64,1569888000
2019-11,422,43,1572566400
2019-12,365,43,1575158400
2020-01,428,42,1577836800
2020-02,287,39,1580515200
2020-03,343,45,1583020800
2020-04,497,55,1585699200
2020-05,402,55,1588291200
2020-06,490,50,1590969600
2020-07,441,43,1593561600
2020-08,448,39,1596240000
2020-09,36,9,1598918400
