YYYY-MM,nCommits,nAuthors,timestamp
2012-08,2,2,1343779200
2012-10,85,10,1349049600
2012-11,106,10,1351728000
2012-12,107,10,1354320000
2013-01,180,15,1356998400
2013-02,185,19,1359676800
2013-03,381,18,1362096000
2013-04,204,15,1364774400
2013-05,180,11,1367366400
2013-06,105,9,1370044800
2013-07,126,9,1372636800
2013-08,120,7,1375315200
2013-09,146,11,1377993600
2013-10,48,9,1380585600
2013-11,73,8,1383264000
2013-12,75,7,1385856000
2014-01,167,8,1388534400
2014-02,185,10,1391212800
2014-03,126,14,1393632000
2014-04,171,12,1396310400
2014-05,189,14,1398902400
2014-06,254,12,1401580800
2014-07,142,14,1404172800
2014-08,256,15,1406851200
2014-09,131,15,1409529600
2014-10,191,13,1412121600
2014-11,134,16,1414800000
2014-12,327,16,1417392000
2015-01,606,18,1420070400
2015-02,285,19,1422748800
2015-03,457,20,1425168000
2015-04,403,21,1427846400
2015-05,118,15,1430438400
2015-06,206,17,1433116800
2015-07,91,8,1435708800
2015-08,46,13,1438387200
2015-09,41,14,1441065600
2015-10,37,12,1443657600
2015-11,67,8,1446336000
2015-12,35,3,1448928000
2016-01,46,3,1451606400
2016-02,19,4,1454284800
2016-03,6,5,1456790400
2016-04,17,3,1459468800
2016-05,23,3,1462060800
2016-06,22,3,1464739200
2016-07,13,3,1467331200
2016-08,17,4,1470009600
2016-09,24,5,1472688000
2016-10,13,2,1475280000
2016-11,5,2,1477958400
2016-12,2,1,1480550400
2017-01,13,3,1483228800
2017-02,18,4,1485907200
2017-03,5,2,1488326400
2017-04,5,1,1491004800
2017-05,12,1,1493596800
2017-06,7,2,1496275200
2017-07,12,4,1498867200
2017-08,14,3,1501545600
2017-09,43,7,1504224000
2017-10,58,5,1506816000
2017-11,59,5,1509494400
2017-12,13,4,1512086400
2018-01,16,3,1514764800
2018-02,14,3,1517443200
2018-03,70,4,1519862400
2018-04,13,5,1522540800
2018-05,13,3,1525132800
