YYYY-MM,nCommits,nAuthors,timestamp
2009-08,4,1,1249084800
2009-09,4,1,1251763200
2009-10,30,2,1254355200
2009-11,22,1,1257033600
2009-12,20,1,1259625600
2010-01,4,1,1262304000
2010-02,38,2,1264982400
2010-03,4,1,1267401600
2010-05,8,1,1272672000
2010-06,32,1,1275350400
2010-07,50,4,1277942400
2010-08,49,4,1280620800
2010-09,37,2,1283299200
2010-10,26,3,1285891200
2010-11,31,3,1288569600
2010-12,28,4,1291161600
2011-01,63,10,1293840000
2011-02,46,12,1296518400
2011-03,112,13,1298937600
2011-04,114,19,1301616000
2011-05,275,39,1304208000
2011-06,295,28,1306886400
2011-07,345,29,1309478400
2011-08,160,26,1312156800
2011-09,369,24,1314835200
2011-10,282,20,1317427200
2011-11,270,18,1320105600
2011-12,323,13,1322697600
2012-01,300,14,1325376000
2012-02,521,16,1328054400
2012-03,472,26,1330560000
2012-04,794,22,1333238400
2012-05,1198,24,1335830400
2012-06,653,28,1338508800
2012-07,375,27,1341100800
2012-08,444,26,1343779200
2012-09,405,29,1346457600
2012-10,227,20,1349049600
2012-11,230,29,1351728000
2012-12,236,34,1354320000
2013-01,275,27,1356998400
2013-02,207,34,1359676800
2013-03,258,35,1362096000
2013-04,426,49,1364774400
2013-05,330,63,1367366400
2013-06,301,53,1370044800
2013-07,317,44,1372636800
2013-08,382,53,1375315200
2013-09,263,39,1377993600
2013-10,367,39,1380585600
2013-11,290,41,1383264000
2013-12,323,56,1385856000
2014-01,362,44,1388534400
2014-02,325,56,1391212800
2014-03,450,78,1393632000
2014-04,302,70,1396310400
2014-05,499,67,1398902400
2014-06,491,60,1401580800
2014-07,453,56,1404172800
2014-08,516,68,1406851200
2014-09,500,66,1409529600
2014-10,547,68,1412121600
2014-11,724,72,1414800000
2014-12,783,82,1417392000
2015-01,761,71,1420070400
2015-02,768,66,1422748800
2015-03,772,68,1425168000
2015-04,728,60,1427846400
2015-05,739,57,1430438400
2015-06,830,72,1433116800
2015-07,982,78,1435708800
2015-08,704,59,1438387200
2015-09,608,74,1441065600
2015-10,633,75,1443657600
2015-11,643,65,1446336000
2015-12,659,74,1448928000
2016-01,657,97,1451606400
2016-02,737,95,1454284800
2016-03,1018,86,1456790400
2016-04,958,82,1459468800
2016-05,597,69,1462060800
2016-06,580,87,1464739200
2016-07,485,67,1467331200
2016-08,673,97,1470009600
2016-09,673,84,1472688000
2016-10,643,90,1475280000
2016-11,706,85,1477958400
2016-12,717,80,1480550400
2017-01,842,75,1483228800
2017-02,961,98,1485907200
2017-03,1067,106,1488326400
2017-04,1254,96,1491004800
2017-05,1248,170,1493596800
2017-06,1084,145,1496275200
2017-07,1183,111,1498867200
2017-08,926,113,1501545600
2017-09,1138,108,1504224000
2017-10,1226,120,1506816000
2017-11,1138,100,1509494400
2017-12,1001,124,1512086400
2018-01,1278,123,1514764800
2018-02,806,106,1517443200
2018-03,1225,119,1519862400
2018-04,1830,110,1522540800
2018-05,904,106,1525132800
2018-06,856,102,1527811200
2018-07,1113,118,1530403200
2018-08,1297,108,1533081600
2018-09,1413,108,1535760000
2018-10,1056,139,1538352000
2018-11,693,81,1541030400
2018-12,865,127,1543622400
2019-01,912,131,1546300800
2019-02,932,115,1548979200
2019-03,685,69,1551398400
2019-04,960,111,1554076800
2019-05,684,124,1556668800
2019-06,455,60,1559347200
2019-07,573,61,1561939200
2019-08,540,80,1564617600
2019-09,482,68,1567296000
2019-10,980,95,1569888000
2019-11,725,71,1572566400
2019-12,401,66,1575158400
2020-01,562,72,1577836800
2020-02,420,76,1580515200
2020-03,598,69,1583020800
2020-04,787,64,1585699200
2020-05,686,73,1588291200
2020-06,744,80,1590969600
2020-07,532,71,1593561600
2020-08,541,72,1596240000
2020-09,475,107,1598918400
