YYYY-MM,nCommits,nAuthors,timestamp
2011-08,4,1,1312156800
2011-09,55,7,1314835200
2011-10,4,1,1317427200
2011-11,16,5,1320105600
2011-12,8,5,1322697600
2012-01,6,4,1325376000
2012-02,10,7,1328054400
2012-03,40,9,1330560000
2012-04,15,5,1333238400
2012-05,33,9,1335830400
2012-06,20,8,1338508800
2012-07,30,8,1341100800
2012-08,3,1,1343779200
2012-09,6,2,1346457600
2012-10,9,4,1349049600
2012-11,3,2,1351728000
2012-12,4,3,1354320000
2013-01,3,3,1356998400
2013-02,8,4,1359676800
2013-03,168,32,1362096000
2013-04,259,38,1364774400
2013-05,90,24,1367366400
2013-06,87,4,1370044800
2013-07,56,5,1372636800
2013-08,102,6,1375315200
2013-09,93,10,1377993600
2013-10,64,4,1380585600
2013-11,57,10,1383264000
2013-12,35,10,1385856000
2014-01,47,10,1388534400
2014-02,56,14,1391212800
2014-03,93,14,1393632000
2014-04,66,10,1396310400
2014-05,139,19,1398902400
2014-06,114,16,1401580800
2014-07,71,13,1404172800
2014-08,115,17,1406851200
2014-09,102,19,1409529600
2014-10,88,14,1412121600
2014-11,140,11,1414800000
2014-12,99,15,1417392000
2015-01,60,11,1420070400
2015-02,109,15,1422748800
2015-03,33,9,1425168000
2015-04,109,14,1427846400
2015-05,35,16,1430438400
2015-06,121,16,1433116800
2015-07,79,12,1435708800
