YYYY-MM,nCommits,nAuthors,timestamp
2014-09,166,2,1409529600
2014-10,382,2,1412121600
2014-11,91,4,1414800000
2014-12,56,2,1417392000
2015-01,89,2,1420070400
2015-02,52,4,1422748800
2015-03,35,2,1425168000
2015-04,6,2,1427846400
2015-05,3,1,1430438400
2015-06,4,1,1433116800
2015-07,2,1,1435708800
2015-08,3,1,1438387200
2015-09,7,2,1441065600
2015-10,57,2,1443657600
2015-11,4,3,1446336000
2015-12,86,3,1448928000
2016-01,14,5,1451606400
2016-03,19,3,1456790400
2016-04,20,3,1459468800
2016-06,2,1,1464739200
2016-07,110,3,1467331200
2016-08,57,5,1470009600
2016-09,427,7,1472688000
2016-10,300,6,1475280000
2016-11,52,4,1477958400
2016-12,104,4,1480550400
2017-01,133,3,1483228800
2017-02,89,5,1485907200
2017-03,155,12,1488326400
2017-04,184,7,1491004800
2017-05,317,5,1493596800
2017-06,356,11,1496275200
2017-07,154,6,1498867200
2017-08,147,5,1501545600
2017-09,131,6,1504224000
2017-10,119,9,1506816000
2017-11,90,6,1509494400
2017-12,177,5,1512086400
2018-01,258,8,1514764800
2018-02,86,9,1517443200
2018-03,412,15,1519862400
2018-04,259,9,1522540800
2018-05,148,9,1525132800
2018-06,288,12,1527811200
2018-07,219,10,1530403200
2018-08,160,10,1533081600
2018-09,230,6,1535760000
2018-10,440,8,1538352000
2018-11,182,6,1541030400
2018-12,104,8,1543622400
2019-01,164,11,1546300800
2019-02,287,10,1548979200
2019-03,556,20,1551398400
2019-04,563,17,1554076800
2019-05,425,16,1556668800
2019-06,1060,16,1559347200
2019-07,409,7,1561939200
2019-08,286,6,1564617600
2019-09,394,5,1567296000
2019-10,383,8,1569888000
2019-11,360,4,1572566400
2019-12,365,5,1575158400
2020-01,420,6,1577836800
2020-02,572,12,1580515200
2020-03,501,17,1583020800
2020-04,294,10,1585699200
2020-05,171,9,1588291200
2020-06,455,14,1590969600
2020-07,421,12,1593561600
2020-08,200,12,1596240000
2020-09,149,8,1598918400
