YYYY-MM,nCommits,nAuthors,timestamp
2014-04,18,1,1396310400
2014-08,66,2,1406851200
2014-09,116,2,1409529600
2014-10,4,1,1412121600
2015-04,30,4,1427846400
2015-05,4,1,1430438400
2015-06,66,3,1433116800
2015-07,51,4,1435708800
2015-08,29,4,1438387200
2015-09,32,2,1441065600
2015-10,2,1,1443657600
2015-11,4,1,1446336000
2016-01,28,4,1451606400
2016-02,126,4,1454284800
2016-03,29,5,1456790400
2016-04,927,11,1459468800
2016-05,154,10,1462060800
2016-06,99,8,1464739200
2016-07,99,10,1467331200
2016-08,80,8,1470009600
2016-09,270,7,1472688000
2016-10,289,10,1475280000
2016-11,267,10,1477958400
2016-12,123,11,1480550400
2017-01,141,9,1483228800
2017-02,307,9,1485907200
2017-03,165,10,1488326400
2017-04,357,11,1491004800
2017-05,867,11,1493596800
2017-06,465,11,1496275200
2017-07,79,12,1498867200
2017-08,117,7,1501545600
2017-09,120,11,1504224000
2017-10,212,15,1506816000
2017-11,224,13,1509494400
2017-12,156,17,1512086400
2018-01,164,9,1514764800
2018-02,282,13,1517443200
2018-03,270,11,1519862400
2018-04,529,16,1522540800
2018-05,262,15,1525132800
2018-06,465,10,1527811200
2018-07,457,15,1530403200
2018-08,244,16,1533081600
2018-09,196,17,1535760000
2018-10,442,21,1538352000
2018-11,317,24,1541030400
2018-12,203,17,1543622400
2019-01,163,12,1546300800
2019-02,325,20,1548979200
2019-03,299,18,1551398400
2019-04,122,14,1554076800
2019-05,100,18,1556668800
2019-06,106,19,1559347200
2019-07,31,13,1561939200
