YYYY-MM,nCommits,nAuthors,timestamp
2014-06,241,3,1401580800
2014-07,522,10,1404172800
2014-08,615,5,1406851200
2014-09,176,5,1409529600
2014-10,76,7,1412121600
2014-11,42,2,1414800000
2014-12,4,1,1417392000
2015-01,28,2,1420070400
2015-02,7,3,1422748800
2015-03,97,5,1425168000
2015-04,36,8,1427846400
2015-05,111,9,1430438400
2015-06,366,19,1433116800
2015-07,86,8,1435708800
2015-08,144,4,1438387200
2015-09,196,6,1441065600
2015-10,102,13,1443657600
2015-11,87,9,1446336000
2015-12,116,9,1448928000
2016-01,67,8,1451606400
2016-02,70,9,1454284800
2016-03,47,9,1456790400
2016-04,133,13,1459468800
2016-05,151,19,1462060800
2016-06,84,12,1464739200
2016-07,243,13,1467331200
2016-08,99,12,1470009600
2016-09,148,12,1472688000
2016-10,101,10,1475280000
2016-11,192,13,1477958400
2016-12,129,10,1480550400
2017-01,138,15,1483228800
2017-02,101,12,1485907200
2017-03,177,13,1488326400
2017-04,132,8,1491004800
2017-05,102,13,1493596800
2017-06,152,18,1496275200
2017-07,104,8,1498867200
2017-08,154,15,1501545600
2017-09,31,6,1504224000
2017-10,61,5,1506816000
2017-11,81,7,1509494400
2017-12,76,7,1512086400
2018-01,161,13,1514764800
2018-02,81,16,1517443200
2018-03,165,16,1519862400
2018-04,68,7,1522540800
2018-05,55,7,1525132800
2018-06,171,11,1527811200
2018-07,152,10,1530403200
2018-08,130,11,1533081600
2018-09,132,10,1535760000
2018-10,99,9,1538352000
2018-11,65,6,1541030400
2018-12,59,12,1543622400
2019-01,72,6,1546300800
2019-02,43,11,1548979200
2019-03,116,8,1551398400
2019-04,57,8,1554076800
2019-05,56,4,1556668800
2019-06,58,3,1559347200
2019-07,98,5,1561939200
2019-08,90,3,1564617600
2019-09,92,9,1567296000
2019-10,73,3,1569888000
2019-11,116,6,1572566400
2019-12,33,4,1575158400
2020-01,47,5,1577836800
2020-02,32,5,1580515200
2020-03,113,6,1583020800
2020-04,40,5,1585699200
2020-05,116,13,1588291200
2020-06,66,7,1590969600
2020-07,99,12,1593561600
2020-08,80,7,1596240000
