YYYY-MM,nCommits,nAuthors,timestamp
2014-04,39,1,1396310400
2014-05,90,6,1398902400
2014-06,38,2,1401580800
2014-07,7,3,1404172800
2014-08,16,2,1406851200
2014-09,30,3,1409529600
2014-10,91,1,1412121600
2014-11,51,1,1414800000
2014-12,31,2,1417392000
2015-01,109,3,1420070400
2015-02,46,4,1422748800
2015-03,42,3,1425168000
2015-04,183,2,1427846400
2015-05,41,3,1430438400
2015-06,22,3,1433116800
2015-07,18,2,1435708800
2015-08,28,3,1438387200
2015-09,129,4,1441065600
2015-10,153,8,1443657600
2015-11,97,3,1446336000
2015-12,4,1,1448928000
2016-01,4,1,1451606400
2016-02,48,4,1454284800
2016-03,44,2,1456790400
2016-04,1,1,1459468800
2016-05,3,1,1462060800
2016-06,225,3,1464739200
2016-07,44,2,1467331200
2016-08,2,1,1470009600
2016-09,46,4,1472688000
2016-10,88,3,1475280000
2016-11,1,1,1477958400
2016-12,20,1,1480550400
2017-01,34,6,1483228800
2017-02,26,4,1485907200
2017-03,52,5,1488326400
2017-04,75,4,1491004800
2018-02,810,4,1517443200
2018-03,10,1,1519862400
2018-04,2,1,1522540800
2018-05,2,1,1525132800
2018-06,6,1,1527811200
2018-07,3,1,1530403200
2018-08,3,1,1533081600
2018-11,1174,7,1541030400
2018-12,140,11,1543622400
2019-01,73,7,1546300800
2019-02,216,5,1548979200
2019-03,99,7,1551398400
2019-04,138,7,1554076800
2019-05,25,3,1556668800
2019-06,221,8,1559347200
2019-07,117,3,1561939200
2019-08,79,4,1564617600
2019-09,179,3,1567296000
2019-10,193,10,1569888000
2019-11,225,6,1572566400
2019-12,99,10,1575158400
2020-01,133,8,1577836800
2020-02,145,8,1580515200
2020-03,53,4,1583020800
2020-04,71,4,1585699200
2020-05,14,1,1588291200
2020-06,2439,28,1590969600
2020-07,287,12,1593561600
2020-08,455,15,1596240000
