YYYY-MM,nCommits,nAuthors,timestamp
2015-01,323,10,1420070400
2015-02,240,8,1422748800
2015-03,42,4,1425168000
2015-04,108,7,1427846400
2015-05,32,3,1430438400
2015-06,146,6,1433116800
2015-07,146,5,1435708800
2015-08,70,4,1438387200
2015-09,204,5,1441065600
2015-10,400,5,1443657600
2015-11,96,3,1446336000
2015-12,334,5,1448928000
2016-01,404,12,1451606400
2016-02,266,9,1454284800
2016-03,260,4,1456790400
2016-04,264,4,1459468800
2016-05,284,6,1462060800
2016-06,546,6,1464739200
2016-07,300,5,1467331200
2016-08,570,8,1470009600
2016-09,672,8,1472688000
2016-10,214,8,1475280000
2016-12,272,8,1480550400
2017-01,244,5,1483228800
2017-02,358,7,1485907200
2017-03,126,8,1488326400
2017-04,66,5,1491004800
2017-05,150,7,1493596800
2017-06,174,6,1496275200
2017-07,88,7,1498867200
2017-08,80,7,1501545600
2017-09,32,5,1504224000
2017-10,138,6,1506816000
2017-11,138,6,1509494400
2017-12,102,5,1512086400
2018-01,80,4,1514764800
2018-02,218,5,1517443200
2018-03,154,6,1519862400
2018-04,108,6,1522540800
2018-05,32,6,1525132800
2018-06,164,6,1527811200
2018-07,100,7,1530403200
2018-08,80,6,1533081600
2018-09,38,4,1535760000
2018-10,30,5,1538352000
2018-11,124,8,1541030400
2018-12,46,5,1543622400
2019-01,30,7,1546300800
2019-02,24,5,1548979200
2019-03,58,6,1551398400
2019-04,88,9,1554076800
2019-05,136,10,1556668800
2019-06,1218,19,1559347200
2019-07,696,17,1561939200
2019-08,212,13,1564617600
2019-09,92,12,1567296000
2019-10,164,12,1569888000
2019-11,150,11,1572566400
2019-12,112,13,1575158400
2020-01,238,14,1577836800
2020-02,274,9,1580515200
2020-03,310,10,1583020800
2020-04,294,8,1585699200
2020-05,130,12,1588291200
