YYYY-MM,nCommits,nAuthors,timestamp
2008-06,125,2,1212278400
2008-07,126,2,1214870400
2008-08,77,2,1217548800
2008-09,58,1,1220227200
2008-10,78,1,1222819200
2008-11,54,1,1225497600
2008-12,94,1,1228089600
2009-01,102,2,1230768000
2009-02,189,3,1233446400
2009-03,223,4,1235865600
2009-04,210,2,1238544000
2009-05,126,3,1241136000
2009-06,129,3,1243814400
2009-07,272,3,1246406400
2009-08,223,3,1249084800
2009-09,165,4,1251763200
2009-10,129,3,1254355200
2009-11,187,1,1257033600
2009-12,133,3,1259625600
2010-01,204,3,1262304000
2010-02,146,2,1264982400
2010-03,104,4,1267401600
2010-04,170,3,1270080000
2010-05,120,2,1272672000
2010-06,218,6,1275350400
2010-07,244,7,1277942400
2010-08,214,5,1280620800
2010-09,114,3,1283299200
2010-10,124,6,1285891200
2010-11,208,7,1288569600
2010-12,147,7,1291161600
2011-01,86,8,1293840000
2011-02,178,6,1296518400
2011-03,249,8,1298937600
2011-04,144,8,1301616000
2011-05,179,13,1304208000
2011-06,121,12,1306886400
2011-07,369,14,1309478400
2011-08,178,8,1312156800
2011-09,207,11,1314835200
2011-10,135,10,1317427200
2011-11,100,9,1320105600
2011-12,267,10,1322697600
2012-01,454,14,1325376000
2012-02,413,14,1328054400
2012-03,363,23,1330560000
2012-04,225,14,1333238400
2012-05,157,6,1335830400
2012-06,422,14,1338508800
2012-07,361,15,1341100800
2012-08,181,10,1343779200
2012-09,259,24,1346457600
2012-10,483,23,1349049600
2012-11,285,15,1351728000
2012-12,133,11,1354320000
2013-01,219,10,1356998400
2013-02,176,18,1359676800
2013-03,89,9,1362096000
2013-04,114,14,1364774400
2013-05,46,7,1367366400
2013-06,71,3,1370044800
2013-07,8,7,1372636800
2013-08,156,9,1375315200
2013-09,192,8,1377993600
2013-10,423,8,1380585600
2013-11,255,11,1383264000
2013-12,455,11,1385856000
2014-01,406,22,1388534400
2014-02,222,33,1391212800
2014-03,140,19,1393632000
2014-04,176,30,1396310400
2014-05,296,27,1398902400
2014-06,118,15,1401580800
2014-07,291,20,1404172800
2014-08,234,25,1406851200
2014-09,261,23,1409529600
2014-10,146,14,1412121600
2014-11,212,17,1414800000
2014-12,221,20,1417392000
2015-01,262,27,1420070400
2015-02,189,17,1422748800
2015-03,78,12,1425168000
2015-04,104,9,1427846400
2015-05,27,10,1430438400
2015-06,37,9,1433116800
2015-07,63,7,1435708800
2015-08,26,2,1438387200
2015-09,20,9,1441065600
2015-10,11,5,1443657600
2015-11,11,4,1446336000
2015-12,13,9,1448928000
2016-01,3,3,1451606400
2016-02,120,5,1454284800
2016-03,90,10,1456790400
2016-04,5,3,1459468800
2016-05,17,5,1462060800
2016-06,1,1,1464739200
2016-08,21,18,1470009600
2016-11,1,1,1477958400
2016-12,1,1,1480550400
2017-03,2,2,1488326400
2017-06,2,2,1496275200
