YYYY-MM,nCommits,nAuthors,timestamp
2012-05,2,1,1335830400
2012-06,180,4,1338508800
2012-07,1174,7,1341100800
2012-08,849,3,1343779200
2012-09,328,2,1346457600
2012-10,196,2,1349049600
2012-11,288,2,1351728000
2012-12,276,2,1354320000
2013-01,182,1,1356998400
2013-02,358,1,1359676800
2013-03,207,1,1362096000
2013-04,157,1,1364774400
2013-05,88,1,1367366400
2013-06,172,4,1370044800
2013-07,221,2,1372636800
2013-08,142,1,1375315200
2013-09,309,1,1377993600
2013-10,325,1,1380585600
2013-11,596,1,1383264000
2013-12,360,1,1385856000
2014-01,370,1,1388534400
2014-02,536,1,1391212800
2014-03,492,1,1393632000
2014-04,470,3,1396310400
2014-05,618,1,1398902400
2014-06,456,2,1401580800
2014-07,245,2,1404172800
2014-08,180,1,1406851200
2014-09,162,1,1409529600
2014-10,144,1,1412121600
2014-11,149,1,1414800000
2014-12,73,1,1417392000
2015-01,105,1,1420070400
2015-02,102,1,1422748800
2015-03,122,1,1425168000
2015-04,83,2,1427846400
2015-05,81,1,1430438400
2015-06,115,2,1433116800
2015-07,107,1,1435708800
2015-08,70,2,1438387200
2015-09,54,4,1441065600
2015-10,36,1,1443657600
2015-11,22,1,1446336000
2015-12,35,1,1448928000
2016-01,21,1,1451606400
2016-02,71,3,1454284800
2016-03,72,3,1456790400
2016-04,14,2,1459468800
2016-05,46,3,1462060800
2016-06,24,1,1464739200
2016-07,41,2,1467331200
2016-08,5,2,1470009600
2016-09,13,4,1472688000
2016-10,48,1,1475280000
2016-11,88,4,1477958400
2016-12,92,2,1480550400
2017-01,45,2,1483228800
2017-02,131,1,1485907200
2017-03,43,1,1488326400
2017-04,42,3,1491004800
2017-05,63,2,1493596800
2017-06,29,2,1496275200
2017-07,99,3,1498867200
2017-08,59,2,1501545600
2017-09,53,2,1504224000
2017-10,45,1,1506816000
2017-11,28,1,1509494400
2017-12,23,2,1512086400
2018-01,50,1,1514764800
2018-02,27,1,1517443200
2018-03,54,1,1519862400
2018-04,66,5,1522540800
2018-05,73,1,1525132800
2018-06,61,1,1527811200
2018-07,28,1,1530403200
2018-08,48,1,1533081600
2018-09,79,1,1535760000
2018-10,73,1,1538352000
2018-11,47,1,1541030400
2018-12,28,3,1543622400
2019-01,20,2,1546300800
2019-02,31,3,1548979200
2019-03,16,1,1551398400
2019-04,16,1,1554076800
2019-05,78,2,1556668800
2019-06,18,1,1559347200
2019-07,15,2,1561939200
2019-08,52,2,1564617600
2019-09,47,1,1567296000
2019-10,24,3,1569888000
2019-11,16,2,1572566400
2019-12,11,1,1575158400
2020-01,24,3,1577836800
2020-02,17,1,1580515200
2020-03,14,1,1583020800
2020-04,31,3,1585699200
2020-05,16,1,1588291200
2020-06,6,1,1590969600
2020-07,5,1,1593561600
2020-08,40,2,1596240000
