YYYY-MM,nCommits,nAuthors,timestamp
2011-03,2,1,1298937600
2011-04,17,8,1301616000
2011-05,12,8,1304208000
2011-06,7,5,1306886400
2011-07,9,5,1309478400
2011-08,41,12,1312156800
2011-09,28,12,1314835200
2011-10,42,16,1317427200
2011-11,23,6,1320105600
2011-12,50,7,1322697600
2012-01,34,10,1325376000
2012-02,60,9,1328054400
2012-03,31,11,1330560000
2012-04,52,19,1333238400
2012-05,32,10,1335830400
2012-06,13,9,1338508800
2012-07,16,6,1341100800
2012-08,17,7,1343779200
2012-09,15,9,1346457600
2012-10,18,8,1349049600
2012-11,20,11,1351728000
2012-12,33,7,1354320000
2013-01,21,8,1356998400
2013-02,70,1,1359676800
2013-03,5,1,1362096000
2013-04,4,1,1364774400
2013-05,10,3,1367366400
2013-06,33,4,1370044800
2013-07,61,7,1372636800
2013-08,34,4,1375315200
2013-09,56,6,1377993600
2013-10,18,6,1380585600
2013-11,9,3,1383264000
2013-12,28,7,1385856000
2014-01,14,4,1388534400
2014-02,19,4,1391212800
2014-03,18,4,1393632000
2014-04,10,6,1396310400
2014-05,11,4,1398902400
2014-06,8,4,1401580800
2014-07,28,4,1404172800
2014-08,13,4,1406851200
2014-09,7,3,1409529600
2014-10,20,6,1412121600
2014-11,6,3,1414800000
2014-12,31,4,1417392000
2015-01,13,2,1420070400
2015-02,4,2,1422748800
2015-03,20,6,1425168000
2015-04,31,7,1427846400
2015-05,78,7,1430438400
2015-06,118,9,1433116800
2015-07,54,8,1435708800
2015-08,22,6,1438387200
2015-09,14,8,1441065600
2015-10,191,6,1443657600
2015-11,21,4,1446336000
2015-12,10,2,1448928000
2016-01,5,3,1451606400
2016-02,20,4,1454284800
2016-03,102,6,1456790400
2016-04,17,5,1459468800
2016-05,58,8,1462060800
2016-06,41,5,1464739200
2016-07,97,7,1467331200
2016-08,17,6,1470009600
2016-09,10,6,1472688000
2016-10,19,7,1475280000
2016-11,20,4,1477958400
2016-12,33,8,1480550400
2017-01,56,6,1483228800
2017-02,26,4,1485907200
2017-03,42,6,1488326400
2017-04,27,5,1491004800
2017-05,102,5,1493596800
2017-06,40,2,1496275200
2017-07,25,7,1498867200
2017-08,74,7,1501545600
2017-09,15,4,1504224000
2017-10,49,8,1506816000
2017-11,67,4,1509494400
2017-12,11,3,1512086400
2018-01,34,5,1514764800
2018-02,29,4,1517443200
2018-03,22,6,1519862400
2018-04,40,5,1522540800
2018-05,45,8,1525132800
2018-06,51,5,1527811200
2018-07,9,5,1530403200
2018-08,12,2,1533081600
2018-09,2,2,1535760000
2018-10,48,5,1538352000
2018-11,19,2,1541030400
2018-12,7,2,1543622400
2019-01,39,4,1546300800
2019-02,10,2,1548979200
2019-03,28,2,1551398400
2019-04,32,2,1554076800
2019-05,27,2,1556668800
2019-06,8,2,1559347200
2019-08,18,2,1564617600
2019-09,5,2,1567296000
2019-11,9,1,1572566400
2019-12,3,2,1575158400
2020-01,1,1,1577836800
2020-04,16,1,1585699200
2020-05,7,1,1588291200
