YYYY-MM,nCommits,nAuthors,timestamp
2010-04,16,2,1270080000
2010-05,8,2,1272672000
2010-06,3,1,1275350400
2010-11,2,1,1288569600
2010-12,9,2,1291161600
2011-01,17,3,1293840000
2011-02,8,3,1296518400
2011-04,5,2,1301616000
2011-05,7,5,1304208000
2011-06,3,3,1306886400
2011-07,6,5,1309478400
2011-08,18,6,1312156800
2011-09,10,6,1314835200
2011-10,10,6,1317427200
2011-11,18,6,1320105600
2011-12,4,3,1322697600
2012-01,5,4,1325376000
2012-02,14,6,1328054400
2012-03,9,5,1330560000
2012-04,7,5,1333238400
2012-06,2,2,1338508800
2012-07,10,4,1341100800
2012-08,18,11,1343779200
2012-09,3,1,1346457600
2012-10,81,20,1349049600
2012-11,10,8,1351728000
2012-12,23,11,1354320000
2013-01,24,6,1356998400
2013-02,3,2,1359676800
2013-03,17,9,1362096000
2013-04,13,9,1364774400
2013-05,31,17,1367366400
2013-06,52,20,1370044800
2013-07,20,9,1372636800
2013-08,26,10,1375315200
2013-09,18,8,1377993600
2013-10,10,7,1380585600
2013-11,4,2,1383264000
2013-12,61,11,1385856000
2014-01,19,9,1388534400
2014-02,40,10,1391212800
2014-03,65,12,1393632000
2014-04,27,4,1396310400
2014-05,54,8,1398902400
2014-06,28,4,1401580800
2014-07,86,14,1404172800
2014-08,54,7,1406851200
2014-09,96,3,1409529600
2014-10,54,8,1412121600
2014-11,44,7,1414800000
2014-12,55,6,1417392000
2015-01,81,10,1420070400
2015-02,41,10,1422748800
2015-03,23,8,1425168000
2015-04,50,14,1427846400
2015-05,16,2,1430438400
2015-06,15,3,1433116800
2015-07,18,6,1435708800
2015-08,27,7,1438387200
2015-09,39,8,1441065600
2015-10,50,13,1443657600
2015-11,11,6,1446336000
2015-12,59,16,1448928000
2016-01,28,12,1451606400
2016-02,18,9,1454284800
2016-03,20,15,1456790400
2016-04,54,13,1459468800
2016-05,55,12,1462060800
2016-06,30,12,1464739200
2016-07,56,17,1467331200
2016-08,56,6,1470009600
2016-09,31,11,1472688000
2016-10,16,7,1475280000
2016-11,68,9,1477958400
2016-12,25,10,1480550400
2017-01,6,4,1483228800
2017-02,13,6,1485907200
2017-03,57,13,1488326400
2017-04,62,22,1491004800
2017-05,12,9,1493596800
2017-06,56,17,1496275200
2017-07,16,4,1498867200
2017-08,19,4,1501545600
2017-09,20,6,1504224000
2017-10,16,8,1506816000
2017-11,24,10,1509494400
2017-12,27,11,1512086400
2018-01,11,7,1514764800
2018-02,52,18,1517443200
2018-03,4,4,1519862400
2018-04,38,13,1522540800
2018-05,28,11,1525132800
2018-06,24,10,1527811200
2018-07,23,4,1530403200
2018-08,6,4,1533081600
2018-09,3,3,1535760000
2018-10,41,23,1538352000
2018-11,12,7,1541030400
2018-12,42,25,1543622400
2019-01,62,29,1546300800
2019-02,44,22,1548979200
2019-03,23,20,1551398400
2019-04,4,4,1554076800
2019-05,26,22,1556668800
2019-06,2,2,1559347200
