YYYY-MM,nCommits,nAuthors,timestamp
2014-06,112,2,1401580800
2014-07,90,5,1404172800
2014-08,56,4,1406851200
2014-09,12,1,1409529600
2014-10,33,2,1412121600
2014-11,38,2,1414800000
2014-12,16,1,1417392000
2015-01,39,1,1420070400
2015-02,63,3,1422748800
2015-03,90,6,1425168000
2015-04,31,3,1427846400
2015-05,7,1,1430438400
2015-06,43,3,1433116800
2015-07,131,3,1435708800
2015-08,44,3,1438387200
2015-09,15,1,1441065600
2015-10,24,1,1443657600
2015-11,23,2,1446336000
2015-12,18,3,1448928000
2016-01,160,7,1451606400
2016-02,38,5,1454284800
2016-03,102,8,1456790400
2016-04,176,6,1459468800
2016-05,168,12,1462060800
2016-06,340,9,1464739200
2016-07,67,4,1467331200
2016-08,40,4,1470009600
2016-09,42,4,1472688000
2016-10,77,3,1475280000
2016-11,34,4,1477958400
2016-12,11,5,1480550400
2017-01,15,4,1483228800
2017-02,62,9,1485907200
2017-03,20,4,1488326400
2017-04,4,2,1491004800
2017-05,29,9,1493596800
2017-06,17,1,1496275200
2017-07,4,4,1498867200
2017-09,6,2,1504224000
2017-10,33,5,1506816000
2017-11,22,4,1509494400
2017-12,51,9,1512086400
2018-01,38,13,1514764800
2018-02,22,10,1517443200
2018-03,23,4,1519862400
2018-04,2,2,1522540800
2018-05,4,2,1525132800
2018-06,9,4,1527811200
2018-07,10,4,1530403200
2018-08,5,4,1533081600
2018-09,43,9,1535760000
2018-10,76,17,1538352000
2018-11,59,16,1541030400
2018-12,39,8,1543622400
2019-01,50,13,1546300800
2019-02,30,13,1548979200
2019-03,15,7,1551398400
2019-04,19,10,1554076800
2019-05,10,5,1556668800
2019-06,22,10,1559347200
2019-07,43,6,1561939200
2019-08,53,9,1564617600
2019-09,189,16,1567296000
2019-10,28,15,1569888000
2019-11,11,5,1572566400
2019-12,21,9,1575158400
2020-01,64,11,1577836800
2020-02,144,9,1580515200
2020-03,222,14,1583020800
2020-04,243,12,1585699200
2020-05,169,10,1588291200
2020-06,35,5,1590969600
2020-07,51,4,1593561600
2020-08,58,11,1596240000
2020-09,44,11,1598918400
