YYYY-MM,nCommits,nAuthors,timestamp
2001-01,66,2,978307200
2001-02,134,3,980985600
2001-03,54,3,983404800
2001-04,155,2,986083200
2001-05,88,3,988675200
2001-06,131,6,991353600
2001-07,113,7,993945600
2001-08,1,1,996624000
2001-10,2,1,1001894400
2001-11,2,1,1004572800
2001-12,91,6,1007164800
2002-01,149,7,1009843200
2002-02,191,6,1012521600
2002-03,366,9,1014940800
2002-04,336,6,1017619200
2002-05,466,8,1020211200
2002-06,114,6,1022889600
2002-07,86,4,1025481600
2002-08,102,7,1028160000
2002-09,145,5,1030838400
2002-10,86,5,1033430400
2002-11,33,7,1036108800
2003-01,11,4,1041379200
2003-02,33,5,1044057600
2003-03,92,6,1046476800
2003-04,75,8,1049155200
2003-05,65,7,1051747200
2003-06,59,8,1054425600
2003-07,82,9,1057017600
2003-08,288,13,1059696000
2003-09,146,10,1062374400
2003-10,240,14,1064966400
2003-11,167,12,1067644800
2003-12,44,9,1070236800
2004-01,51,13,1072915200
2004-02,78,11,1075593600
2004-03,90,10,1078099200
2004-04,76,10,1080777600
2004-05,124,16,1083369600
2004-06,216,16,1086048000
2004-07,164,19,1088640000
2004-08,223,25,1091318400
2004-09,130,16,1093996800
2004-10,46,14,1096588800
2004-11,85,11,1099267200
2004-12,224,15,1101859200
2005-01,161,22,1104537600
2005-02,373,27,1107216000
2005-03,451,28,1109635200
2005-04,325,31,1112313600
2005-05,384,29,1114905600
2005-06,173,21,1117584000
2005-07,120,19,1120176000
2005-08,58,14,1122854400
2005-09,30,7,1125532800
2005-10,111,16,1128124800
2005-11,197,22,1130803200
2005-12,103,24,1133395200
2006-01,132,18,1136073600
2006-02,98,17,1138752000
2006-03,52,12,1141171200
2006-04,44,11,1143849600
2006-05,59,12,1146441600
2006-06,78,16,1149120000
2006-07,91,13,1151712000
2006-08,152,16,1154390400
2006-09,130,16,1157068800
2006-10,140,16,1159660800
2006-11,122,20,1162339200
2006-12,27,10,1164931200
2007-01,57,14,1167609600
2007-02,117,15,1170288000
2007-03,71,14,1172707200
2007-04,77,13,1175385600
2007-05,88,17,1177977600
2007-06,99,17,1180656000
2007-07,98,19,1183248000
2007-08,107,19,1185926400
2007-09,148,19,1188604800
2007-10,49,12,1191196800
2007-11,49,12,1193875200
2007-12,32,11,1196467200
2008-01,74,15,1199145600
2008-02,102,9,1201824000
2008-03,77,10,1204329600
2008-04,32,12,1207008000
2008-05,56,12,1209600000
2008-06,73,11,1212278400
2008-07,22,9,1214870400
2008-08,48,6,1217548800
2008-09,51,10,1220227200
2008-10,93,13,1222819200
2008-11,120,14,1225497600
2008-12,87,12,1228089600
2009-01,45,10,1230768000
2009-02,31,9,1233446400
2009-03,19,9,1235865600
2009-04,13,7,1238544000
2009-05,25,7,1241136000
2009-06,21,7,1243814400
2009-07,20,6,1246406400
2009-08,17,4,1249084800
2009-09,8,3,1251763200
2009-10,6,3,1254355200
2009-11,13,4,1257033600
2009-12,18,7,1259625600
2010-01,21,6,1262304000
2010-02,22,5,1264982400
2010-03,6,6,1267401600
2010-04,8,4,1270080000
2010-05,4,3,1272672000
2010-06,17,3,1275350400
2010-07,16,5,1277942400
2010-08,6,3,1280620800
2010-09,8,4,1283299200
2010-10,11,4,1285891200
2010-11,8,4,1288569600
2010-12,6,4,1291161600
2011-01,20,8,1293840000
2011-02,27,9,1296518400
2011-03,13,5,1298937600
2011-04,6,2,1301616000
2011-05,21,7,1304208000
2011-06,5,2,1306886400
2011-07,9,2,1309478400
2011-08,26,6,1312156800
2011-09,11,5,1314835200
2011-10,8,3,1317427200
2011-11,12,4,1320105600
2011-12,12,7,1322697600
2012-01,5,3,1325376000
2012-02,18,4,1328054400
2012-03,25,8,1330560000
2012-04,12,4,1333238400
2012-05,24,7,1335830400
2012-06,8,5,1338508800
2012-07,25,9,1341100800
2012-08,38,8,1343779200
2012-09,21,7,1346457600
2012-10,8,6,1349049600
2012-11,16,6,1351728000
2012-12,24,7,1354320000
2013-01,35,6,1356998400
2013-02,17,5,1359676800
2013-03,7,3,1362096000
2013-04,14,5,1364774400
2013-05,21,8,1367366400
2013-06,23,6,1370044800
2013-07,24,7,1372636800
2013-08,11,5,1375315200
2013-09,12,3,1377993600
2013-10,14,4,1380585600
2013-11,7,4,1383264000
2013-12,10,5,1385856000
2014-01,3,1,1388534400
2014-02,3,2,1391212800
2014-03,7,1,1393632000
2014-04,3,3,1396310400
2014-05,1,1,1398902400
2014-06,4,2,1401580800
2014-07,6,2,1404172800
2014-08,4,2,1406851200
2014-09,8,3,1409529600
2014-10,9,3,1412121600
2014-11,17,3,1414800000
2014-12,20,2,1417392000
2015-01,6,1,1420070400
2015-07,9,2,1435708800
2015-08,17,1,1438387200
2016-01,3,1,1451606400
2016-04,1,1,1459468800
2017-08,1,1,1501545600
