YYYY-MM,nCommits,nAuthors,timestamp
2015-09,24,2,1441065600
2015-10,24,2,1443657600
2015-11,18,3,1446336000
2015-12,19,4,1448928000
2016-01,66,5,1451606400
2016-02,131,7,1454284800
2016-03,95,8,1456790400
2016-04,74,7,1459468800
2016-05,98,10,1462060800
2016-06,125,8,1464739200
2016-07,105,12,1467331200
2016-08,73,19,1470009600
2016-09,70,17,1472688000
2016-10,72,12,1475280000
2016-11,59,18,1477958400
2016-12,101,21,1480550400
2017-01,103,21,1483228800
2017-02,28,14,1485907200
2017-03,109,27,1488326400
2017-04,272,40,1491004800
2017-05,88,20,1493596800
2017-06,59,26,1496275200
2017-07,44,14,1498867200
2017-08,85,30,1501545600
2017-09,64,22,1504224000
2017-10,51,22,1506816000
2017-11,10,8,1509494400
2017-12,30,13,1512086400
2018-01,109,47,1514764800
2018-02,46,17,1517443200
2018-03,82,22,1519862400
2018-04,36,9,1522540800
2018-05,190,31,1525132800
2018-06,58,19,1527811200
2018-07,131,15,1530403200
2018-08,212,28,1533081600
2018-09,132,20,1535760000
2018-10,225,44,1538352000
2018-11,108,21,1541030400
2018-12,164,33,1543622400
2019-01,208,20,1546300800
2019-02,194,28,1548979200
2019-03,599,34,1551398400
2019-04,387,25,1554076800
2019-05,327,21,1556668800
2019-06,50,17,1559347200
2019-07,33,14,1561939200
