YYYY-MM,nCommits,nAuthors,timestamp
2009-08,55,2,1249084800
2009-09,36,1,1251763200
2009-10,169,1,1254355200
2009-11,168,1,1257033600
2009-12,80,1,1259625600
2010-01,196,3,1262304000
2010-02,222,3,1264982400
2010-03,232,2,1267401600
2010-04,197,2,1270080000
2010-05,151,2,1272672000
2010-06,147,2,1275350400
2010-07,303,6,1277942400
2010-08,244,3,1280620800
2010-09,221,3,1283299200
2010-10,203,3,1285891200
2010-11,199,3,1288569600
2010-12,180,3,1291161600
2011-01,287,3,1293840000
2011-02,158,3,1296518400
2011-03,301,3,1298937600
2011-04,172,3,1301616000
2011-05,134,3,1304208000
2011-06,97,3,1306886400
2011-07,43,3,1309478400
2011-08,14,2,1312156800
2011-09,40,3,1314835200
2011-10,51,2,1317427200
2011-11,7,1,1320105600
2011-12,13,2,1322697600
2012-01,13,4,1325376000
2012-02,23,5,1328054400
2012-03,40,6,1330560000
2012-04,14,5,1333238400
2012-05,45,2,1335830400
2012-06,10,5,1338508800
2012-07,25,1,1341100800
2012-08,30,3,1343779200
2012-09,21,5,1346457600
2012-10,35,3,1349049600
2012-11,11,3,1351728000
2012-12,30,3,1354320000
2013-01,97,2,1356998400
2013-02,91,3,1359676800
2013-03,35,2,1362096000
2013-04,43,2,1364774400
2013-05,37,3,1367366400
2013-06,42,4,1370044800
2013-07,60,2,1372636800
2013-08,102,3,1375315200
2013-09,62,3,1377993600
2013-10,87,2,1380585600
2013-11,12,4,1383264000
2013-12,66,5,1385856000
2014-01,40,3,1388534400
2014-02,37,3,1391212800
2014-03,61,2,1393632000
2014-04,104,3,1396310400
2014-05,70,3,1398902400
2014-06,34,3,1401580800
2014-07,28,5,1404172800
2014-08,28,3,1406851200
2014-09,23,2,1409529600
2014-10,21,3,1412121600
2014-11,23,3,1414800000
2014-12,41,5,1417392000
2015-01,37,6,1420070400
2015-02,33,5,1422748800
2015-03,31,5,1425168000
2015-04,145,4,1427846400
2015-05,78,5,1430438400
2015-06,91,4,1433116800
2015-07,83,5,1435708800
2015-08,124,4,1438387200
2015-09,54,5,1441065600
2015-10,99,5,1443657600
2015-11,114,4,1446336000
2015-12,149,7,1448928000
2016-01,65,5,1451606400
2016-02,78,5,1454284800
2016-03,147,6,1456790400
2016-04,67,5,1459468800
2016-05,126,6,1462060800
2016-06,5,2,1464739200
2016-07,3,2,1467331200
2016-08,16,2,1470009600
2016-09,46,4,1472688000
2016-10,113,3,1475280000
2016-11,76,3,1477958400
2016-12,77,3,1480550400
2017-01,113,3,1483228800
2017-02,62,3,1485907200
2017-03,4,1,1488326400
2017-04,4,2,1491004800
2017-05,19,1,1493596800
2017-06,2,1,1496275200
2017-07,29,1,1498867200
2017-08,18,3,1501545600
2017-09,5,2,1504224000
2017-10,15,1,1506816000
2017-11,56,2,1509494400
2017-12,2,1,1512086400
2018-01,9,7,1514764800
2018-02,7,1,1517443200
2018-03,18,1,1519862400
2018-04,11,1,1522540800
2018-05,32,2,1525132800
2018-06,4,4,1527811200
2018-07,4,2,1530403200
2018-08,11,2,1533081600
2018-09,2,2,1535760000
2018-10,1,1,1538352000
2018-11,6,1,1541030400
2018-12,6,3,1543622400
2019-01,4,3,1546300800
2019-05,1,1,1556668800
2019-09,1,1,1567296000
2019-11,2,1,1572566400
2019-12,6,3,1575158400
2020-01,1,1,1577836800
2020-02,4,1,1580515200
2020-03,3,2,1583020800
2020-04,3,3,1585699200
2020-05,1,1,1588291200
2020-06,1,1,1590969600
