YYYY-MM,nCommits,nAuthors,timestamp
2012-11,20,2,1351728000
2012-12,75,1,1354320000
2013-01,125,2,1356998400
2013-02,79,2,1359676800
2013-03,97,2,1362096000
2013-04,108,3,1364774400
2013-05,162,3,1367366400
2013-06,93,2,1370044800
2013-07,168,2,1372636800
2013-08,74,3,1375315200
2013-09,38,3,1377993600
2013-10,86,4,1380585600
2013-11,107,4,1383264000
2013-12,94,2,1385856000
2014-01,106,3,1388534400
2014-02,106,3,1391212800
2014-03,128,2,1393632000
2014-04,44,3,1396310400
2014-05,87,3,1398902400
2014-06,18,1,1401580800
2014-07,41,3,1404172800
2014-08,91,3,1406851200
2014-09,89,2,1409529600
2014-10,62,2,1412121600
2014-11,91,4,1414800000
2014-12,82,4,1417392000
2015-01,136,4,1420070400
2015-02,86,4,1422748800
2015-03,132,6,1425168000
2015-04,74,4,1427846400
2015-05,235,4,1430438400
2015-06,205,7,1433116800
2015-07,80,5,1435708800
2015-08,405,30,1438387200
2015-09,390,25,1441065600
2015-10,363,22,1443657600
2015-11,256,36,1446336000
2015-12,214,32,1448928000
2016-01,414,39,1451606400
2016-02,531,40,1454284800
2016-03,233,22,1456790400
2016-04,75,21,1459468800
2016-05,181,22,1462060800
2016-06,100,15,1464739200
2016-07,132,29,1467331200
2016-08,226,31,1470009600
2016-09,149,22,1472688000
2016-10,184,29,1475280000
2016-11,218,38,1477958400
2016-12,298,43,1480550400
2017-01,322,42,1483228800
2017-02,365,43,1485907200
2017-03,649,54,1488326400
2017-04,750,44,1491004800
2017-05,409,53,1493596800
2017-06,442,38,1496275200
2017-07,265,28,1498867200
2017-08,258,29,1501545600
2017-09,172,30,1504224000
2017-10,188,36,1506816000
2017-11,311,37,1509494400
2017-12,201,34,1512086400
2018-01,269,39,1514764800
2018-02,158,34,1517443200
2018-03,214,30,1519862400
2018-04,266,27,1522540800
2018-05,248,25,1525132800
2018-06,250,28,1527811200
2018-07,118,20,1530403200
2018-08,229,33,1533081600
2018-09,102,25,1535760000
2018-10,163,32,1538352000
2018-11,151,26,1541030400
2018-12,98,20,1543622400
2019-01,103,20,1546300800
2019-02,133,22,1548979200
2019-03,65,22,1551398400
2019-04,84,25,1554076800
2019-05,234,23,1556668800
2019-06,107,18,1559347200
2019-07,124,16,1561939200
2019-08,85,15,1564617600
2019-09,84,16,1567296000
2019-10,119,18,1569888000
2019-11,105,18,1572566400
2019-12,78,17,1575158400
2020-01,111,17,1577836800
2020-02,110,18,1580515200
2020-03,160,25,1583020800
2020-04,212,25,1585699200
2020-05,150,21,1588291200
2020-06,104,20,1590969600
2020-07,59,13,1593561600
2020-08,94,16,1596240000
2020-09,54,19,1598918400
