YYYY-MM,nCommits,nAuthors,timestamp
2012-06,8,2,1338508800
2012-07,8,2,1341100800
2012-08,52,8,1343779200
2012-09,47,7,1346457600
2012-10,29,6,1349049600
2012-11,31,7,1351728000
2012-12,47,8,1354320000
2013-01,69,14,1356998400
2013-02,30,12,1359676800
2013-03,237,22,1362096000
2013-04,249,26,1364774400
2013-05,122,16,1367366400
2013-06,72,13,1370044800
2013-08,1,1,1375315200
2015-06,1,1,1433116800
2015-08,5,1,1438387200
2015-09,49,1,1441065600
2015-10,36,1,1443657600
2015-11,23,1,1446336000
2015-12,23,1,1448928000
2016-01,41,1,1451606400
2016-02,19,1,1454284800
2016-03,29,1,1456790400
2016-04,36,3,1459468800
2016-05,25,1,1462060800
2016-06,19,1,1464739200
2016-07,28,2,1467331200
2016-08,17,1,1470009600
2016-09,1,1,1472688000
2016-10,9,1,1475280000
2016-11,1,1,1477958400
2016-12,2,1,1480550400
2017-01,11,1,1483228800
2017-02,1,1,1485907200
2017-03,4,1,1488326400
2017-04,3,1,1491004800
2017-05,4,1,1493596800
2017-06,11,1,1496275200
2017-07,6,1,1498867200
2017-08,11,1,1501545600
2017-09,3,2,1504224000
2017-10,4,1,1506816000
2017-11,2,2,1509494400
2017-12,17,4,1512086400
2018-01,97,12,1514764800
2018-02,100,11,1517443200
2018-03,360,20,1519862400
2018-04,393,19,1522540800
2018-05,570,30,1525132800
2018-06,646,25,1527811200
2018-07,261,15,1530403200
2018-08,205,18,1533081600
2018-09,325,13,1535760000
2018-10,338,18,1538352000
2018-11,704,27,1541030400
2018-12,965,36,1543622400
2019-01,803,32,1546300800
2019-02,568,26,1548979200
2019-03,953,31,1551398400
2019-04,731,35,1554076800
2019-05,612,29,1556668800
2019-06,408,24,1559347200
2019-07,846,35,1561939200
2019-08,682,39,1564617600
2019-09,561,33,1567296000
2019-10,645,47,1569888000
2019-11,811,49,1572566400
2019-12,980,36,1575158400
2020-01,639,33,1577836800
2020-02,448,36,1580515200
2020-03,552,29,1583020800
2020-04,656,35,1585699200
2020-05,1072,34,1588291200
2020-06,715,36,1590969600
2020-07,385,25,1593561600
2020-08,90,12,1596240000
2020-09,91,6,1598918400
