YYYY-MM,nCommits,nAuthors,timestamp
2012-01,64,3,1325376000
2012-02,10,1,1328054400
2012-05,44,3,1335830400
2012-09,3,1,1346457600
2012-10,2,1,1349049600
2012-11,3,1,1351728000
2013-05,32,5,1367366400
2013-06,11,4,1370044800
2013-07,353,2,1372636800
2013-08,739,1,1375315200
2013-09,712,2,1377993600
2013-10,733,4,1380585600
2013-11,13,4,1383264000
2013-12,1523,4,1385856000
2014-01,1495,6,1388534400
2014-02,1358,4,1391212800
2014-03,1484,2,1393632000
2014-04,1401,4,1396310400
2014-05,1487,1,1398902400
2014-06,1444,3,1401580800
2014-07,954,6,1404172800
2014-08,3,3,1406851200
2014-09,8,2,1409529600
2014-10,1,1,1412121600
2014-11,26,2,1414800000
2014-12,64,5,1417392000
2015-02,21,4,1422748800
2015-03,5,3,1425168000
2015-05,11,3,1430438400
2015-06,1,1,1433116800
2015-07,2,2,1435708800
2015-08,2,2,1438387200
2015-10,10,5,1443657600
2015-11,8,3,1446336000
2015-12,5,2,1448928000
2016-02,5,3,1454284800
2016-04,10,5,1459468800
2016-05,2,2,1462060800
2016-08,2,2,1470009600
2016-09,7,3,1472688000
2016-10,2,1,1475280000
2017-02,5,2,1485907200
2017-03,4,1,1488326400
2017-04,1,1,1491004800
2017-06,1,1,1496275200
2017-07,3,1,1498867200
2017-12,2,2,1512086400
2018-02,3,3,1517443200
2018-03,5,3,1519862400
2018-07,2,2,1530403200
2018-09,1,1,1535760000
2018-10,3,2,1538352000
2019-01,1,1,1546300800
