YYYY-MM,nCommits,nAuthors,timestamp
2007-08,134,6,1185926400
2007-09,121,4,1188604800
2007-10,105,5,1191196800
2007-11,123,3,1193875200
2007-12,128,4,1196467200
2008-01,157,5,1199145600
2008-02,154,4,1201824000
2008-03,116,7,1204329600
2008-04,164,11,1207008000
2008-05,285,8,1209600000
2008-06,211,9,1212278400
2008-07,356,9,1214870400
2008-08,509,13,1217548800
2008-09,538,12,1220227200
2008-10,429,13,1222819200
2008-11,336,12,1225497600
2008-12,194,10,1228089600
2009-01,267,10,1230768000
2009-02,393,11,1233446400
2009-03,306,12,1235865600
2009-04,412,11,1238544000
2009-05,393,11,1241136000
2009-06,505,18,1243814400
2009-07,508,19,1246406400
2009-08,1245,41,1249084800
2009-09,555,51,1251763200
2009-10,649,46,1254355200
2009-11,468,37,1257033600
2009-12,304,31,1259625600
2010-01,318,27,1262304000
2010-02,230,25,1264982400
2010-03,252,25,1267401600
2010-04,348,32,1270080000
2010-05,351,25,1272672000
2010-06,290,32,1275350400
2010-07,354,36,1277942400
2010-08,335,30,1280620800
2010-09,316,26,1283299200
2010-10,123,18,1285891200
2010-11,277,29,1288569600
2010-12,181,18,1291161600
2011-01,317,22,1293840000
2011-02,315,20,1296518400
2011-03,317,16,1298937600
2011-04,297,21,1301616000
2011-05,208,13,1304208000
2011-06,149,14,1306886400
2011-07,245,16,1309478400
2011-08,195,15,1312156800
2011-09,198,13,1314835200
2011-10,224,14,1317427200
2011-11,236,16,1320105600
2011-12,224,10,1322697600
2012-01,186,8,1325376000
2012-02,269,13,1328054400
2012-03,211,8,1330560000
2012-04,204,10,1333238400
2012-05,527,46,1335830400
2012-06,605,46,1338508800
2012-07,428,36,1341100800
2012-08,219,24,1343779200
2012-09,219,12,1346457600
2012-10,206,18,1349049600
2012-11,207,28,1351728000
2012-12,214,20,1354320000
2013-01,339,31,1356998400
2013-02,393,28,1359676800
2013-03,231,32,1362096000
2013-04,332,32,1364774400
2013-05,291,31,1367366400
2013-06,485,31,1370044800
2013-07,447,29,1372636800
2013-08,259,30,1375315200
2013-09,175,22,1377993600
2013-10,258,20,1380585600
2013-11,531,38,1383264000
2013-12,309,31,1385856000
2014-01,311,34,1388534400
2014-02,429,32,1391212800
2014-03,309,31,1393632000
2014-04,332,26,1396310400
2014-05,405,28,1398902400
2014-06,366,24,1401580800
2014-07,35,10,1404172800
