YYYY-MM,nCommits,nAuthors,timestamp
2016-01,1,1,1451606400
2016-02,71,1,1454284800
2016-03,59,1,1456790400
2016-04,54,2,1459468800
2016-05,183,9,1462060800
2016-06,19,2,1464739200
2016-07,22,2,1467331200
2016-08,53,4,1470009600
2016-09,25,3,1472688000
2016-10,49,4,1475280000
2016-11,22,2,1477958400
2016-12,83,6,1480550400
2017-01,32,7,1483228800
2017-02,27,3,1485907200
2017-03,25,5,1488326400
2017-04,12,2,1491004800
2017-05,21,5,1493596800
2017-06,60,7,1496275200
2017-07,25,3,1498867200
2017-08,60,3,1501545600
2017-09,43,4,1504224000
2017-10,155,6,1506816000
2017-11,140,4,1509494400
2017-12,17,5,1512086400
2018-01,37,4,1514764800
2018-02,93,4,1517443200
2018-03,18,4,1519862400
2018-04,93,10,1522540800
2018-05,23,8,1525132800
2018-06,15,6,1527811200
2018-07,59,9,1530403200
2018-08,33,8,1533081600
2018-09,60,9,1535760000
2018-10,66,12,1538352000
2018-11,78,14,1541030400
2018-12,25,10,1543622400
2019-01,58,12,1546300800
2019-02,66,11,1548979200
2019-03,38,7,1551398400
2019-04,135,5,1554076800
2019-05,74,20,1556668800
2019-06,215,17,1559347200
2019-07,219,11,1561939200
2019-08,78,7,1564617600
2019-09,240,16,1567296000
2019-10,88,8,1569888000
2019-11,77,11,1572566400
2019-12,208,16,1575158400
2020-01,200,14,1577836800
2020-02,149,13,1580515200
2020-03,96,10,1583020800
2020-04,106,16,1585699200
2020-05,225,13,1588291200
2020-06,86,14,1590969600
2020-07,97,12,1593561600
2020-08,130,11,1596240000
2020-09,83,17,1598918400
