YYYY-MM,nCommits,nAuthors,timestamp
2011-12,27,8,1322697600
2012-01,134,13,1325376000
2012-02,149,14,1328054400
2012-03,198,16,1330560000
2012-04,174,14,1333238400
2012-05,239,24,1335830400
2012-06,186,17,1338508800
2012-07,180,21,1341100800
2012-08,235,22,1343779200
2012-09,132,19,1346457600
2012-10,115,24,1349049600
2012-11,97,15,1351728000
2012-12,115,17,1354320000
2013-01,74,14,1356998400
2013-02,85,18,1359676800
2013-03,116,20,1362096000
2013-04,128,17,1364774400
2013-05,188,13,1367366400
2013-06,129,12,1370044800
2013-07,4,3,1372636800
2013-08,6,4,1375315200
2013-09,8,3,1377993600
2013-10,2,2,1380585600
2013-11,3,3,1383264000
2013-12,8,2,1385856000
2014-02,1,1,1391212800
2014-03,11,6,1393632000
2014-04,7,4,1396310400
2014-06,2,2,1401580800
2014-07,5,2,1404172800
2014-08,53,3,1406851200
2014-09,15,3,1409529600
2014-10,12,3,1412121600
2014-11,33,9,1414800000
2014-12,85,4,1417392000
2015-01,2,1,1420070400
2015-02,11,2,1422748800
2015-03,37,4,1425168000
2015-04,34,8,1427846400
2015-05,31,8,1430438400
2015-06,79,6,1433116800
2015-07,8,2,1435708800
2015-08,20,4,1438387200
2015-09,13,2,1441065600
2015-10,24,2,1443657600
2015-11,9,3,1446336000
2015-12,34,5,1448928000
2016-01,23,3,1451606400
2016-02,33,9,1454284800
2016-03,29,6,1456790400
2016-04,33,3,1459468800
2016-05,22,6,1462060800
2016-06,27,9,1464739200
2016-07,84,7,1467331200
2016-08,36,8,1470009600
2016-09,27,7,1472688000
2016-10,11,4,1475280000
2016-11,6,3,1477958400
2016-12,35,5,1480550400
2017-01,3,2,1483228800
2017-02,21,6,1485907200
2017-03,14,8,1488326400
2017-04,12,5,1491004800
2017-05,31,8,1493596800
2017-06,7,2,1496275200
2017-07,5,2,1498867200
2017-08,3,2,1501545600
2017-09,5,3,1504224000
2017-10,4,3,1506816000
2017-11,12,4,1509494400
2017-12,27,2,1512086400
2018-01,20,5,1514764800
2018-02,35,11,1517443200
2018-03,20,4,1519862400
2018-04,42,6,1522540800
2018-05,22,6,1525132800
2018-06,6,4,1527811200
2018-08,10,3,1533081600
2018-09,10,7,1535760000
2018-10,1,1,1538352000
2018-11,4,2,1541030400
2019-01,8,4,1546300800
2019-02,4,4,1548979200
2019-03,2,2,1551398400
2019-04,3,3,1554076800
2019-05,13,6,1556668800
2019-06,5,2,1559347200
2019-07,2,2,1561939200
2019-10,2,1,1569888000
2020-02,2,2,1580515200
2020-05,1,1,1588291200
2020-06,21,9,1590969600
