YYYY-MM,nCommits,nAuthors,timestamp
2012-10,2,1,1349049600
2012-11,299,38,1351728000
2012-12,195,30,1354320000
2013-01,316,45,1356998400
2013-02,427,42,1359676800
2013-03,607,52,1362096000
2013-04,576,59,1364774400
2013-05,312,46,1367366400
2013-06,625,45,1370044800
2013-07,889,33,1372636800
2013-08,961,34,1375315200
2013-09,659,33,1377993600
2013-10,643,28,1380585600
2013-11,301,22,1383264000
2013-12,325,21,1385856000
2014-01,265,21,1388534400
2014-02,458,28,1391212800
2014-03,690,34,1393632000
2014-04,544,31,1396310400
2014-05,525,35,1398902400
2014-06,558,38,1401580800
2014-07,808,43,1404172800
2014-08,457,30,1406851200
2014-09,391,23,1409529600
2014-10,323,31,1412121600
2014-11,761,42,1414800000
2014-12,749,29,1417392000
2015-01,414,29,1420070400
2015-02,465,33,1422748800
2015-03,873,36,1425168000
2015-04,661,37,1427846400
2015-05,660,42,1430438400
2015-06,1047,45,1433116800
2015-07,1112,42,1435708800
2015-08,1214,42,1438387200
2015-09,466,35,1441065600
2015-10,621,35,1443657600
2015-11,691,39,1446336000
2015-12,688,34,1448928000
2016-01,580,37,1451606400
2016-02,567,39,1454284800
2016-03,1013,40,1456790400
2016-04,698,39,1459468800
2016-05,616,47,1462060800
2016-06,697,39,1464739200
2016-07,519,40,1467331200
2016-08,430,34,1470009600
2016-09,412,40,1472688000
2016-10,463,37,1475280000
2016-11,444,40,1477958400
2016-12,256,38,1480550400
2017-01,383,44,1483228800
2017-02,409,38,1485907200
2017-03,609,37,1488326400
2017-04,374,36,1491004800
2017-05,343,34,1493596800
2017-06,177,44,1496275200
2017-07,153,38,1498867200
2017-08,71,29,1501545600
2017-09,94,26,1504224000
2017-10,138,34,1506816000
2017-11,109,35,1509494400
2017-12,51,21,1512086400
2018-01,88,34,1514764800
2018-02,71,34,1517443200
2018-03,140,38,1519862400
2018-04,73,27,1522540800
2018-05,76,25,1525132800
2018-06,102,25,1527811200
2018-07,70,29,1530403200
2018-08,79,24,1533081600
2018-09,83,25,1535760000
2018-10,127,36,1538352000
2018-11,96,28,1541030400
2018-12,64,16,1543622400
2019-01,45,18,1546300800
2019-02,2,2,1548979200
