YYYY-MM,nCommits,nAuthors,timestamp
2006-09,93,3,1157068800
2006-10,158,3,1159660800
2006-11,162,2,1162339200
2006-12,284,4,1164931200
2007-01,458,4,1167609600
2007-02,244,3,1170288000
2007-03,112,2,1172707200
2007-04,78,1,1175385600
2007-05,136,2,1177977600
2007-06,182,2,1180656000
2007-07,176,2,1183248000
2007-08,270,2,1185926400
2007-09,180,2,1188604800
2007-10,82,2,1191196800
2007-11,200,2,1193875200
2007-12,214,2,1196467200
2008-01,254,2,1199145600
2008-02,290,2,1201824000
2008-03,270,2,1204329600
2008-04,100,1,1207008000
2008-05,102,2,1209600000
2008-06,70,2,1212278400
2008-07,32,2,1214870400
2008-08,182,1,1217548800
2008-09,78,1,1220227200
2008-10,80,1,1222819200
2008-11,166,1,1225497600
2008-12,28,1,1228089600
2009-01,14,2,1230768000
2009-02,26,2,1233446400
2009-03,4,1,1235865600
2009-04,4,2,1238544000
2009-05,2,1,1241136000
2009-07,2,1,1246406400
2009-08,146,9,1249084800
2009-09,6,2,1251763200
2009-10,6,2,1254355200
2009-11,10,2,1257033600
2009-12,4,1,1259625600
2010-01,4,2,1262304000
2010-02,10,1,1264982400
2010-03,28,2,1267401600
2010-04,10,1,1270080000
2010-08,32,1,1280620800
2010-09,12,1,1283299200
2010-10,8,1,1285891200
2010-11,6,1,1288569600
2010-12,4,2,1291161600
2011-01,34,2,1293840000
2011-02,64,2,1296518400
2011-03,30,1,1298937600
2011-04,4,1,1301616000
2011-05,20,2,1304208000
2011-08,12,1,1312156800
2011-10,40,3,1317427200
2011-11,32,3,1320105600
2011-12,8,1,1322697600
2012-01,16,2,1325376000
2012-02,2,1,1328054400
2012-03,16,3,1330560000
2012-04,18,2,1333238400
2012-06,90,6,1338508800
2012-07,64,4,1341100800
2012-08,18,3,1343779200
2012-09,4,1,1346457600
2012-10,6,2,1349049600
2012-11,6,2,1351728000
2012-12,22,4,1354320000
2013-01,12,3,1356998400
2013-02,2,1,1359676800
2013-07,10,1,1372636800
2013-08,14,2,1375315200
2013-09,32,4,1377993600
2013-10,40,3,1380585600
2013-11,14,2,1383264000
2013-12,72,3,1385856000
2014-01,4,1,1388534400
2014-03,26,1,1393632000
2014-04,48,1,1396310400
2014-05,34,1,1398902400
2014-06,2,1,1401580800
2014-07,2,1,1404172800
2015-07,1,1,1435708800
