YYYY-MM,nCommits,nAuthors,timestamp
2001-07,24,1,993945600
2001-08,53,1,996624000
2001-09,40,1,999302400
2001-10,14,1,1001894400
2001-11,3,1,1004572800
2001-12,8,1,1007164800
2002-03,35,2,1014940800
2002-04,38,3,1017619200
2002-05,44,3,1020211200
2002-06,55,2,1022889600
2002-07,53,2,1025481600
2002-08,87,2,1028160000
2002-09,40,2,1030838400
2002-10,46,3,1033430400
2002-11,38,3,1036108800
2002-12,22,2,1038700800
2003-01,27,3,1041379200
2003-02,92,4,1044057600
2003-03,91,4,1046476800
2003-04,44,2,1049155200
2003-05,46,3,1051747200
2003-06,39,2,1054425600
2003-07,59,4,1057017600
2003-08,10,2,1059696000
2003-09,26,2,1062374400
2003-10,81,2,1064966400
2003-11,39,3,1067644800
2003-12,45,2,1070236800
2004-01,60,2,1072915200
2004-02,23,3,1075593600
2004-03,26,2,1078099200
2004-04,20,2,1080777600
2004-05,35,2,1083369600
2004-06,57,2,1086048000
2004-07,64,4,1088640000
2004-08,22,2,1091318400
2004-09,21,2,1093996800
2004-10,18,2,1096588800
2004-11,12,1,1099267200
2004-12,19,3,1101859200
2005-01,72,5,1104537600
2005-02,38,4,1107216000
2005-03,32,4,1109635200
2005-04,31,4,1112313600
2005-05,47,4,1114905600
2005-06,25,4,1117584000
2005-07,3,2,1120176000
2005-08,1,1,1122854400
2005-09,8,2,1125532800
2005-10,14,3,1128124800
2005-11,14,2,1130803200
2005-12,31,3,1133395200
2006-01,93,5,1136073600
2006-02,46,4,1138752000
2006-03,37,6,1141171200
2006-04,28,4,1143849600
2006-05,24,4,1146441600
2006-06,42,5,1149120000
2006-07,6,2,1151712000
2006-08,2,2,1154390400
2006-09,16,4,1157068800
2006-10,14,3,1159660800
2006-11,25,3,1162339200
2006-12,6,3,1164931200
2007-01,27,4,1167609600
2007-02,36,4,1170288000
2007-03,15,2,1172707200
2007-04,11,3,1175385600
2007-05,3,3,1177977600
2007-06,24,4,1180656000
2007-07,23,4,1183248000
2007-08,9,2,1185926400
2007-09,7,3,1188604800
2007-10,18,3,1191196800
2007-11,15,2,1193875200
2007-12,13,3,1196467200
2008-01,20,3,1199145600
2008-02,10,3,1201824000
2008-03,7,3,1204329600
2008-04,9,2,1207008000
2008-05,11,1,1209600000
2008-06,4,2,1212278400
2008-08,7,2,1217548800
2008-09,16,2,1220227200
2008-10,14,3,1222819200
2008-11,14,2,1225497600
2008-12,8,1,1228089600
2009-01,14,3,1230768000
2009-02,39,4,1233446400
2009-03,42,4,1235865600
2009-04,29,4,1238544000
2009-05,20,5,1241136000
2009-06,20,3,1243814400
2009-07,16,3,1246406400
2009-08,29,4,1249084800
2009-09,66,4,1251763200
2009-10,138,4,1254355200
2009-11,99,5,1257033600
2009-12,56,3,1259625600
2010-01,14,3,1262304000
2010-02,18,3,1264982400
2010-03,45,6,1267401600
2010-04,21,4,1270080000
2010-05,13,3,1272672000
2010-06,46,6,1275350400
2010-07,74,8,1277942400
2010-08,8,4,1280620800
2010-09,20,5,1283299200
2010-10,5,2,1285891200
2010-11,10,3,1288569600
2010-12,12,3,1291161600
2011-01,6,4,1293840000
2011-02,7,3,1296518400
2011-03,8,5,1298937600
2011-04,14,6,1301616000
2011-05,10,4,1304208000
2011-06,13,4,1306886400
2011-07,4,3,1309478400
2011-08,3,1,1312156800
2011-09,15,2,1314835200
2011-10,45,4,1317427200
2011-11,73,4,1320105600
2011-12,11,2,1322697600
2012-01,56,5,1325376000
2012-02,52,6,1328054400
2012-03,8,3,1330560000
2012-04,1,1,1333238400
2012-05,10,2,1335830400
2012-06,30,3,1338508800
2012-07,59,7,1341100800
2012-08,30,4,1343779200
2012-09,5,2,1346457600
2012-10,9,3,1349049600
2012-11,15,2,1351728000
2012-12,16,1,1354320000
2013-01,1,1,1356998400
2013-02,7,2,1359676800
2013-03,11,2,1362096000
2013-04,42,3,1364774400
2013-05,46,2,1367366400
2013-06,36,5,1370044800
2013-07,35,3,1372636800
2013-08,6,3,1375315200
2013-09,7,3,1377993600
2013-10,23,4,1380585600
2013-11,24,6,1383264000
2013-12,20,4,1385856000
2014-01,17,4,1388534400
2014-02,11,4,1391212800
2014-03,52,4,1393632000
2014-04,60,5,1396310400
2014-05,34,4,1398902400
2014-06,28,6,1401580800
2014-07,44,4,1404172800
2014-08,20,3,1406851200
2014-09,5,4,1409529600
2014-10,33,8,1412121600
2014-11,24,6,1414800000
2014-12,16,5,1417392000
2015-01,10,3,1420070400
2015-02,19,3,1422748800
2015-03,60,6,1425168000
2015-04,53,4,1427846400
2015-05,38,4,1430438400
2015-06,20,4,1433116800
2015-07,25,2,1435708800
2015-08,11,3,1438387200
2015-09,13,3,1441065600
2015-10,27,3,1443657600
2015-11,48,5,1446336000
2015-12,51,2,1448928000
2016-01,17,3,1451606400
2016-02,6,2,1454284800
2016-03,34,4,1456790400
2016-04,42,4,1459468800
2016-05,16,3,1462060800
2016-06,17,3,1464739200
2016-07,12,4,1467331200
2016-08,9,3,1470009600
2016-09,8,2,1472688000
2016-10,81,6,1475280000
2016-11,36,5,1477958400
2016-12,4,3,1480550400
2017-01,7,1,1483228800
2017-02,5,1,1485907200
2017-03,7,3,1488326400
2017-04,6,1,1491004800
2017-05,36,3,1493596800
2017-06,14,3,1496275200
