YYYY-MM,nCommits,nAuthors,timestamp
2014-09,1,1,1409529600
2015-02,1,1,1422748800
2015-04,1,1,1427846400
2015-05,11,2,1430438400
2015-07,1,1,1435708800
2015-09,1,1,1441065600
2015-10,1,1,1443657600
2015-11,1,1,1446336000
2015-12,3,3,1448928000
2016-01,2,2,1451606400
2016-02,2,2,1454284800
2016-04,3,3,1459468800
2016-05,2,1,1462060800
2016-06,7,5,1464739200
2016-07,15,9,1467331200
2016-08,39,19,1470009600
2016-09,40,28,1472688000
2016-10,54,25,1475280000
2016-11,78,38,1477958400
2016-12,162,79,1480550400
2017-01,187,94,1483228800
2017-02,362,173,1485907200
2017-03,245,106,1488326400
2017-04,267,125,1491004800
2017-05,334,162,1493596800
2017-06,397,172,1496275200
2017-07,422,160,1498867200
2017-08,654,277,1501545600
2017-09,933,342,1504224000
2017-10,1054,367,1506816000
2017-11,1214,398,1509494400
2017-12,865,325,1512086400
2018-01,1062,358,1514764800
2018-02,940,366,1517443200
2018-03,1648,518,1519862400
2018-04,1701,500,1522540800
2018-05,1918,601,1525132800
2018-06,1785,533,1527811200
2018-07,1423,486,1530403200
2018-08,1772,547,1533081600
2018-09,1777,571,1535760000
2018-10,2612,710,1538352000
2018-11,2252,651,1541030400
2018-12,2198,550,1543622400
2019-01,145,46,1546300800
