YYYY-MM,nCommits,nAuthors,timestamp
1998-11,26,3,909878400
1998-12,24,2,912470400
1999-01,43,6,915148800
1999-02,6,5,917827200
1999-03,10,4,920246400
1999-04,3,3,922924800
1999-05,13,6,925516800
1999-06,30,8,928195200
1999-07,22,7,930787200
1999-08,11,5,933465600
1999-09,4,2,936144000
1999-10,108,16,938736000
1999-11,186,14,941414400
1999-12,135,13,944006400
2000-01,21,8,946684800
2000-02,47,6,949363200
2000-03,228,12,951868800
2000-04,181,16,954547200
2000-05,131,17,957139200
2000-06,194,22,959817600
2000-07,302,24,962409600
2000-08,140,16,965088000
2000-09,286,23,967766400
2000-10,196,21,970358400
2000-11,180,24,973036800
2000-12,132,18,975628800
2001-01,323,20,978307200
2001-02,218,18,980985600
2001-03,193,19,983404800
2001-04,217,16,986083200
2001-05,185,17,988675200
2001-06,166,17,991353600
2001-07,243,17,993945600
2001-08,122,15,996624000
2001-09,84,19,999302400
2001-10,140,19,1001894400
2001-11,158,17,1004572800
2001-12,157,17,1007164800
2002-01,205,18,1009843200
2002-02,212,19,1012521600
2002-03,121,18,1014940800
2002-04,84,18,1017619200
2002-05,94,16,1020211200
2002-06,99,20,1022889600
2002-07,78,12,1025481600
2002-08,85,14,1028160000
2002-09,196,15,1030838400
2002-10,161,12,1033430400
2002-11,112,13,1036108800
2002-12,79,18,1038700800
2003-01,269,20,1041379200
2003-02,134,22,1044057600
2003-03,54,13,1046476800
2003-04,66,19,1049155200
2003-05,31,15,1051747200
2003-06,68,13,1054425600
2003-07,38,11,1057017600
2003-08,112,23,1059696000
2003-09,99,21,1062374400
2003-10,229,25,1064966400
2003-11,164,19,1067644800
2003-12,56,16,1070236800
2004-01,164,23,1072915200
2004-02,187,22,1075593600
2004-03,48,14,1078099200
2004-04,30,10,1080777600
2004-05,46,12,1083369600
2004-06,63,16,1086048000
2004-07,48,16,1088640000
2004-08,52,13,1091318400
2004-09,21,8,1093996800
2004-10,149,19,1096588800
2004-11,112,16,1099267200
2004-12,70,16,1101859200
2005-01,74,20,1104537600
2005-02,101,18,1107216000
2005-03,78,11,1109635200
2005-04,42,10,1112313600
2005-05,143,26,1114905600
2005-06,125,21,1117584000
2005-07,127,24,1120176000
2005-08,58,13,1122854400
2005-09,68,19,1125532800
2005-10,94,23,1128124800
2005-11,103,22,1130803200
2005-12,99,18,1133395200
2006-01,102,20,1136073600
2006-02,121,21,1138752000
2006-03,105,19,1141171200
2006-04,107,18,1143849600
2006-05,87,21,1146441600
2006-06,83,17,1149120000
2006-07,90,19,1151712000
2006-08,64,21,1154390400
2006-09,56,18,1157068800
2006-10,67,22,1159660800
2006-11,41,10,1162339200
2006-12,36,12,1164931200
2007-01,77,16,1167609600
2007-02,70,19,1170288000
2007-03,33,15,1172707200
2007-04,75,21,1175385600
2007-05,36,14,1177977600
2007-06,31,15,1180656000
2007-07,20,12,1183248000
2007-08,30,13,1185926400
2007-09,37,11,1188604800
2007-10,148,22,1191196800
2007-11,113,18,1193875200
2007-12,147,18,1196467200
2008-01,168,17,1199145600
2008-02,35,15,1201824000
2008-03,111,11,1204329600
2008-04,84,13,1207008000
2008-05,55,18,1209600000
2008-06,48,16,1212278400
2008-07,38,11,1214870400
2008-08,121,14,1217548800
2008-09,80,12,1220227200
2008-10,114,17,1222819200
2008-11,75,16,1225497600
2008-12,25,10,1228089600
2009-01,34,14,1230768000
2009-02,60,11,1233446400
2009-03,144,13,1235865600
2009-04,79,13,1238544000
2009-05,66,13,1241136000
2009-06,37,10,1243814400
2009-07,28,10,1246406400
2009-08,16,9,1249084800
2009-09,31,10,1251763200
2009-10,16,6,1254355200
2009-11,35,10,1257033600
2009-12,16,8,1259625600
2010-01,78,10,1262304000
2010-02,75,12,1264982400
2010-03,26,7,1267401600
2010-04,37,8,1270080000
2010-05,47,7,1272672000
2010-06,29,6,1275350400
2010-07,13,6,1277942400
2010-08,6,2,1280620800
2010-09,17,9,1283299200
2010-10,23,6,1285891200
2010-11,30,10,1288569600
2010-12,2,1,1291161600
2011-01,7,3,1293840000
2011-02,19,5,1296518400
2011-03,7,5,1298937600
2011-04,2,1,1301616000
2011-05,7,5,1304208000
2011-06,6,4,1306886400
2011-07,4,2,1309478400
