YYYY-MM,nCommits,nAuthors,timestamp
2010-11,14,1,1288569600
2010-12,117,1,1291161600
2011-01,34,1,1293840000
2011-02,45,1,1296518400
2011-03,24,1,1298937600
2011-04,41,1,1301616000
2011-05,43,1,1304208000
2011-06,23,1,1306886400
2011-07,32,1,1309478400
2011-08,12,1,1312156800
2011-09,24,2,1314835200
2011-10,4,1,1317427200
2011-11,10,1,1320105600
2011-12,70,2,1322697600
2012-01,168,4,1325376000
2012-02,22,3,1328054400
2012-03,6,1,1330560000
2012-05,56,2,1335830400
2012-06,28,2,1338508800
2012-07,32,2,1341100800
2012-08,6,1,1343779200
2012-09,92,3,1346457600
2012-10,76,3,1349049600
2012-11,60,2,1351728000
2012-12,114,3,1354320000
2013-01,78,3,1356998400
2013-02,20,1,1359676800
2013-03,58,2,1362096000
2013-04,26,1,1364774400
2013-05,2,1,1367366400
2013-06,6,1,1370044800
2013-07,70,3,1372636800
2013-08,140,3,1375315200
2013-09,34,1,1377993600
2013-10,104,3,1380585600
2013-11,140,3,1383264000
2013-12,200,2,1385856000
2014-01,42,2,1388534400
2014-02,32,1,1391212800
2014-03,34,1,1393632000
2014-04,76,1,1396310400
2014-05,120,1,1398902400
2014-06,66,2,1401580800
2014-07,66,1,1404172800
2014-08,40,1,1406851200
2014-09,116,3,1409529600
2014-10,106,2,1412121600
2014-11,70,2,1414800000
2014-12,16,1,1417392000
2015-01,6,1,1420070400
2015-02,6,1,1422748800
2015-03,3,1,1425168000
2015-04,1,1,1427846400
2015-05,13,1,1430438400
2015-06,6,3,1433116800
2015-07,13,3,1435708800
2015-08,15,3,1438387200
2015-09,6,3,1441065600
2015-10,36,3,1443657600
2015-11,50,1,1446336000
2015-12,17,1,1448928000
2016-01,41,3,1451606400
2016-02,18,1,1454284800
2016-03,40,4,1456790400
2016-04,24,1,1459468800
2016-05,45,1,1462060800
2016-06,10,1,1464739200
2016-07,11,4,1467331200
2016-08,13,2,1470009600
2016-09,16,1,1472688000
2016-10,26,3,1475280000
2016-11,22,3,1477958400
2016-12,16,3,1480550400
2017-01,28,1,1483228800
2017-02,19,3,1485907200
2017-03,8,1,1488326400
2017-04,15,4,1491004800
2017-05,11,2,1493596800
2017-06,10,2,1496275200
2017-07,12,2,1498867200
2017-08,18,3,1501545600
2017-09,20,1,1504224000
2017-10,12,1,1506816000
2017-11,11,2,1509494400
2017-12,11,1,1512086400
2018-01,6,1,1514764800
2018-02,5,1,1517443200
2018-03,6,3,1519862400
2018-04,4,1,1522540800
2018-05,7,5,1525132800
2018-06,4,1,1527811200
2018-07,4,1,1530403200
2018-08,13,1,1533081600
2018-09,12,1,1535760000
2018-10,14,2,1538352000
2018-11,15,2,1541030400
2018-12,34,4,1543622400
2019-01,58,4,1546300800
2019-02,44,4,1548979200
2019-03,21,5,1551398400
2019-04,5,3,1554076800
2019-05,7,4,1556668800
2019-06,23,3,1559347200
2019-07,43,3,1561939200
2019-08,22,1,1564617600
2019-09,9,4,1567296000
2019-10,13,4,1569888000
2019-11,19,2,1572566400
2019-12,20,1,1575158400
2020-01,19,5,1577836800
2020-02,87,11,1580515200
2020-03,53,6,1583020800
2020-04,143,10,1585699200
2020-05,209,14,1588291200
2020-06,241,11,1590969600
2020-07,178,10,1593561600
2020-08,81,4,1596240000
2020-09,18,3,1598918400
