YYYY-MM,nCommits,nAuthors,timestamp
2010-07,2,1,1277942400
2010-08,7,1,1280620800
2010-09,28,3,1283299200
2010-10,288,4,1285891200
2010-11,104,4,1288569600
2010-12,37,2,1291161600
2011-01,51,2,1293840000
2011-02,298,5,1296518400
2011-03,147,5,1298937600
2011-04,133,4,1301616000
2011-05,89,3,1304208000
2011-06,95,5,1306886400
2011-07,65,4,1309478400
2011-08,60,4,1312156800
2011-09,181,4,1314835200
2011-10,181,4,1317427200
2011-11,236,5,1320105600
2011-12,135,6,1322697600
2012-01,220,5,1325376000
2012-02,287,5,1328054400
2012-03,353,5,1330560000
2012-04,257,5,1333238400
2012-05,229,6,1335830400
2012-06,524,7,1338508800
2012-07,194,7,1341100800
2012-08,82,5,1343779200
2012-09,25,3,1346457600
2012-10,107,7,1349049600
2012-11,109,7,1351728000
2012-12,18,4,1354320000
2013-01,26,6,1356998400
2013-02,23,5,1359676800
2013-03,89,4,1362096000
2013-04,107,9,1364774400
2013-05,110,8,1367366400
2013-06,122,6,1370044800
2013-07,42,10,1372636800
2013-08,44,11,1375315200
2013-09,68,11,1377993600
2013-10,90,10,1380585600
2013-11,30,7,1383264000
2013-12,15,6,1385856000
2014-01,10,4,1388534400
2014-02,19,9,1391212800
2014-03,8,6,1393632000
