YYYY-MM,nCommits,nAuthors,timestamp
2015-08,55,11,1438387200
2015-09,58,6,1441065600
2015-10,15,4,1443657600
2015-11,42,7,1446336000
2015-12,7,5,1448928000
2016-01,12,4,1451606400
2016-02,40,7,1454284800
2016-03,69,6,1456790400
2016-04,22,7,1459468800
2016-05,10,3,1462060800
2016-06,22,6,1464739200
2016-07,5,4,1467331200
2016-08,34,6,1470009600
2016-09,10,4,1472688000
2016-10,22,7,1475280000
2016-11,107,14,1477958400
2016-12,112,10,1480550400
2017-01,149,10,1483228800
2017-02,265,20,1485907200
2017-03,293,16,1488326400
2017-04,201,13,1491004800
2017-05,168,10,1493596800
2017-06,170,13,1496275200
2017-07,112,8,1498867200
2017-08,134,10,1501545600
2017-09,40,15,1504224000
2017-10,27,7,1506816000
2017-11,29,11,1509494400
2017-12,14,10,1512086400
2018-01,23,12,1514764800
2018-02,12,6,1517443200
2018-03,10,4,1519862400
2018-04,20,6,1522540800
2018-05,1,1,1525132800
2018-06,10,5,1527811200
2018-07,3,3,1530403200
2018-08,11,5,1533081600
2018-09,37,17,1535760000
2018-10,42,13,1538352000
2018-11,13,8,1541030400
2018-12,9,5,1543622400
2019-01,6,4,1546300800
2019-02,17,12,1548979200
2019-03,29,13,1551398400
2019-04,20,14,1554076800
2019-05,108,13,1556668800
2019-06,97,18,1559347200
2019-07,32,12,1561939200
2019-08,75,11,1564617600
2019-09,64,15,1567296000
2019-10,62,16,1569888000
2019-11,110,10,1572566400
2019-12,321,16,1575158400
2020-01,241,17,1577836800
2020-02,168,14,1580515200
2020-03,132,25,1583020800
2020-04,202,23,1585699200
2020-05,152,21,1588291200
2020-06,98,14,1590969600
2020-07,21,5,1593561600
2020-08,45,11,1596240000
2020-09,27,11,1598918400
