YYYY-MM,nCommits,nAuthors,timestamp
2008-09,17,2,1220227200
2008-10,42,2,1222819200
2008-11,28,2,1225497600
2008-12,20,2,1228089600
2009-01,117,2,1230768000
2009-02,48,2,1233446400
2009-03,23,2,1235865600
2009-04,59,2,1238544000
2009-05,69,2,1241136000
2009-06,33,2,1243814400
2009-07,53,2,1246406400
2009-08,54,2,1249084800
2009-09,40,2,1251763200
2009-10,44,2,1254355200
2009-11,78,2,1257033600
2009-12,60,2,1259625600
2010-01,37,2,1262304000
2010-02,31,2,1264982400
2010-03,105,3,1267401600
2010-04,60,3,1270080000
2010-05,32,3,1272672000
2010-06,55,3,1275350400
2010-07,47,3,1277942400
2010-08,112,3,1280620800
2010-09,68,6,1283299200
2010-10,134,3,1285891200
2010-11,94,6,1288569600
2010-12,86,7,1291161600
2011-01,144,7,1293840000
2011-02,87,7,1296518400
2011-03,84,5,1298937600
2011-04,123,3,1301616000
2011-05,129,8,1304208000
2011-06,60,3,1306886400
2011-07,109,5,1309478400
2011-08,93,6,1312156800
2011-09,83,7,1314835200
2011-10,76,7,1317427200
2011-11,159,10,1320105600
2011-12,80,7,1322697600
2012-01,128,10,1325376000
2012-02,115,4,1328054400
2012-03,85,6,1330560000
2012-04,106,8,1333238400
2012-05,127,11,1335830400
2012-06,181,12,1338508800
2012-07,163,16,1341100800
2012-08,154,14,1343779200
2012-09,134,13,1346457600
2012-10,150,13,1349049600
2012-11,103,12,1351728000
2012-12,41,9,1354320000
2013-01,84,12,1356998400
2013-02,38,7,1359676800
2013-03,71,7,1362096000
2013-04,121,12,1364774400
2013-05,73,5,1367366400
2013-06,87,8,1370044800
2013-07,64,10,1372636800
2013-08,59,9,1375315200
2013-09,65,11,1377993600
2013-10,124,10,1380585600
2013-11,106,10,1383264000
2013-12,58,8,1385856000
2014-01,113,13,1388534400
2014-02,106,10,1391212800
2014-03,91,15,1393632000
2014-04,151,13,1396310400
2014-05,107,8,1398902400
2014-06,127,10,1401580800
2014-07,108,9,1404172800
2014-08,84,11,1406851200
2014-09,94,6,1409529600
2014-10,64,8,1412121600
2014-11,85,5,1414800000
2014-12,45,6,1417392000
2015-01,106,4,1420070400
2015-02,100,6,1422748800
2015-03,84,6,1425168000
2015-04,84,6,1427846400
2015-05,125,6,1430438400
2015-06,172,7,1433116800
2015-07,226,17,1435708800
2015-08,89,9,1438387200
2015-09,123,7,1441065600
2015-10,129,7,1443657600
2015-11,89,10,1446336000
2015-12,73,16,1448928000
2016-01,110,10,1451606400
2016-02,106,8,1454284800
2016-03,53,10,1456790400
2016-04,158,13,1459468800
2016-05,79,10,1462060800
2016-06,171,10,1464739200
2016-07,69,5,1467331200
2016-08,152,6,1470009600
2016-09,112,9,1472688000
2016-10,79,4,1475280000
2016-11,111,11,1477958400
2016-12,66,5,1480550400
2017-01,129,8,1483228800
2017-02,139,13,1485907200
2017-03,121,13,1488326400
2017-04,53,7,1491004800
2017-05,98,16,1493596800
2017-06,73,10,1496275200
2017-07,45,7,1498867200
2017-08,93,12,1501545600
2017-09,78,9,1504224000
2017-10,100,8,1506816000
2017-11,98,10,1509494400
2017-12,45,6,1512086400
2018-01,61,11,1514764800
2018-02,57,9,1517443200
2018-03,153,12,1519862400
2018-04,148,15,1522540800
2018-05,139,10,1525132800
2018-06,63,7,1527811200
2018-07,145,12,1530403200
2018-08,114,10,1533081600
2018-09,111,9,1535760000
2018-10,107,14,1538352000
2018-11,39,7,1541030400
2018-12,66,7,1543622400
2019-01,110,5,1546300800
2019-02,77,8,1548979200
2019-03,56,6,1551398400
2019-04,99,10,1554076800
2019-05,38,5,1556668800
2019-06,14,2,1559347200
2019-07,36,10,1561939200
2019-08,86,9,1564617600
2019-09,58,5,1567296000
2019-10,109,9,1569888000
2019-11,117,6,1572566400
2019-12,42,8,1575158400
2020-01,97,12,1577836800
2020-02,189,13,1580515200
2020-03,140,12,1583020800
2020-04,207,11,1585699200
2020-05,112,8,1588291200
2020-06,120,10,1590969600
2020-07,106,8,1593561600
2020-08,87,5,1596240000
2020-09,31,9,1598918400
