YYYY-MM,nCommits,nAuthors,timestamp
2008-03,77,4,1204329600
2008-04,120,7,1207008000
2008-05,219,8,1209600000
2008-06,223,6,1212278400
2008-07,176,8,1214870400
2008-08,283,8,1217548800
2008-09,171,9,1220227200
2008-10,230,10,1222819200
2008-11,204,6,1225497600
2008-12,245,8,1228089600
2009-01,110,4,1230768000
2009-02,128,6,1233446400
2009-03,187,7,1235865600
2009-04,139,6,1238544000
2009-05,69,4,1241136000
2009-06,61,4,1243814400
2009-07,134,6,1246406400
2009-08,129,5,1249084800
2009-09,231,6,1251763200
2009-10,259,7,1254355200
2009-11,215,6,1257033600
2009-12,185,9,1259625600
2010-01,119,4,1262304000
2010-02,53,3,1264982400
2010-03,125,7,1267401600
2010-04,109,12,1270080000
2010-05,151,15,1272672000
2010-06,92,13,1275350400
2010-07,132,12,1277942400
2010-08,219,16,1280620800
2010-09,115,13,1283299200
2010-10,197,18,1285891200
2010-11,162,21,1288569600
2010-12,101,13,1291161600
2011-01,116,14,1293840000
2011-02,68,14,1296518400
2011-03,118,15,1298937600
2011-04,121,16,1301616000
2011-05,85,14,1304208000
2011-06,89,14,1306886400
2011-07,90,13,1309478400
2011-08,101,14,1312156800
2011-09,103,14,1314835200
2011-10,149,13,1317427200
2011-11,95,15,1320105600
2011-12,79,11,1322697600
2012-01,45,12,1325376000
2012-02,124,16,1328054400
2012-03,18,4,1330560000
