YYYY-MM,nCommits,nAuthors,timestamp
2012-10,6,2,1349049600
2012-12,5,2,1354320000
2013-01,24,4,1356998400
2013-02,95,6,1359676800
2013-03,134,4,1362096000
2013-04,52,2,1364774400
2013-05,18,1,1367366400
2013-06,5,2,1370044800
2013-07,80,3,1372636800
2013-08,126,2,1375315200
2013-09,47,4,1377993600
2013-10,96,1,1380585600
2013-11,96,5,1383264000
2013-12,49,2,1385856000
2014-01,38,1,1388534400
2014-02,77,3,1391212800
2014-03,53,2,1393632000
2014-04,94,4,1396310400
2014-05,39,2,1398902400
2014-06,64,2,1401580800
2014-07,82,4,1404172800
2014-08,72,4,1406851200
2014-09,67,2,1409529600
2014-10,77,2,1412121600
2014-11,91,1,1414800000
2014-12,48,1,1417392000
2015-01,82,3,1420070400
2015-02,86,3,1422748800
2015-03,209,5,1425168000
2015-04,152,7,1427846400
2015-05,130,4,1430438400
2015-06,53,3,1433116800
2015-07,48,4,1435708800
2015-08,107,1,1438387200
2015-09,232,3,1441065600
2015-10,226,3,1443657600
2015-11,292,2,1446336000
2015-12,233,4,1448928000
2016-01,106,4,1451606400
2016-02,74,2,1454284800
2016-03,249,3,1456790400
2016-04,287,3,1459468800
2016-05,160,5,1462060800
2016-06,160,5,1464739200
2016-07,103,3,1467331200
2016-08,109,3,1470009600
2016-09,104,6,1472688000
2016-10,121,3,1475280000
2016-11,104,3,1477958400
2016-12,60,5,1480550400
2017-01,119,8,1483228800
2017-02,75,7,1485907200
2017-03,124,8,1488326400
2017-04,92,4,1491004800
2017-05,73,3,1493596800
2017-06,60,3,1496275200
2017-07,95,4,1498867200
2017-08,71,4,1501545600
2017-09,142,6,1504224000
2017-10,114,11,1506816000
2017-11,91,3,1509494400
2017-12,146,6,1512086400
2018-01,151,10,1514764800
2018-02,144,8,1517443200
2018-03,96,7,1519862400
2018-04,131,3,1522540800
2018-05,147,6,1525132800
2018-06,67,3,1527811200
2018-07,126,4,1530403200
2018-08,158,5,1533081600
2018-09,139,8,1535760000
2018-10,117,4,1538352000
2018-11,52,4,1541030400
2018-12,56,7,1543622400
2019-01,151,7,1546300800
2019-02,103,7,1548979200
2019-03,181,7,1551398400
2019-04,127,7,1554076800
2019-05,112,3,1556668800
2019-06,37,4,1559347200
2019-07,128,5,1561939200
2019-08,76,6,1564617600
2019-09,73,4,1567296000
2019-10,30,4,1569888000
2019-11,127,5,1572566400
2019-12,117,6,1575158400
2020-01,57,5,1577836800
2020-02,46,7,1580515200
2020-03,96,9,1583020800
2020-04,129,7,1585699200
2020-05,83,5,1588291200
2020-06,90,5,1590969600
2020-07,58,4,1593561600
2020-08,44,5,1596240000
2020-09,19,3,1598918400
