YYYY-MM,nCommits,nAuthors,timestamp
2015-09,1,1,1441065600
2015-10,1,1,1443657600
2015-12,125,19,1448928000
2016-01,213,18,1451606400
2016-02,149,22,1454284800
2016-03,173,22,1456790400
2016-04,80,14,1459468800
2016-05,139,20,1462060800
2016-06,94,12,1464739200
2016-07,56,13,1467331200
2016-08,147,26,1470009600
2016-09,189,25,1472688000
2016-10,140,14,1475280000
2016-11,223,16,1477958400
2016-12,46,10,1480550400
2017-01,88,12,1483228800
2017-02,76,8,1485907200
2017-03,62,12,1488326400
2017-04,77,12,1491004800
2017-05,154,12,1493596800
2017-06,112,12,1496275200
2017-07,157,9,1498867200
2017-08,112,13,1501545600
2017-09,63,5,1504224000
2017-10,89,5,1506816000
2017-11,157,10,1509494400
2017-12,305,12,1512086400
2018-01,427,14,1514764800
2018-02,91,7,1517443200
2018-03,338,18,1519862400
2018-04,288,13,1522540800
2018-05,218,16,1525132800
2018-06,132,8,1527811200
2018-07,116,12,1530403200
2018-08,170,16,1533081600
2018-09,146,11,1535760000
2018-10,356,14,1538352000
2018-11,320,18,1541030400
2018-12,121,13,1543622400
2019-01,133,12,1546300800
2019-02,114,12,1548979200
2019-03,127,17,1551398400
2019-04,113,17,1554076800
2019-05,43,10,1556668800
2019-06,91,12,1559347200
2019-07,115,18,1561939200
2019-08,158,12,1564617600
2019-09,77,10,1567296000
2019-10,107,11,1569888000
2019-11,167,12,1572566400
2019-12,84,9,1575158400
2020-01,204,10,1577836800
2020-02,241,12,1580515200
2020-03,213,10,1583020800
2020-04,197,10,1585699200
2020-05,157,11,1588291200
2020-06,82,9,1590969600
2020-07,86,10,1593561600
2020-08,67,10,1596240000
2020-09,12,5,1598918400
