YYYY-MM,nCommits,nAuthors,timestamp
2000-11,2,1,973036800
2000-12,22,1,975628800
2001-01,34,1,978307200
2001-02,24,1,980985600
2001-03,17,2,983404800
2001-04,2,1,986083200
2001-05,6,2,988675200
2001-06,19,1,991353600
2001-07,23,3,993945600
2001-08,110,1,996624000
2001-09,64,1,999302400
2001-10,20,1,1001894400
2001-11,64,1,1004572800
2001-12,52,1,1007164800
2002-01,41,1,1009843200
2002-02,77,1,1012521600
2002-03,163,1,1014940800
2002-04,92,1,1017619200
2002-06,41,1,1022889600
2002-07,77,1,1025481600
2002-08,28,2,1028160000
2002-09,17,2,1030838400
2002-11,12,2,1036108800
2003-01,4,1,1041379200
2003-02,14,1,1044057600
2003-03,35,2,1046476800
2003-04,24,2,1049155200
2003-05,24,2,1051747200
2003-06,26,2,1054425600
2003-07,10,1,1057017600
2003-08,4,1,1059696000
2003-09,4,2,1062374400
2003-10,13,1,1064966400
2004-02,14,2,1075593600
2004-04,17,2,1080777600
2004-05,2,1,1083369600
2004-06,10,2,1086048000
2004-07,2,1,1088640000
2004-08,8,1,1091318400
2004-09,36,1,1093996800
2004-10,2,1,1096588800
2004-11,43,2,1099267200
2004-12,107,3,1101859200
2005-01,61,2,1104537600
2005-02,42,2,1107216000
2005-03,54,2,1109635200
2005-04,65,3,1112313600
2005-05,86,4,1114905600
2005-06,36,4,1117584000
2005-07,90,4,1120176000
2005-08,114,4,1122854400
2005-09,91,4,1125532800
2005-10,79,4,1128124800
2005-11,63,4,1130803200
2005-12,72,4,1133395200
2006-01,29,3,1136073600
2006-02,67,4,1138752000
2006-03,41,3,1141171200
2006-04,28,4,1143849600
2006-05,39,3,1146441600
2006-06,28,4,1149120000
2006-07,32,4,1151712000
2006-08,101,4,1154390400
2006-09,143,5,1157068800
2006-10,38,5,1159660800
2006-11,74,5,1162339200
2006-12,49,3,1164931200
2007-01,76,3,1167609600
2007-02,97,4,1170288000
2007-03,61,5,1172707200
2007-04,117,4,1175385600
2007-05,104,5,1177977600
2007-06,70,4,1180656000
2007-07,25,3,1183248000
2007-08,56,3,1185926400
2007-09,67,4,1188604800
2007-10,31,4,1191196800
2007-11,107,5,1193875200
2007-12,51,5,1196467200
2008-01,39,5,1199145600
2008-02,57,6,1201824000
2008-03,62,5,1204329600
2008-04,106,6,1207008000
2008-05,236,6,1209600000
2008-06,27,4,1212278400
2008-07,54,3,1214870400
2008-08,15,4,1217548800
2008-10,17,3,1222819200
2008-11,43,5,1225497600
2008-12,10,4,1228089600
2009-01,42,3,1230768000
2009-02,104,6,1233446400
2009-03,101,3,1235865600
2009-04,110,4,1238544000
2009-05,36,1,1241136000
2009-06,59,5,1243814400
2009-07,49,3,1246406400
2009-08,24,5,1249084800
2009-09,26,3,1251763200
2009-10,16,3,1254355200
2009-11,37,5,1257033600
2009-12,118,5,1259625600
2010-01,66,6,1262304000
2010-02,39,6,1264982400
2010-03,78,4,1267401600
2010-04,63,4,1270080000
2010-05,22,4,1272672000
2010-06,4,2,1275350400
2010-07,34,5,1277942400
2010-08,40,4,1280620800
2010-09,11,3,1283299200
2010-10,18,3,1285891200
2010-11,48,4,1288569600
2010-12,15,4,1291161600
2011-01,46,5,1293840000
2011-02,84,4,1296518400
2011-03,30,4,1298937600
2011-04,31,6,1301616000
2011-05,181,6,1304208000
2011-06,49,5,1306886400
2011-07,34,4,1309478400
2011-08,70,6,1312156800
2011-09,20,6,1314835200
2011-10,22,5,1317427200
2011-11,50,8,1320105600
2011-12,15,6,1322697600
2012-01,19,3,1325376000
2012-02,95,8,1328054400
2012-03,46,7,1330560000
2012-04,39,4,1333238400
2012-05,59,5,1335830400
2012-06,82,8,1338508800
