YYYY-MM,nCommits,nAuthors,timestamp
2009-01,14,2,1230768000
2009-02,172,1,1233446400
2009-03,5,1,1235865600
2009-04,617,4,1238544000
2009-05,38,1,1241136000
2009-06,6,1,1243814400
2009-07,35,2,1246406400
2009-08,6,1,1249084800
2009-09,101,2,1251763200
2009-10,120,2,1254355200
2009-11,143,2,1257033600
2009-12,106,2,1259625600
2010-01,157,3,1262304000
2010-02,89,2,1264982400
2010-03,44,2,1267401600
2010-04,40,2,1270080000
2010-05,6,2,1272672000
2010-06,11,1,1275350400
2010-07,3,1,1277942400
2010-08,110,2,1280620800
2010-09,67,4,1283299200
2010-10,69,3,1285891200
2010-11,95,3,1288569600
2010-12,110,2,1291161600
2011-01,84,3,1293840000
2011-02,6,1,1296518400
2011-03,5,1,1298937600
2011-04,98,2,1301616000
2011-05,3,1,1304208000
2011-09,13,1,1314835200
2011-10,1,1,1317427200
2011-12,51,1,1322697600
2012-01,149,2,1325376000
2012-02,78,2,1328054400
2012-03,71,4,1330560000
2012-04,47,1,1333238400
2012-05,11,1,1335830400
2012-06,27,2,1338508800
2012-07,260,4,1341100800
2012-08,212,2,1343779200
2012-09,36,1,1346457600
2012-10,78,2,1349049600
2012-11,37,3,1351728000
2012-12,22,2,1354320000
2013-01,39,2,1356998400
2013-02,68,2,1359676800
2013-03,39,2,1362096000
2013-04,81,2,1364774400
2013-05,117,1,1367366400
2013-06,8,1,1370044800
2013-07,4,1,1372636800
2013-08,24,2,1375315200
2013-09,58,1,1377993600
