YYYY-MM,nCommits,nAuthors,timestamp
2011-01,45,2,1293840000
2011-02,12,2,1296518400
2011-04,2,1,1301616000
2011-05,7,2,1304208000
2011-06,16,3,1306886400
2011-07,23,4,1309478400
2011-08,10,3,1312156800
2011-09,54,4,1314835200
2011-10,10,2,1317427200
2011-11,43,4,1320105600
2011-12,2,2,1322697600
2012-01,21,2,1325376000
2012-02,20,5,1328054400
2012-03,39,5,1330560000
2012-04,28,5,1333238400
2012-05,94,8,1335830400
2012-06,41,10,1338508800
2012-07,43,9,1341100800
2012-08,40,5,1343779200
2012-09,36,6,1346457600
2012-10,67,3,1349049600
2012-11,15,1,1351728000
2012-12,12,3,1354320000
2013-01,100,10,1356998400
2013-02,265,21,1359676800
2013-03,399,29,1362096000
2013-04,332,29,1364774400
2013-05,242,19,1367366400
2013-06,104,17,1370044800
2013-07,185,22,1372636800
2013-08,307,25,1375315200
2013-09,472,30,1377993600
2013-10,296,16,1380585600
2013-11,47,6,1383264000
2013-12,4,2,1385856000
2014-01,51,6,1388534400
2014-02,82,10,1391212800
2014-03,147,15,1393632000
2014-04,201,23,1396310400
2014-05,243,24,1398902400
2014-06,231,29,1401580800
2014-07,276,34,1404172800
2014-08,262,28,1406851200
2014-09,304,37,1409529600
2014-10,185,22,1412121600
2014-11,120,17,1414800000
2014-12,51,10,1417392000
2015-01,58,11,1420070400
2015-02,260,23,1422748800
2015-03,257,30,1425168000
2015-04,363,32,1427846400
2015-05,208,24,1430438400
2015-06,247,38,1433116800
2015-07,235,31,1435708800
2015-08,232,36,1438387200
2015-09,269,35,1441065600
2015-10,222,28,1443657600
2015-11,153,27,1446336000
2015-12,97,15,1448928000
2016-01,150,21,1451606400
2016-02,279,36,1454284800
2016-03,325,49,1456790400
2016-04,316,40,1459468800
2016-05,63,13,1462060800
2019-10,4,1,1569888000
2020-02,4,1,1580515200
