YYYY-MM,nCommits,nAuthors,timestamp
2001-03,63,3,983404800
2001-04,103,5,986083200
2001-05,81,6,988675200
2001-06,16,3,991353600
2001-07,30,7,993945600
2001-08,70,7,996624000
2001-09,83,7,999302400
2001-10,55,9,1001894400
2001-11,35,7,1004572800
2001-12,29,6,1007164800
2002-01,29,7,1009843200
2002-02,60,8,1012521600
2002-03,38,5,1014940800
2002-04,13,3,1017619200
2002-05,55,8,1020211200
2002-06,47,5,1022889600
2002-07,81,9,1025481600
2002-08,82,10,1028160000
2002-09,127,7,1030838400
2002-10,61,5,1033430400
2002-11,59,6,1036108800
2002-12,45,6,1038700800
2003-01,122,9,1041379200
2003-02,82,7,1044057600
2003-03,42,8,1046476800
2003-04,50,4,1049155200
2003-05,33,6,1051747200
2003-06,32,6,1054425600
2003-07,31,5,1057017600
2003-08,146,8,1059696000
2003-09,526,16,1062374400
2003-10,436,14,1064966400
2003-11,160,15,1067644800
2003-12,62,8,1070236800
2004-01,144,10,1072915200
2004-02,169,12,1075593600
2004-03,111,15,1078099200
2004-04,56,11,1080777600
2004-05,56,10,1083369600
2004-06,83,12,1086048000
2004-07,48,6,1088640000
2004-08,14,8,1091318400
2004-09,13,1,1093996800
2004-10,12,6,1096588800
2004-11,8,2,1099267200
2004-12,32,8,1101859200
2005-01,68,11,1104537600
2005-02,103,11,1107216000
2005-03,119,14,1109635200
2005-04,40,12,1112313600
2005-05,23,10,1114905600
2005-06,67,12,1117584000
2005-07,21,5,1120176000
2005-08,13,7,1122854400
2005-09,19,7,1125532800
2005-10,23,6,1128124800
2005-11,10,6,1130803200
2005-12,8,6,1133395200
2006-01,4,3,1136073600
2006-02,42,5,1138752000
2006-03,12,6,1141171200
2006-04,3,3,1143849600
2006-05,15,5,1146441600
2006-06,18,7,1149120000
2006-07,58,10,1151712000
2006-08,73,13,1154390400
2006-09,44,9,1157068800
2006-10,42,8,1159660800
2006-11,31,4,1162339200
2006-12,37,5,1164931200
2007-01,20,6,1167609600
2007-02,13,5,1170288000
2007-03,9,4,1172707200
2007-04,18,2,1175385600
2007-05,27,4,1177977600
2007-06,20,5,1180656000
2007-07,12,7,1183248000
2007-08,37,4,1185926400
2007-09,30,4,1188604800
2007-10,18,4,1191196800
2007-11,53,6,1193875200
2007-12,30,6,1196467200
2008-01,69,6,1199145600
2008-02,5,3,1201824000
2008-03,9,3,1204329600
2008-04,7,4,1207008000
2008-05,26,4,1209600000
2008-06,10,4,1212278400
2008-07,11,4,1214870400
2008-08,37,5,1217548800
2008-09,43,6,1220227200
2008-10,23,6,1222819200
2008-11,14,5,1225497600
2008-12,24,4,1228089600
2009-01,15,5,1230768000
2009-02,34,4,1233446400
2009-03,29,5,1235865600
2009-04,12,5,1238544000
2009-05,68,5,1241136000
2009-06,28,4,1243814400
2009-07,22,4,1246406400
2009-08,6,4,1249084800
2009-09,14,3,1251763200
2009-10,5,1,1254355200
2009-11,6,3,1257033600
2009-12,5,4,1259625600
2010-01,33,6,1262304000
2010-02,11,6,1264982400
2010-03,45,6,1267401600
2010-04,18,5,1270080000
2010-05,28,5,1272672000
2010-06,15,3,1275350400
2010-07,3,2,1277942400
2010-09,6,2,1283299200
2010-10,12,5,1285891200
