YYYY-MM,nCommits,nAuthors,timestamp
2016-07,2,1,1467331200
2016-08,379,5,1470009600
2016-09,570,6,1472688000
2016-10,370,8,1475280000
2016-11,588,6,1477958400
2016-12,551,8,1480550400
2017-01,798,13,1483228800
2017-02,432,11,1485907200
2017-03,269,11,1488326400
2017-04,115,8,1491004800
2017-05,50,3,1493596800
2017-06,29,6,1496275200
2017-07,5,2,1498867200
2017-08,24,3,1501545600
2017-09,19,2,1504224000
2017-10,75,8,1506816000
2017-11,108,11,1509494400
2017-12,86,10,1512086400
2018-01,21,6,1514764800
2018-02,27,11,1517443200
2018-03,22,12,1519862400
2018-04,14,8,1522540800
2018-05,153,10,1525132800
2018-06,65,10,1527811200
2018-07,21,6,1530403200
2018-08,50,9,1533081600
2018-09,33,7,1535760000
2018-10,26,6,1538352000
2018-11,12,5,1541030400
2018-12,21,4,1543622400
2019-01,54,7,1546300800
2019-02,1,1,1548979200
2019-03,13,5,1551398400
2019-04,50,6,1554076800
2019-05,17,6,1556668800
2019-06,8,2,1559347200
2019-07,26,6,1561939200
2019-08,23,3,1564617600
2019-09,20,5,1567296000
2019-10,27,7,1569888000
2019-11,46,10,1572566400
2019-12,8,7,1575158400
2020-01,31,6,1577836800
2020-02,16,3,1580515200
2020-03,25,8,1583020800
2020-04,25,7,1585699200
2020-05,15,3,1588291200
2020-06,6,3,1590969600
2020-07,48,4,1593561600
2020-08,37,9,1596240000
