YYYY-MM,nCommits,nAuthors,timestamp
2014-08,1,1,1406851200
2014-10,5,3,1412121600
2014-11,8,7,1414800000
2014-12,11,8,1417392000
2015-01,25,16,1420070400
2015-02,28,17,1422748800
2015-03,36,22,1425168000
2015-04,34,23,1427846400
2015-05,40,20,1430438400
2015-06,29,17,1433116800
2015-07,134,32,1435708800
2015-08,83,40,1438387200
2015-09,73,40,1441065600
2015-10,65,25,1443657600
2015-11,62,22,1446336000
2015-12,67,32,1448928000
2016-01,70,35,1451606400
2016-02,68,23,1454284800
2016-03,60,26,1456790400
2016-04,53,26,1459468800
2016-05,93,37,1462060800
2016-06,111,39,1464739200
2016-07,159,45,1467331200
2016-08,217,63,1470009600
2016-09,187,52,1472688000
2016-10,147,42,1475280000
2016-11,95,30,1477958400
2016-12,460,93,1480550400
2017-01,354,69,1483228800
2017-02,390,89,1485907200
2017-03,305,84,1488326400
2017-04,330,96,1491004800
2017-05,364,111,1493596800
2017-06,337,89,1496275200
2017-07,359,96,1498867200
2017-08,665,107,1501545600
2017-09,580,86,1504224000
2017-10,705,120,1506816000
2017-11,604,77,1509494400
2017-12,248,58,1512086400
2018-01,314,97,1514764800
2018-02,307,88,1517443200
2018-03,337,151,1519862400
2018-04,215,82,1522540800
2018-05,239,92,1525132800
2018-06,265,82,1527811200
2018-07,289,94,1530403200
2018-08,384,100,1533081600
2018-09,217,77,1535760000
2018-10,335,94,1538352000
2018-11,366,141,1541030400
2018-12,154,80,1543622400
2019-01,282,94,1546300800
2019-02,295,101,1548979200
2019-03,408,80,1551398400
2019-04,267,85,1554076800
2019-05,190,90,1556668800
2019-06,182,47,1559347200
2019-07,150,54,1561939200
2019-08,157,43,1564617600
2019-09,164,68,1567296000
2019-10,131,44,1569888000
2019-11,126,46,1572566400
2019-12,136,48,1575158400
2020-01,172,51,1577836800
2020-02,125,48,1580515200
2020-03,202,60,1583020800
2020-04,200,38,1585699200
2020-05,128,46,1588291200
2020-06,130,39,1590969600
2020-07,146,46,1593561600
2020-08,140,38,1596240000
2020-09,94,51,1598918400
