YYYY-MM,nCommits,nAuthors,timestamp
2014-06,6,2,1401580800
2014-07,33,3,1404172800
2014-08,57,3,1406851200
2014-09,6,1,1409529600
2014-10,3,1,1412121600
2014-11,66,5,1414800000
2014-12,102,4,1417392000
2015-01,49,4,1420070400
2015-02,63,5,1422748800
2015-03,31,4,1425168000
2015-04,12,1,1427846400
2015-05,1,1,1430438400
2015-06,6,1,1433116800
2015-07,12,3,1435708800
2015-08,8,1,1438387200
2015-09,46,4,1441065600
2015-10,68,1,1443657600
2015-11,42,2,1446336000
2015-12,94,2,1448928000
2016-01,66,4,1451606400
2016-02,65,2,1454284800
2016-03,156,4,1456790400
2016-04,84,5,1459468800
2016-05,75,8,1462060800
2016-06,48,6,1464739200
2016-07,163,7,1467331200
2016-08,187,12,1470009600
2016-09,167,10,1472688000
2016-10,96,6,1475280000
2016-11,284,21,1477958400
2016-12,195,15,1480550400
2017-01,181,12,1483228800
2017-02,288,20,1485907200
2017-03,434,16,1488326400
2017-04,335,14,1491004800
2017-05,165,18,1493596800
2017-06,194,10,1496275200
2017-07,113,11,1498867200
2017-08,88,9,1501545600
2017-09,149,10,1504224000
2017-10,126,9,1506816000
2017-11,311,12,1509494400
2017-12,131,9,1512086400
2018-01,111,8,1514764800
2018-02,75,10,1517443200
2018-03,109,8,1519862400
2018-04,139,9,1522540800
2018-05,151,10,1525132800
2018-06,135,6,1527811200
2018-07,211,9,1530403200
2018-08,111,10,1533081600
2018-09,90,6,1535760000
2018-10,64,6,1538352000
2018-11,182,10,1541030400
2018-12,103,7,1543622400
2019-01,103,5,1546300800
2019-02,101,6,1548979200
2019-03,65,5,1551398400
2019-04,52,5,1554076800
2019-05,76,7,1556668800
2019-06,65,8,1559347200
2019-07,60,9,1561939200
2019-08,19,5,1564617600
2019-09,68,5,1567296000
2019-10,106,5,1569888000
2019-11,266,10,1572566400
2019-12,125,11,1575158400
2020-01,177,8,1577836800
2020-02,143,14,1580515200
2020-03,180,13,1583020800
2020-04,69,3,1585699200
2020-05,59,11,1588291200
2020-06,119,14,1590969600
2020-07,83,9,1593561600
2020-08,156,10,1596240000
2020-09,24,2,1598918400
