YYYY-MM,nCommits,nAuthors,timestamp
2012-02,12,2,1328054400
2012-03,13,2,1330560000
2012-04,3,2,1333238400
2012-05,13,2,1335830400
2012-06,19,2,1338508800
2012-07,5,1,1341100800
2012-08,4,3,1343779200
2012-09,11,1,1346457600
2012-10,13,2,1349049600
2012-11,3,2,1351728000
2013-07,5,2,1372636800
2013-08,12,4,1375315200
2013-09,5,2,1377993600
2013-10,2,1,1380585600
2013-12,10,1,1385856000
2014-01,23,2,1388534400
2014-02,8,1,1391212800
2014-05,10,3,1398902400
2014-09,18,1,1409529600
2014-10,32,2,1412121600
2014-11,34,1,1414800000
2014-12,12,1,1417392000
2015-01,10,2,1420070400
2015-02,22,1,1422748800
2015-03,8,1,1425168000
2015-04,12,1,1427846400
2015-06,2,1,1433116800
2015-07,10,3,1435708800
2016-01,4,1,1451606400
2016-02,2,1,1454284800
2016-08,10,1,1470009600
2016-10,2,1,1475280000
2017-02,16,3,1485907200
2017-03,8,2,1488326400
2017-04,30,4,1491004800
2017-05,16,5,1493596800
2017-06,40,4,1496275200
2017-07,108,5,1498867200
2017-08,90,4,1501545600
2017-09,6,2,1504224000
2017-10,22,3,1506816000
2017-11,20,3,1509494400
2018-02,30,2,1517443200
2018-03,12,2,1519862400
2018-05,2,1,1525132800
2018-06,12,3,1527811200
2018-09,6,2,1535760000
2018-10,20,3,1538352000
2018-11,22,4,1541030400
2019-01,8,1,1546300800
2019-02,44,5,1548979200
2019-03,2,1,1551398400
2019-04,46,5,1554076800
2019-05,34,3,1556668800
2019-06,12,2,1559347200
2019-07,4,1,1561939200
2019-08,20,3,1564617600
2019-09,4,1,1567296000
2019-10,6,2,1569888000
2019-11,2,1,1572566400
2019-12,12,2,1575158400
