YYYY-MM,nCommits,nAuthors,timestamp
2013-09,2,1,1377993600
2013-12,3,1,1385856000
2014-01,10,1,1388534400
2014-02,1,1,1391212800
2014-05,3,2,1398902400
2014-09,2,1,1409529600
2015-03,2,1,1425168000
2015-04,1,1,1427846400
2015-06,7,6,1433116800
2015-07,2,2,1435708800
2015-08,3,2,1438387200
2015-09,7,5,1441065600
2015-11,10,4,1446336000
2015-12,1,1,1448928000
2016-01,1,1,1451606400
2016-03,1,1,1456790400
2016-04,1,1,1459468800
2016-07,8,8,1467331200
2016-08,75,58,1470009600
2016-09,64,60,1472688000
2016-10,99,77,1475280000
2016-11,54,44,1477958400
2016-12,33,24,1480550400
2017-01,40,35,1483228800
2017-02,42,38,1485907200
2017-03,58,48,1488326400
2017-04,55,52,1491004800
2017-05,88,64,1493596800
2017-06,66,55,1496275200
2017-07,44,35,1498867200
2017-08,64,47,1501545600
2017-09,66,49,1504224000
2017-10,89,39,1506816000
2017-11,20,16,1509494400
2017-12,22,21,1512086400
2018-01,25,13,1514764800
2018-02,24,19,1517443200
2018-03,33,27,1519862400
2018-04,56,30,1522540800
2018-05,39,33,1525132800
2018-06,77,47,1527811200
2018-07,44,30,1530403200
2018-08,74,61,1533081600
2018-09,64,55,1535760000
2018-10,65,55,1538352000
2018-11,69,55,1541030400
2018-12,82,41,1543622400
2019-01,40,29,1546300800
2019-02,64,55,1548979200
2019-03,77,53,1551398400
2019-04,52,40,1554076800
2019-05,59,55,1556668800
2019-06,45,43,1559347200
2019-07,143,48,1561939200
2019-08,58,49,1564617600
2019-09,39,36,1567296000
2019-10,24,24,1569888000
2019-11,21,17,1572566400
2019-12,40,30,1575158400
2020-01,25,24,1577836800
2020-02,59,52,1580515200
2020-03,132,89,1583020800
2020-04,84,67,1585699200
2020-05,54,41,1588291200
2020-06,37,36,1590969600
2020-07,47,38,1593561600
2020-08,73,61,1596240000
2020-09,2,2,1598918400
