YYYY-MM,nCommits,nAuthors,timestamp
2015-11,6,2,1446336000
2015-12,13,13,1448928000
2016-01,32,31,1451606400
2016-02,28,27,1454284800
2016-03,50,49,1456790400
2016-04,32,32,1459468800
2016-05,33,33,1462060800
2016-06,36,35,1464739200
2016-07,32,30,1467331200
2016-08,44,37,1470009600
2016-09,30,26,1472688000
2016-10,25,22,1475280000
2016-11,50,41,1477958400
2016-12,22,18,1480550400
2017-01,36,27,1483228800
2017-02,25,22,1485907200
2017-03,47,38,1488326400
2017-04,57,48,1491004800
2017-05,58,51,1493596800
2017-06,62,55,1496275200
2017-07,77,64,1498867200
2017-08,44,37,1501545600
2017-09,84,71,1504224000
2017-10,118,97,1506816000
2017-11,95,83,1509494400
2017-12,64,52,1512086400
2018-01,303,288,1514764800
2018-02,116,105,1517443200
2018-03,107,95,1519862400
2018-04,90,83,1522540800
2018-05,94,81,1525132800
2018-06,85,81,1527811200
2018-07,119,105,1530403200
2018-08,106,96,1533081600
2018-09,58,53,1535760000
2018-10,59,55,1538352000
2018-11,54,46,1541030400
2018-12,40,37,1543622400
2019-01,42,38,1546300800
2019-02,29,26,1548979200
2019-03,29,26,1551398400
2019-04,37,36,1554076800
2019-05,60,60,1556668800
2019-06,69,68,1559347200
2019-07,20,18,1561939200
2019-08,42,41,1564617600
2019-09,42,42,1567296000
2019-10,21,21,1569888000
2019-11,34,34,1572566400
2019-12,3,3,1575158400
2020-01,2,2,1577836800
2020-02,15,15,1580515200
2020-03,10,10,1583020800
2020-04,4,3,1585699200
2020-05,2,2,1588291200
2020-06,4,4,1590969600
2020-07,1,1,1593561600
2020-08,2,1,1596240000
