YYYY-MM,nCommits,nAuthors,timestamp
2015-11,13,3,1446336000
2015-12,5,2,1448928000
2016-01,27,20,1451606400
2016-02,43,33,1454284800
2016-03,78,55,1456790400
2016-04,80,56,1459468800
2016-05,38,29,1462060800
2016-06,41,33,1464739200
2016-07,100,65,1467331200
2016-08,63,32,1470009600
2016-09,59,33,1472688000
2016-10,25,23,1475280000
2016-11,31,22,1477958400
2016-12,38,26,1480550400
2017-01,29,18,1483228800
2017-02,39,31,1485907200
2017-03,33,26,1488326400
2017-04,52,35,1491004800
2017-05,35,31,1493596800
2017-06,58,47,1496275200
2017-07,69,60,1498867200
2017-08,75,41,1501545600
2017-09,64,50,1504224000
2017-10,116,65,1506816000
2017-11,88,68,1509494400
2017-12,101,59,1512086400
2018-01,97,69,1514764800
2018-02,74,52,1517443200
2018-03,118,73,1519862400
2018-04,185,100,1522540800
2018-05,112,60,1525132800
2018-06,110,75,1527811200
2018-07,156,91,1530403200
2018-08,148,81,1533081600
2018-09,87,65,1535760000
2018-10,91,70,1538352000
2018-11,65,37,1541030400
2018-12,49,31,1543622400
2019-01,61,38,1546300800
2019-02,99,48,1548979200
2019-03,64,32,1551398400
2019-04,55,27,1554076800
2019-05,45,23,1556668800
2019-06,39,12,1559347200
2019-07,24,16,1561939200
2019-08,6,6,1564617600
2019-09,17,11,1567296000
2019-10,11,9,1569888000
2019-11,24,20,1572566400
2019-12,3,2,1575158400
2020-01,14,10,1577836800
2020-02,7,5,1580515200
2020-03,12,8,1583020800
2020-04,3,2,1585699200
2020-05,12,8,1588291200
2020-07,21,8,1593561600
2020-08,2,2,1596240000
