YYYY-MM,nCommits,nAuthors,timestamp
2015-09,9,3,1441065600
2015-11,19,2,1446336000
2015-12,5,3,1448928000
2016-01,68,49,1451606400
2016-02,63,50,1454284800
2016-03,101,78,1456790400
2016-04,54,42,1459468800
2016-05,65,54,1462060800
2016-06,68,56,1464739200
2016-07,61,50,1467331200
2016-08,34,27,1470009600
2016-09,27,21,1472688000
2016-10,23,20,1475280000
2016-11,51,40,1477958400
2016-12,27,24,1480550400
2017-01,40,29,1483228800
2017-02,28,23,1485907200
2017-03,41,32,1488326400
2017-04,52,45,1491004800
2017-05,60,51,1493596800
2017-06,61,52,1496275200
2017-07,57,43,1498867200
2017-08,66,41,1501545600
2017-09,40,35,1504224000
2017-10,65,57,1506816000
2017-11,44,43,1509494400
2017-12,44,42,1512086400
2018-01,268,243,1514764800
2018-02,122,97,1517443200
2018-03,111,88,1519862400
2018-04,84,72,1522540800
2018-05,90,77,1525132800
2018-06,90,83,1527811200
2018-07,114,98,1530403200
2018-08,101,89,1533081600
2018-09,68,59,1535760000
2018-10,71,60,1538352000
2018-11,49,45,1541030400
2018-12,50,41,1543622400
2019-01,39,29,1546300800
2019-02,22,18,1548979200
2019-03,39,30,1551398400
2019-04,35,32,1554076800
2019-05,37,36,1556668800
2019-06,75,69,1559347200
2019-07,26,26,1561939200
2019-08,39,36,1564617600
2019-09,42,39,1567296000
2019-10,28,26,1569888000
2019-11,44,42,1572566400
2019-12,6,5,1575158400
2020-01,8,7,1577836800
2020-02,13,12,1580515200
2020-03,11,10,1583020800
2020-05,3,3,1588291200
2020-06,3,2,1590969600
2020-07,684,682,1593561600
2020-09,2,2,1598918400
