YYYY-MM,nCommits,nAuthors,timestamp
2015-09,6,2,1441065600
2015-12,28,15,1448928000
2016-01,30,28,1451606400
2016-02,37,34,1454284800
2016-03,58,52,1456790400
2016-04,32,31,1459468800
2016-05,37,35,1462060800
2016-06,38,36,1464739200
2016-07,28,26,1467331200
2016-08,20,18,1470009600
2016-09,14,14,1472688000
2016-10,15,14,1475280000
2016-11,23,22,1477958400
2016-12,12,12,1480550400
2017-01,22,21,1483228800
2017-02,12,12,1485907200
2017-03,24,23,1488326400
2017-04,33,31,1491004800
2017-05,28,27,1493596800
2017-06,33,32,1496275200
2017-07,31,29,1498867200
2017-08,28,27,1501545600
2017-09,42,37,1504224000
2017-10,71,63,1506816000
2017-11,49,46,1509494400
2017-12,36,36,1512086400
2018-01,45,40,1514764800
2018-02,63,59,1517443200
2018-03,824,805,1519862400
2018-04,78,74,1522540800
2018-05,98,82,1525132800
2018-06,87,79,1527811200
2018-07,117,99,1530403200
2018-08,88,81,1533081600
2018-09,75,67,1535760000
2018-10,48,46,1538352000
2018-11,53,49,1541030400
2018-12,44,39,1543622400
2019-01,32,26,1546300800
2019-02,30,29,1548979200
2019-03,27,23,1551398400
2019-04,53,47,1554076800
2019-05,46,44,1556668800
2019-06,76,74,1559347200
2019-07,22,22,1561939200
2019-08,43,41,1564617600
2019-09,65,61,1567296000
2019-10,29,26,1569888000
2019-11,40,38,1572566400
2019-12,15,11,1575158400
2020-01,2,2,1577836800
2020-02,15,14,1580515200
2020-03,8,8,1583020800
2020-04,36,34,1585699200
2020-05,7,6,1588291200
2020-06,3,2,1590969600
2020-07,1,1,1593561600
2020-08,2,2,1596240000
