YYYY-MM,nCommits,nAuthors,timestamp
1969-12,2768,1,-2678400
2007-02,25,2,1170288000
2007-03,46,2,1172707200
2007-04,132,3,1175385600
2007-05,262,2,1177977600
2007-06,162,2,1180656000
2007-07,184,2,1183248000
2007-08,58,2,1185926400
2007-09,84,2,1188604800
2007-10,130,2,1191196800
2007-11,226,2,1193875200
2007-12,166,3,1196467200
2008-01,252,2,1199145600
2008-02,258,2,1201824000
2008-03,132,3,1204329600
2008-04,128,1,1207008000
2008-05,184,3,1209600000
2008-06,182,4,1212278400
2008-07,156,2,1214870400
2008-08,110,3,1217548800
2008-09,194,2,1220227200
2008-10,158,2,1222819200
2008-11,190,2,1225497600
2008-12,202,3,1228089600
2009-01,294,4,1230768000
2009-02,206,7,1233446400
2009-03,224,7,1235865600
2009-04,292,6,1238544000
2009-05,234,4,1241136000
2009-06,184,6,1243814400
2009-07,304,5,1246406400
2009-08,120,4,1249084800
2009-09,186,5,1251763200
2009-10,486,7,1254355200
2009-11,422,6,1257033600
2009-12,268,5,1259625600
2010-01,372,5,1262304000
2010-02,340,6,1264982400
2010-03,416,7,1267401600
2010-04,254,5,1270080000
2010-05,368,4,1272672000
2010-06,276,7,1275350400
2010-07,270,5,1277942400
2010-08,502,6,1280620800
2010-09,350,4,1283299200
2010-10,408,4,1285891200
2010-11,316,4,1288569600
2010-12,474,4,1291161600
2011-01,556,6,1293840000
2011-02,488,10,1296518400
2011-03,386,9,1298937600
2011-04,534,8,1301616000
2011-05,402,9,1304208000
2011-06,236,7,1306886400
2011-07,164,6,1309478400
2011-08,192,5,1312156800
2011-09,290,10,1314835200
2011-10,382,8,1317427200
2011-11,356,6,1320105600
2011-12,240,7,1322697600
2012-01,506,10,1325376000
2012-02,498,8,1328054400
2012-03,540,13,1330560000
2012-04,338,8,1333238400
2012-05,288,5,1335830400
2012-06,202,5,1338508800
2012-07,138,6,1341100800
2012-08,314,4,1343779200
2012-09,200,7,1346457600
2012-10,424,9,1349049600
2012-11,232,9,1351728000
2012-12,156,6,1354320000
2013-01,176,6,1356998400
2013-02,184,4,1359676800
2013-03,198,7,1362096000
2013-04,334,8,1364774400
2013-05,402,7,1367366400
2013-06,142,8,1370044800
2013-07,158,8,1372636800
2013-08,298,11,1375315200
2013-09,320,12,1377993600
2013-10,326,12,1380585600
2013-11,340,6,1383264000
2013-12,416,10,1385856000
2014-01,394,12,1388534400
2014-02,230,15,1391212800
2014-03,296,10,1393632000
2014-04,528,12,1396310400
2014-05,528,11,1398902400
2014-06,400,10,1401580800
2014-07,350,14,1404172800
2014-08,632,8,1406851200
2014-09,212,9,1409529600
2014-10,278,8,1412121600
2014-11,344,8,1414800000
2014-12,296,8,1417392000
2015-01,266,11,1420070400
2015-02,168,8,1422748800
2015-03,274,8,1425168000
2015-04,304,8,1427846400
2015-05,218,7,1430438400
2015-06,144,10,1433116800
2015-07,120,8,1435708800
2015-08,226,10,1438387200
2015-09,80,5,1441065600
2015-10,88,6,1443657600
2015-11,84,9,1446336000
2015-12,28,3,1448928000
2016-01,98,7,1451606400
2016-02,36,2,1454284800
2016-03,42,4,1456790400
2016-04,60,5,1459468800
2016-05,40,9,1462060800
2016-06,104,6,1464739200
2016-07,58,6,1467331200
2016-08,52,7,1470009600
2016-09,40,5,1472688000
2016-10,10,4,1475280000
2016-11,54,4,1477958400
2016-12,124,7,1480550400
2017-01,74,6,1483228800
2017-02,76,7,1485907200
2017-03,36,5,1488326400
2017-04,22,4,1491004800
2017-05,52,7,1493596800
2017-06,54,8,1496275200
2017-07,40,2,1498867200
2017-08,68,5,1501545600
2017-09,26,6,1504224000
2017-10,72,6,1506816000
2017-11,4,1,1509494400
