YYYY-MM,nCommits,nAuthors,timestamp
1973-01,11,1,94694400
1973-03,22,2,99792000
1973-11,69,2,120960000
1974-02,23,1,128908800
1974-10,23,1,149817600
1974-12,23,1,155088000
1975-06,23,1,170812800
1975-07,23,1,173404800
1976-01,46,2,189302400
1976-03,69,2,194486400
1976-05,23,1,199756800
1976-09,23,1,210384000
1976-12,24,1,218246400
1977-01,48,2,220924800
1977-02,24,1,223603200
1977-03,24,1,226022400
1977-04,24,1,228700800
1977-06,49,1,233971200
1977-07,150,4,236563200
1977-08,25,1,239241600
1977-09,25,1,241920000
1977-10,25,1,244512000
1977-11,25,1,247190400
1977-12,50,2,249782400
1978-02,25,1,255139200
1978-03,50,1,257558400
1978-04,25,1,260236800
1978-07,50,1,268099200
1978-08,50,1,270777600
1978-11,25,1,278726400
1979-02,25,1,286675200
1979-05,25,1,294364800
1979-08,25,1,302313600
1979-10,25,1,307584000
1979-12,25,1,312854400
1980-07,50,2,331257600
1980-08,25,1,333936000
1980-09,50,2,336614400
1981-02,25,1,349833600
1981-03,25,1,352252800
1981-08,25,1,365472000
1981-12,50,2,376012800
1982-06,25,1,391737600
1982-07,25,1,394329600
1982-12,50,2,407548800
1983-01,25,1,410227200
1983-07,75,2,425865600
1983-09,50,1,431222400
1983-10,25,1,433814400
1983-12,25,1,439084800
1984-01,25,1,441763200
1984-03,75,3,446947200
1984-04,50,2,449625600
1984-05,50,2,452217600
1984-06,25,1,454896000
1984-07,75,3,457488000
1984-08,25,1,460166400
1984-12,50,2,470707200
1985-01,75,2,473385600
1985-02,25,1,476064000
1985-04,25,1,481161600
1985-05,25,1,483753600
1985-07,75,2,489024000
1985-09,25,1,494380800
1985-10,25,1,496972800
1985-12,50,2,502243200
1986-01,150,3,504921600
1986-02,75,3,507600000
1986-03,125,3,510019200
1986-04,25,1,512697600
1986-06,25,1,517968000
1986-07,50,1,520560000
1986-08,75,3,523238400
1986-12,75,3,533779200
1987-04,25,1,544233600
1987-05,50,1,546825600
1987-06,25,1,549504000
1987-07,25,1,552096000
1987-08,25,1,554774400
1987-09,25,1,557452800
1987-10,50,2,560044800
1987-12,50,2,565315200
1988-01,25,1,567993600
1988-03,25,1,573177600
1988-04,25,1,575856000
1988-05,25,1,578448000
1988-07,25,1,583718400
1988-08,25,1,586396800
1988-12,100,4,596937600
1989-01,25,1,599616000
1989-02,50,2,602294400
1989-06,50,2,612662400
1989-08,25,1,617932800
1989-09,25,1,620611200
1989-11,25,1,625881600
1989-12,25,1,628473600
1990-01,25,1,631152000
1990-05,50,2,641520000
1990-06,50,2,644198400
1990-12,25,1,660009600
1991-04,25,1,670464000
1991-05,25,1,673056000
1991-07,25,1,678326400
1991-10,25,1,686275200
1991-12,25,1,691545600
1992-01,25,1,694224000
1992-02,25,1,696902400
1992-07,25,1,709948800
1992-08,50,2,712627200
1992-09,50,2,715305600
1992-12,50,2,723168000
1993-01,100,3,725846400
1993-03,100,4,730944000
1993-10,25,1,749433600
1993-11,25,1,752112000
1993-12,25,1,754704000
1994-01,25,1,757382400
1994-02,50,2,760060800
1994-05,25,1,767750400
1994-06,25,1,770428800
1994-07,75,3,773020800
1994-08,25,1,775699200
1994-09,25,1,778377600
1994-12,25,1,786240000
1995-01,50,2,788918400
1995-02,75,3,791596800
1995-03,25,1,794016000
1995-05,50,1,799286400
1995-08,25,1,807235200
1995-09,25,1,809913600
1995-10,75,3,812505600
1996-06,25,1,833587200
1996-08,25,1,838857600
1996-11,75,3,846806400
1996-12,25,1,849398400
1997-01,25,1,852076800
1997-02,50,2,854755200
1997-05,50,2,862444800
1997-07,25,1,867715200
1997-12,25,1,880934400
1998-07,25,1,899251200
1998-10,25,1,907200000
1998-12,75,3,912470400
1999-04,50,2,922924800
1999-05,25,1,925516800
1999-06,50,2,928195200
1999-07,50,2,930787200
1999-10,25,1,938736000
1999-12,50,2,944006400
2000-04,25,1,954547200
2000-06,25,1,959817600
2000-07,25,1,962409600
2000-09,25,1,967766400
2000-12,100,3,975628800
2001-01,50,2,978307200
2001-03,75,2,983404800
2001-06,25,1,991353600
2001-07,25,1,993945600
2001-10,25,1,1001894400
2001-12,75,3,1007164800
2002-01,125,5,1009843200
2002-02,50,2,1012521600
2002-05,75,3,1020211200
2002-10,25,1,1033430400
2002-12,25,1,1038700800
2003-01,50,2,1041379200
2003-02,25,1,1044057600
2003-05,25,1,1051747200
2003-07,75,3,1057017600
2003-08,25,1,1059696000
2003-09,25,1,1062374400
2003-10,25,1,1064966400
2003-12,25,1,1070236800
2004-02,75,3,1075593600
2004-03,25,1,1078099200
2004-04,25,1,1080777600
2004-06,50,2,1086048000
2004-07,50,2,1088640000
2004-08,75,3,1091318400
2004-10,25,1,1096588800
2004-11,25,1,1099267200
2004-12,50,2,1101859200
2005-01,50,2,1104537600
2005-02,50,2,1107216000
2005-04,50,2,1112313600
2005-05,100,4,1114905600
2005-06,25,1,1117584000
2005-07,75,3,1120176000
2005-08,50,2,1122854400
2005-09,25,1,1125532800
2005-10,50,2,1128124800
2005-12,25,1,1133395200
2006-01,25,1,1136073600
2006-02,25,1,1138752000
2006-03,75,3,1141171200
2006-04,50,2,1143849600
2006-05,75,3,1146441600
2006-06,75,2,1149120000
2006-07,100,4,1151712000
2006-08,50,2,1154390400
2006-10,50,2,1159660800
2006-11,25,1,1162339200
2006-12,75,3,1164931200
2007-01,50,2,1167609600
2007-02,50,2,1170288000
2007-03,76,3,1172707200
2007-05,130,5,1177977600
2007-06,26,1,1180656000
2007-08,26,1,1185926400
2007-09,26,1,1188604800
2007-11,78,3,1193875200
2007-12,130,5,1196467200
2008-03,26,1,1204329600
2008-04,26,1,1207008000
2008-07,52,2,1214870400
2008-08,26,1,1217548800
2008-11,52,2,1225497600
2008-12,78,3,1228089600
2009-02,26,1,1233446400
2009-03,52,2,1235865600
2009-04,26,1,1238544000
2009-05,78,3,1241136000
2009-06,104,4,1243814400
2009-07,78,3,1246406400
2009-08,26,1,1249084800
2009-09,26,1,1251763200
2009-10,52,2,1254355200
2009-11,78,3,1257033600
2009-12,78,3,1259625600
2010-03,78,3,1267401600
2010-04,78,3,1270080000
2010-05,52,2,1272672000
2010-06,52,2,1275350400
2010-07,52,2,1277942400
2010-09,26,1,1283299200
2010-10,78,3,1285891200
2010-11,26,1,1288569600
2010-12,78,3,1291161600
2011-01,104,4,1293840000
2011-02,52,2,1296518400
2011-03,52,3,1298937600
2011-04,26,1,1301616000
2011-05,82,4,1304208000
2011-06,26,1,1306886400
2011-07,26,1,1309478400
2011-08,26,1,1312156800
2011-09,26,1,1314835200
2011-10,26,1,1317427200
2011-11,52,2,1320105600
2011-12,104,3,1322697600
2012-01,130,5,1325376000
2012-02,104,4,1328054400
2012-03,104,4,1330560000
2012-04,26,1,1333238400
2012-05,78,3,1335830400
2012-06,26,1,1338508800
2012-08,52,2,1343779200
2012-11,52,2,1351728000
2012-12,52,1,1354320000
2013-01,52,1,1356998400
2013-02,26,1,1359676800
2013-04,26,1,1364774400
2013-05,26,1,1367366400
2013-06,26,1,1370044800
2013-08,26,1,1375315200
2013-10,26,1,1380585600
2013-11,26,1,1383264000
2013-12,52,1,1385856000
2014-01,26,1,1388534400
2014-02,26,1,1391212800
2014-03,104,3,1393632000
2014-05,52,2,1398902400
2014-06,52,2,1401580800
2014-08,52,2,1406851200
2014-10,26,1,1412121600
2014-11,104,4,1414800000
2014-12,130,5,1417392000
2015-02,78,3,1422748800
2015-03,52,2,1425168000
2015-06,26,1,1433116800
2015-07,130,5,1435708800
2015-08,130,2,1438387200
2015-09,52,2,1441065600
2015-10,81,4,1443657600
2015-11,26,1,1446336000
2015-12,130,4,1448928000
2016-01,52,2,1451606400
2016-03,78,2,1456790400
2016-04,26,1,1459468800
2016-06,130,5,1464739200
2016-07,52,2,1467331200
2016-08,78,3,1470009600
2016-09,26,1,1472688000
2016-10,26,1,1475280000
2016-11,104,4,1477958400
2016-12,78,1,1480550400
2017-01,26,1,1483228800
2017-02,26,1,1485907200
2017-03,78,2,1488326400
2017-04,78,3,1491004800
2017-05,104,4,1493596800
2017-06,26,1,1496275200
2017-07,26,1,1498867200
2017-09,26,1,1504224000
2017-10,78,3,1506816000
2017-12,78,3,1512086400
2018-03,52,2,1519862400
2018-05,25,1,1525132800
2018-06,25,1,1527811200
2018-07,46,2,1530403200
2018-08,71,3,1533081600
2018-09,23,1,1535760000
2018-10,18,1,1538352000
2018-11,17,1,1541030400
2018-12,76,5,1543622400
2019-01,16,1,1546300800
2019-03,17,1,1551398400
2019-04,12,1,1554076800
2019-05,47,4,1556668800
2019-06,30,3,1559347200
2019-07,30,3,1561939200
2019-08,10,1,1564617600
2019-11,6,1,1572566400
2019-12,16,2,1575158400
2020-01,3,1,1577836800
2020-02,14,4,1580515200
2020-05,3,1,1588291200
2020-12,3,1,1606780800
2021-06,3,1,1622505600
