YYYY-MM,nCommits,nAuthors,timestamp
1969-12,8,1,-2678400
1977-12,8,1,249782400
1981-06,9,1,360201600
1981-07,10,1,362793600
1981-09,10,1,368150400
1981-12,17,1,376012800
1982-01,34,2,378691200
1982-03,17,1,383788800
1982-04,17,1,386467200
1982-07,34,2,394329600
1982-08,34,2,397008000
1982-10,17,1,402278400
1982-12,17,1,407548800
1983-05,17,1,420595200
1983-06,34,2,423273600
1983-07,17,1,425865600
1983-10,34,2,433814400
1983-12,34,2,439084800
1984-01,17,1,441763200
1984-02,17,1,444441600
1984-03,17,1,446947200
1984-07,51,2,457488000
1984-08,17,1,460166400
1984-10,17,1,465436800
1984-12,51,3,470707200
1985-01,17,1,473385600
1985-02,17,1,476064000
1985-05,17,1,483753600
1985-07,68,3,489024000
1985-09,17,1,494380800
1985-10,17,1,496972800
1985-12,68,2,502243200
1986-01,34,2,504921600
1986-03,34,2,510019200
1986-07,17,1,520560000
1986-10,17,1,528508800
1986-11,17,1,531187200
1986-12,68,3,533779200
1987-01,17,1,536457600
1987-07,34,1,552096000
1987-08,17,1,554774400
1987-10,17,1,560044800
1987-12,34,1,565315200
1988-01,34,1,567993600
1988-05,17,1,578448000
1988-07,17,1,583718400
1988-10,17,1,591667200
1988-12,51,3,596937600
1989-06,17,1,612662400
1989-07,17,1,615254400
1989-12,34,1,628473600
1990-01,17,1,631152000
1990-06,17,1,644198400
1990-12,17,1,660009600
1991-06,17,1,675734400
1991-12,34,2,691545600
1992-03,17,1,699408000
1992-07,34,1,709948800
1992-12,34,1,723168000
1993-01,17,1,725846400
1993-02,17,1,728524800
1993-03,17,1,730944000
1993-08,17,1,744163200
1994-08,17,1,775699200
1994-09,17,1,778377600
1995-10,17,1,812505600
1996-05,17,1,830908800
1997-04,17,1,859852800
1997-05,17,1,862444800
1998-04,17,1,891388800
1999-03,17,1,920246400
1999-06,17,1,928195200
1999-12,34,1,944006400
2000-01,17,1,946684800
2000-03,17,1,951868800
2000-08,17,1,965088000
2000-12,17,1,975628800
2001-03,17,1,983404800
2001-10,17,1,1001894400
2001-12,17,1,1007164800
2002-03,17,1,1014940800
2002-08,34,2,1028160000
2002-12,34,2,1038700800
2003-06,17,1,1054425600
2003-08,34,2,1059696000
2003-10,17,1,1064966400
2003-12,51,3,1070236800
2004-02,34,2,1075593600
2004-03,51,3,1078099200
2004-05,17,1,1083369600
2004-06,34,2,1086048000
2004-07,17,1,1088640000
2004-08,34,2,1091318400
2004-09,17,1,1093996800
2004-10,34,2,1096588800
2004-12,34,1,1101859200
2005-02,17,1,1107216000
2005-04,17,1,1112313600
2005-05,17,1,1114905600
2005-06,17,1,1117584000
2005-07,34,2,1120176000
2005-09,34,2,1125532800
2005-10,17,1,1128124800
2005-12,85,4,1133395200
2006-01,17,1,1136073600
2006-03,17,1,1141171200
2006-07,17,1,1151712000
2006-08,51,3,1154390400
2006-10,17,1,1159660800
2006-11,34,2,1162339200
2006-12,51,3,1164931200
2007-02,17,1,1170288000
2007-05,17,1,1177977600
2007-08,34,2,1185926400
2007-09,17,1,1188604800
2007-11,17,1,1193875200
2007-12,68,3,1196467200
2008-01,17,1,1199145600
2008-04,51,3,1207008000
2008-07,17,1,1214870400
2008-08,17,1,1217548800
2008-10,34,2,1222819200
2008-12,51,2,1228089600
2009-01,17,1,1230768000
2009-03,17,1,1235865600
2009-04,68,4,1238544000
2009-05,17,1,1241136000
2009-06,17,1,1243814400
2009-07,51,3,1246406400
2009-08,34,2,1249084800
2009-09,17,1,1251763200
2009-10,17,1,1254355200
2009-12,68,3,1259625600
2010-01,34,2,1262304000
2010-02,34,2,1264982400
2010-03,51,3,1267401600
2010-04,34,2,1270080000
2010-05,34,2,1272672000
2010-06,34,2,1275350400
2010-07,51,3,1277942400
2010-08,17,1,1280620800
2010-10,34,2,1285891200
2010-11,17,1,1288569600
2010-12,51,3,1291161600
2011-02,17,1,1296518400
2011-03,68,4,1298937600
2011-05,34,2,1304208000
2011-06,51,2,1306886400
2011-07,17,1,1309478400
2011-08,17,1,1312156800
2011-09,17,1,1314835200
2011-10,34,2,1317427200
2011-12,51,2,1322697600
2012-01,17,1,1325376000
2012-02,51,3,1328054400
2012-03,85,5,1330560000
2012-04,17,1,1333238400
2012-05,68,3,1335830400
2012-07,17,1,1341100800
2012-08,17,1,1343779200
2012-12,51,2,1354320000
2013-01,34,2,1356998400
2013-02,17,1,1359676800
2013-04,34,2,1364774400
2013-06,51,3,1370044800
2013-07,85,5,1372636800
2013-08,68,4,1375315200
2013-09,17,1,1377993600
2013-12,85,4,1385856000
2014-03,17,1,1393632000
2014-05,34,2,1398902400
2014-06,34,2,1401580800
2014-07,17,1,1404172800
2014-08,34,2,1406851200
2014-10,17,1,1412121600
2014-11,34,2,1414800000
2014-12,51,3,1417392000
2015-02,17,1,1422748800
2015-03,34,2,1425168000
2015-05,17,1,1430438400
2015-06,17,1,1433116800
2015-08,51,3,1438387200
2015-10,17,1,1443657600
2015-11,17,1,1446336000
2015-12,68,4,1448928000
2016-01,17,1,1451606400
2016-02,17,1,1454284800
2016-03,17,1,1456790400
2016-05,17,1,1462060800
2016-06,52,3,1464739200
2016-07,36,2,1467331200
2016-08,18,1,1470009600
2016-09,18,1,1472688000
2016-10,18,1,1475280000
2016-12,72,4,1480550400
2017-01,18,1,1483228800
2017-02,18,1,1485907200
2017-03,36,2,1488326400
2017-04,18,1,1491004800
2017-05,18,1,1493596800
2017-06,18,1,1496275200
2017-07,18,1,1498867200
2017-08,36,2,1501545600
2017-09,36,2,1504224000
2017-12,54,3,1512086400
2018-02,18,1,1517443200
2018-04,17,1,1522540800
2018-05,17,1,1525132800
2018-06,65,4,1527811200
2018-07,15,1,1530403200
2018-08,29,2,1533081600
2018-09,18,3,1535760000
2018-10,29,2,1538352000
2018-11,37,3,1541030400
2018-12,41,2,1543622400
2019-03,9,1,1551398400
2019-05,19,2,1556668800
2019-06,31,5,1559347200
2019-07,14,2,1561939200
2019-08,14,2,1564617600
2019-11,6,2,1572566400
2019-12,26,5,1575158400
2020-01,3,1,1577836800
