YYYY-MM,nCommits,nAuthors,timestamp
2012-06,19,2,1338508800
2012-07,1,1,1341100800
2012-08,7,4,1343779200
2012-09,17,5,1346457600
2012-10,34,4,1349049600
2012-11,99,3,1351728000
2012-12,8,1,1354320000
2013-01,37,1,1356998400
2013-02,47,2,1359676800
2013-03,17,4,1362096000
2013-04,12,3,1364774400
2013-05,15,2,1367366400
2013-07,4,1,1372636800
2013-08,1,1,1375315200
2013-09,13,3,1377993600
2013-10,8,5,1380585600
2013-11,13,3,1383264000
2013-12,16,4,1385856000
2014-01,8,5,1388534400
2014-02,9,4,1391212800
2014-03,10,4,1393632000
2014-04,80,4,1396310400
2014-05,6,1,1398902400
2014-06,114,5,1401580800
2014-07,17,5,1404172800
2014-08,22,8,1406851200
2014-09,3,3,1409529600
2014-10,7,1,1412121600
2014-11,2,1,1414800000
2014-12,19,1,1417392000
2015-03,4,2,1425168000
2015-04,4,3,1427846400
2015-05,29,4,1430438400
2015-07,114,2,1435708800
2015-08,13,1,1438387200
2015-09,18,1,1441065600
2015-10,12,3,1443657600
2015-12,3,3,1448928000
2016-01,34,5,1451606400
2016-02,56,4,1454284800
2016-03,26,1,1456790400
2016-04,40,4,1459468800
2016-05,135,11,1462060800
2016-06,98,6,1464739200
2016-07,13,4,1467331200
2016-08,45,5,1470009600
2016-09,56,9,1472688000
2016-10,17,6,1475280000
2016-11,10,6,1477958400
2016-12,37,10,1480550400
2017-01,11,3,1483228800
2017-02,10,5,1485907200
2017-03,89,8,1488326400
2017-04,45,6,1491004800
2017-05,3,2,1493596800
2017-06,7,1,1496275200
2017-07,104,6,1498867200
2017-08,30,8,1501545600
2017-09,17,7,1504224000
2017-10,35,8,1506816000
2017-11,43,9,1509494400
2017-12,50,6,1512086400
2018-01,12,4,1514764800
2018-02,30,6,1517443200
2018-03,12,6,1519862400
2018-04,25,8,1522540800
2018-05,7,4,1525132800
2018-06,9,4,1527811200
2018-07,17,5,1530403200
2018-08,19,7,1533081600
2018-09,15,6,1535760000
2018-10,4,4,1538352000
2018-11,7,4,1541030400
2018-12,46,6,1543622400
2019-01,7,4,1546300800
2019-02,3,3,1548979200
2019-05,1,1,1556668800
2019-06,14,4,1559347200
2019-07,48,6,1561939200
2019-08,14,6,1564617600
2019-09,10,5,1567296000
2019-10,25,6,1569888000
2019-11,34,2,1572566400
2019-12,38,7,1575158400
2020-01,31,7,1577836800
2020-02,36,6,1580515200
2020-03,18,5,1583020800
2020-04,10,5,1585699200
2020-05,29,9,1588291200
2020-06,31,10,1590969600
2020-07,12,5,1593561600
2020-08,6,4,1596240000
2020-09,18,2,1598918400
