YYYY-MM,nCommits,nAuthors,timestamp
1969-12,1548,1,-2678400
2013-07,6,1,1372636800
2013-08,10,1,1375315200
2013-09,33,3,1377993600
2013-10,520,5,1380585600
2013-11,424,6,1383264000
2013-12,536,7,1385856000
2014-01,413,9,1388534400
2014-02,220,11,1391212800
2014-03,632,16,1393632000
2014-04,468,16,1396310400
2014-05,539,15,1398902400
2014-06,464,16,1401580800
2014-07,528,17,1404172800
2014-08,574,15,1406851200
2014-09,404,14,1409529600
2014-10,879,14,1412121600
2014-11,459,13,1414800000
2014-12,173,11,1417392000
2015-01,481,11,1420070400
2015-02,285,11,1422748800
2015-03,87,10,1425168000
2015-04,79,4,1427846400
2015-05,59,7,1430438400
2015-06,285,8,1433116800
2015-07,519,8,1435708800
2015-08,363,11,1438387200
2015-09,223,12,1441065600
2015-10,542,9,1443657600
2015-11,631,11,1446336000
2015-12,689,10,1448928000
2016-01,314,9,1451606400
2016-02,279,7,1454284800
2016-03,483,10,1456790400
2016-04,370,10,1459468800
2016-05,748,11,1462060800
2016-06,691,10,1464739200
2016-07,906,10,1467331200
2016-08,775,6,1470009600
2016-09,137,5,1472688000
2016-10,266,7,1475280000
2016-11,350,4,1477958400
2016-12,285,5,1480550400
2017-01,162,5,1483228800
2017-02,334,12,1485907200
2017-03,530,12,1488326400
2017-04,392,9,1491004800
2017-05,186,7,1493596800
2017-06,154,6,1496275200
2017-07,72,4,1498867200
2017-08,183,4,1501545600
2017-09,129,5,1504224000
2017-10,62,4,1506816000
2017-11,219,4,1509494400
2017-12,627,6,1512086400
2018-01,302,6,1514764800
2018-04,18,2,1522540800
2018-05,349,6,1525132800
2018-06,35,4,1527811200
2018-07,204,6,1530403200
2018-08,331,5,1533081600
2018-09,146,4,1535760000
2018-10,215,5,1538352000
2018-11,191,5,1541030400
2018-12,154,5,1543622400
2019-01,179,5,1546300800
2019-02,300,4,1548979200
2019-03,70,5,1551398400
